井,本轮η_E,η_N,stop_s,入环空水泥_m3,域内水泥_m3,守恒率,库存比,宽边前缘m,窄边前缘m,域长m,宽边到位率,窄边到位率,壁面冻结占比,混浆指数,耗时s,shoe_lag_m3,上轮η_E,Δη_E,上轮stop_s,stop增量_s,上轮入库水泥_m3,Δ入库水泥_m3,上轮域内水泥_m3,Δ域内水泥_m3,本轮修复注记,2D入库积分_m3,2D入库减1s积分_m3,场体积漂移_m3,域满体积_m3,物理环空体积_m3,状态,stop_B3前_s
hu101,0.5859,0.0456,13742.7,72.19,38.4,0.5318,1.068,2468.0,49.6,2468.0,1.0,0.0201,0.4427,0.3201,51.9,102.6,0.5348,0.0511,9521.2,4221.5273,68.95,3.2437,35.05,3.3451,管容链 102.6m³(0708真实内径链;2011114 理论碰压102.2/实泵101.8;上轮52m³无出处),72.19,-0.0,-33.8,65.53,65.53,ok,9521.2
hu102,0.9846,0.9054,11824.8,18.74,12.19,0.6503,1.374,911.9,911.9,911.9,1.0,1.0,0.0,0.0518,98.8,88.9,0.9687,0.0159,10594.9,1229.9352,18.26,0.4772,11.99,0.1952,管容链 88.9m³(149.2+114.3钻杆+尾管;上轮≈71m³漏计送入钻杆段),18.73,-0.01,-6.55,12.38,12.376,ok,10594.9
hu103,0.9926,0.9667,8012.9,84.89,74.45,0.8771,1.107,2233.3,2233.3,2233.3,1.0,1.0,0.0,0.027,47.3,88.55,0.8529,0.1397,8135.8,-122.9022,57.78,27.1056,63.97,10.4844,管容链 88.55m³(20315灌水+流量计双证;上轮 dual-diameter 仅尾管段≈31m³),84.87,-0.01,-10.42,75.01,75.008,ok,7436.2
hu1,0.9659,0.8729,20944.4,60.11,57.86,0.9626,1.002,4077.7,3963.1,4077.7,1.0,0.9719,0.0093,0.0791,57.6,88.01079700052479,0.9494,0.0165,20944.4,-0.041,59.24,0.8661,56.87,0.9895,仅 F4 erf 收尾(管容链未动),60.1,-0.01,-2.24,59.9,59.903,ok,20944.4
hu2,0.9846,0.991,11663.6,39.34,33.0,0.8389,1.134,2261.5,2261.5,2261.5,1.0,1.0,0.0,0.0284,47.8,,0.9843,0.0003,11663.6,0.0166,39.18,0.1571,32.99,0.0102,仅 F4 erf 收尾(管容链未动),39.35,0.02,-6.35,33.52,33.516,ok,11663.6
ht1_001,0.9898,0.978,10899.6,70.04,72.02,1.0283,0.981,2276.3,2276.3,2276.3,1.0,1.0,0.0,0.0371,27.7,,0.9888,0.001,10899.6,0.038,69.84,0.1967,71.95,0.0671,仅 F4 erf 收尾(管容链未动),69.99,-0.05,2.03,72.76,72.762,ok,10899.6
ht1_003,0.9984,0.9943,10255.2,71.27,57.6,0.8082,1.161,2310.5,2310.5,2310.5,1.0,1.0,0.0,0.006,24.6,91.9,0.9976,0.0008,10255.2,-0.0352,70.6,0.6684,57.55,0.0457,仅 F4 erf 收尾(管容链未动),71.2,-0.07,-13.6,57.69,57.69,ok,10255.2
ht1_004,0.9985,0.9938,11409.6,74.44,59.72,0.8022,1.271,2416.8,2416.8,2416.8,1.0,1.0,0.0,0.0058,39.1,99.3642017872715,0.9985,0.0,11409.6,0.0104,74.71,-0.2729,59.72,-0.004,仅 F4 erf 收尾(管容链未动),74.45,0.01,-14.73,59.8,59.804,ok,11409.6
