time_s,time_min,depth_m,lead,tail,cement_total,spacer,flusher,mud
4.0,0.0667,6961.168,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,6951.462,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,6941.756,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,6932.05,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,6922.344,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,6912.638,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,6902.932,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,6893.226,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,6883.52,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,6873.814,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,6864.108,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,6854.402,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,6844.696,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,6834.99,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,6825.284,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,6815.578,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,6805.872,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,6796.166,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,6786.46,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,6776.754,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,6767.048,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,6757.342,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,6747.636,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,6737.93,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,6728.224,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,6718.518,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,6708.812,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,6699.106,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,6689.4,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,6679.694,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,6669.988,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,6660.282,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,6650.576,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,6640.87,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,6631.164,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,6621.458,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,6611.752,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,6602.046,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,6592.34,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,6582.634,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,6572.928,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,6563.222,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,6553.516,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,6543.81,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,6534.104,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,6524.398,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,6514.692,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,6504.986,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,6495.28,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,6485.574,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,6475.868,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,6466.162,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,6456.456,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,6446.751,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,6437.045,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,6427.339,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,6417.633,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,6407.927,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,6398.221,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,6388.515,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,6378.809,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,6369.103,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,6359.397,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,6349.691,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,6339.985,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,6330.279,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,6320.573,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,6310.867,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,6301.161,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,6291.455,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,6281.749,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,6272.043,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,6262.337,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,6252.631,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,6242.925,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,6233.219,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,6223.513,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,6213.807,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,6204.101,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,6194.395,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,6184.689,0.0,0.0,0.0,0.0,0.0,1.0
