well_id,cumulative_volume_m3,pump_strokes_100pct_efficiency,pump_strokes_96pct_efficiency,pump_strokes_95pct_efficiency,pump_strokes_92pct_efficiency,pump_strokes_90pct_efficiency,pump_pressure_mpa,flow_rate_m3_per_min,notes,data_type,source_file,source_location,confidence
ht1_001,10,530.2226935312832,552.4861878453038,558.0357142857143,576.3688760806916,589.0322200624374,17,,,field_measured,205172.xlsx,Sheet1 row 5,high
ht1_001,20,1060.4453870625664,1104.9723756906076,1116.0714285714287,1152.7377521613832,1178.0644401248749,16,,,field_measured,205172.xlsx,Sheet1 row 6,high
ht1_001,30,1590.6680805938495,1657.4585635359115,1674.1071428571431,1729.1066282420747,1767.0966601873124,15.6,,,field_measured,205172.xlsx,Sheet1 row 7,high
ht1_001,40,2120.890774125133,2209.944751381215,2232.1428571428573,2305.4755043227665,2356.1288802497497,15.5,,,field_measured,205172.xlsx,Sheet1 row 8,high
ht1_001,50,2651.113467656416,2762.430939226519,2790.1785714285716,2881.844380403458,2945.161100312187,15,,,field_measured,205172.xlsx,Sheet1 row 9,high
ht1_001,60,3181.336161187699,3314.917127071823,3348.2142857142862,3458.2132564841495,3534.193320374625,15.1,,,field_measured,205172.xlsx,Sheet1 row 10,high
ht1_001,70,3711.5588547189823,3867.403314917127,3906.2500000000005,4034.5821325648412,4123.225540437063,15.4,,,field_measured,205172.xlsx,Sheet1 row 11,high
ht1_001,80,4241.781548250266,4419.88950276243,4464.285714285715,4610.951008645533,4712.257760499499,15.6,,,field_measured,205172.xlsx,Sheet1 row 12,high
ht1_001,90,4772.004241781548,4972.375690607734,5022.321428571429,5187.319884726225,5301.289980561937,15.7,,,field_measured,205172.xlsx,Sheet1 row 13,high
ht1_001,100,5302.226935312832,5524.861878453038,5580.357142857143,5763.688760806916,5890.322200624374,16,,,field_measured,205172.xlsx,Sheet1 row 14,high
ht1_001,110,5832.449628844115,6077.348066298342,6138.392857142858,6340.057636887608,6479.354420686812,13-12.7,3,,field_measured,205172.xlsx,Sheet1 row 15,high
ht1_001,120,6362.672322375398,6629.834254143646,6696.4285714285725,6916.426512968299,7068.38664074925,12.6,,,field_measured,205172.xlsx,Sheet1 row 16,high
ht1_001,130,6892.895015906682,7182.32044198895,7254.464285714286,7492.795389048991,7657.4188608116865,12.5,,,field_measured,205172.xlsx,Sheet1 row 17,high
ht1_001,140,7423.117709437965,7734.806629834254,7812.500000000001,8069.1642651296825,8246.451080874125,12.5,,,field_measured,205172.xlsx,Sheet1 row 18,high
ht1_001,150,7953.340402969247,8287.292817679558,8370.535714285716,8645.533141210375,8835.483300936561,12.3,,,field_measured,205172.xlsx,Sheet1 row 19,high
ht1_001,160,8483.563096500531,8839.77900552486,8928.57142857143,9221.902017291066,9424.515520998999,9-11,2.5,,field_measured,205172.xlsx,Sheet1 row 20,high
ht1_001,170,9013.785790031814,9392.265193370165,9486.607142857143,9798.270893371757,10013.547741061437,,,,field_measured,205172.xlsx,Sheet1 row 21,high
ht1_001,180,9544.008483563097,9944.751381215468,10044.642857142859,10374.63976945245,10602.579961123874,,,,field_measured,205172.xlsx,Sheet1 row 22,high
ht1_001,190,10074.23117709438,10497.237569060773,10602.678571428572,10951.00864553314,11191.612181186312,,,,field_measured,205172.xlsx,Sheet1 row 23,high
ht1_001,200,10604.453870625664,11049.723756906076,11160.714285714286,11527.377521613833,11780.644401248748,,,,field_measured,205172.xlsx,Sheet1 row 24,high
