timestamp_utc,density_mass_g_cm3,pump_press_a_mpa,pump_press_b_mpa,pump_rate_all_m3_min,pump_total_all_m3,water_rate_m3_min
2025-08-14T01:14:20.054000,1.594148,9.404712,0,0.56385,4317.152,0.302585
2025-08-14T01:14:25.066000,1.590531,9.385239,0,0.56385,4317.199,0.302585
2025-08-14T01:14:30.163000,1.588361,9.33066,0,0.56385,4317.245,0.302585
2025-08-14T01:14:35.174000,1.589265,9.27483,0,0.56385,4317.292,0.302585
2025-08-14T01:14:40.272000,1.577148,9.232703,0,0.56385,4317.347,0.302585
2025-08-14T01:14:45.283000,1.577691,9.263512,0,0.56385,4317.394,0.302585
2025-08-14T01:14:50.381000,1.580765,9.208086,0,0.56385,4317.44,0.302585
2025-08-14T01:14:55.392000,1.584382,9.200349,0,0.56385,4317.486,0.302585
2025-08-14T01:15:00.490000,1.593786,9.254478,0,0.56385,4317.533,0.302585
2025-08-14T01:15:05.501000,1.595775,9.2507,0,0.56385,4317.579,0.302585
2025-08-14T01:15:10.598000,1.59668,9.253921,0,0.56385,4317.625,0.302585
2025-08-14T01:15:15.610000,1.59885,9.3151,0,0.56385,4317.672,0.302585
2025-08-14T01:15:20.707000,1.606807,9.333291,0,0.56385,4317.718,0.29855
2025-08-14T01:15:25.718000,1.606626,9.34207,0,0.56385,4317.765,0.302585
2025-08-14T01:15:30.816000,1.608254,9.407398,0,0.56385,4317.811,0.302585
2025-08-14T01:15:35.827000,1.611147,9.353306,0,0.56385,4317.857,0.302585
2025-08-14T01:15:45.936000,1.618562,9.465688,0,0.56385,4317.95,0.302585
2025-08-14T01:15:50.947000,1.613679,9.404907,0,0.56385,4317.997,0.302585
2025-08-14T01:15:56.045000,1.615668,9.431534,0,0.56385,4318.043,0.302585
2025-08-14T01:16:01.056000,1.619105,9.417583,0,0.56385,4318.089,0.302585
2025-08-14T01:16:06.154000,1.613317,9.3923,0,0.56385,4318.136,0.302585
2025-08-14T01:16:11.165000,1.605903,9.38406,0,0.56385,4318.182,0.302585
2025-08-14T01:16:16.262000,1.600297,9.338668,0,0.56385,4318.238,0.302585
2025-08-14T01:16:21.274000,1.59668,9.311235,0,0.56385,4318.284,0.302585
2025-08-14T01:16:26.371000,1.593786,9.277591,0,0.56385,4318.331,0.302585
2025-08-14T01:16:31.382000,1.586191,9.302208,0,0.56385,4318.377,0.302585
2025-08-14T01:16:36.480000,1.578595,9.304913,0,0.56385,4318.423,0.302585
2025-08-14T01:16:41.491000,1.57968,9.23313,0,0.56385,4318.47,0.302585
2025-08-14T01:16:46.589000,1.586914,9.272673,0,0.56385,4318.516,0.302585
2025-08-14T01:16:51.600000,1.586914,9.255054,0,0.56385,4318.563,0.302585
2025-08-14T01:16:56.698000,1.587095,9.311886,0,0.56385,4318.609,0.302585
2025-08-14T01:17:01.709000,1.589808,9.385757,0,0.56385,4318.655,0.302585
2025-08-14T01:17:06.806000,1.603371,9.365538,0,0.56385,4318.702,0.302585
2025-08-14T01:17:11.818000,1.60735,9.38829,0,0.56385,4318.748,0.302585
2025-08-14T01:17:16.915000,1.610062,9.423214,0,0.56385,4318.794,0.302585
2025-08-14T01:17:21.926000,1.610966,9.413171,0,0.56385,4318.841,0.302585
2025-08-14T01:17:27.024000,1.614945,9.47506,0,0.56385,4318.887,0.302585
2025-08-14T01:17:32.035000,1.612775,9.486187,0,0.56385,4318.934,0.302585
2025-08-14T01:17:37.133000,1.616392,9.509426,0,0.56385,4318.98,0.302585
2025-08-14T01:17:42.144000,1.617839,9.529617,0,0.56385,4319.026,0.302585
2025-08-14T01:17:47.242000,1.622902,9.54291,0,0.56385,4319.073,0.302585
2025-08-14T01:17:52.253000,1.623626,9.576773,0,0.56385,4319.128,0.302585
2025-08-14T01:17:57.350000,1.622721,9.571755,0,0.56385,4319.175,0.302585
2025-08-14T01:18:02.362000,1.623626,9.590372,0,0.56385,4319.221,0.302585
2025-08-14T01:18:07.459000,1.623083,9.585776,0,0.56385,4319.268,0.302585
2025-08-14T01:18:12.470000,1.623264,9.597278,0,0.56385,4319.314,0.302585
2025-08-14T01:18:17.568000,1.617839,9.671189,0,0.56385,4319.36,0.302585
2025-08-14T01:18:22.579000,1.62236,9.610466,0,0.56385,4319.407,0.302585
2025-08-14T01:18:27.677000,1.624168,9.560467,0,0.56385,4319.453,0.302585
2025-08-14T01:18:32.688000,1.628147,9.608227,0,0.56385,4319.5,0.302585
2025-08-14T01:18:37.786000,1.625615,9.590952,0,0.56385,4319.546,0.302585
2025-08-14T01:18:42.797000,1.628508,9.537901,0,0.56385,4319.592,0.302585
2025-08-14T01:18:47.894000,1.625615,9.599054,0,0.56385,4319.639,0.302585
2025-08-14T01:18:52.906000,1.623987,9.565264,0,0.56385,4319.685,0.302585
2025-08-14T01:18:58.003000,1.625615,9.514071,0,0.56385,4319.731,0.302585
2025-08-14T01:19:03.014000,1.628327,9.573704,0,0.56385,4319.778,0.302585
2025-08-14T01:19:08.112000,1.625434,9.522524,0,0.56385,4319.824,0.302585
2025-08-14T01:19:13.123000,1.62453,9.481793,0,0.56385,4319.871,0.302585
2025-08-14T01:19:18.221000,1.626519,9.537934,0,0.56385,4319.917,0.302585
2025-08-14T01:19:23.232000,1.625977,9.46598,0,0.56385,4319.963,0.29855
2025-08-14T01:19:28.330000,1.627604,9.473534,0,0.56385,4320.019,0.302585
2025-08-14T01:19:33.341000,1.625977,9.484515,0,0.56385,4320.065,0.302585
2025-08-14T01:19:38.438000,1.629232,9.499324,0,0.56385,4320.112,0.29855
2025-08-14T01:19:43.450000,1.628327,9.473148,0,0.56385,4320.158,0.302585
2025-08-14T01:19:48.547000,1.623626,9.462968,0,0.56385,4320.205,0.302585
2025-08-14T01:19:53.558000,1.630317,9.480683,0,0.56385,4320.251,0.302585
2025-08-14T01:19:58.656000,1.624168,9.426435,0,0.56385,4320.297,0.302585
2025-08-14T01:20:03.667000,1.630498,9.407496,0,0.56385,4320.344,0.302585
2025-08-14T01:20:08.765000,1.625615,9.425779,0,0.56385,4320.39,0.302585
2025-08-14T01:20:13.776000,1.623987,9.417562,0,0.56385,4320.437,0.302585
2025-08-14T01:20:18.874000,1.629955,9.416553,0,0.56385,4320.483,0.302585
2025-08-14T01:20:23.885000,1.634476,9.367723,0,0.56385,4320.529,0.302585
2025-08-14T01:20:28.982000,1.629955,9.383621,0,0.56385,4320.576,0.302585
2025-08-14T01:20:33.994000,1.630317,9.426771,0,0.56385,4320.622,0.302585
2025-08-14T01:20:39.091000,1.63104,9.424593,0,0.56385,4320.668,0.302585
2025-08-14T01:20:44.102000,1.640082,9.43525,0,0.56385,4320.715,0.302585
2025-08-14T01:20:49.200000,1.635742,9.500402,0,0.56385,4320.761,0.302585
2025-08-14T01:20:54.211000,1.636466,9.473882,0,0.56385,4320.808,0.302585
2025-08-14T01:20:59.309000,1.638274,9.504055,0,0.56385,4320.854,0.302585
2025-08-14T01:21:04.320000,1.640263,9.487009,0,0.56385,4320.91,0.302585
2025-08-14T01:21:09.418000,1.635019,9.481824,0,0.56385,4320.956,0.302585
2025-08-14T01:21:14.429000,1.633934,9.518731,0,0.56385,4321.002,0.302585
2025-08-14T01:21:19.526000,1.643699,9.528927,0,0.56385,4321.049,0.302585
2025-08-14T01:21:24.538000,1.644965,8.08327,0,0.56385,4321.095,0.302585
2025-08-14T01:21:29.635000,1.640987,8.105556,0,0.56385,4321.142,0.302585
2025-08-14T01:21:34.646000,1.642614,8.133217,0,0.56385,4321.188,0.302585
2025-08-14T01:21:39.658000,1.638636,8.192638,0,0.56385,4321.234,0.302585
2025-08-14T01:21:44.755000,1.645508,8.169334,0,0.56385,4321.281,0.302585
2025-08-14T01:21:49.766000,1.633934,8.161345,0,0.56385,4321.327,0.302585
2025-08-14T01:21:54.864000,1.631221,8.114429,0,0.56385,4321.374,0.302585
2025-08-14T01:21:59.875000,1.627785,8.076783,0,0.56385,4321.42,0.302585
2025-08-14T01:22:04.973000,1.622902,8.034426,0,0.56385,4321.466,0.302585
