well_id,well_name_cn,sample_class,top_md_m,bottom_md_m,annulus_volume_m3,final_effective_efficiency,final_bulk_cement_fill,cbl_eval_interval_efficiency,target_interval_efficiency,channeling_index,mixing_index,instability_index,summary_json_path,time_series_csv_path,depth_profile_csv_path
hu101,呼101,A_main_validation,5400.0,7868.0,67.49588079842957,0.5961428301185204,0.5961428301185204,0.6503724346670925,0.8458588357436153,0.9679358717430948,0.2229699665370218,1.0,01_main_results/hu101/summary.json,01_main_results/hu101/time_series.csv,01_main_results/hu101/depth_profile.csv
hu102,呼102,A_main_validation,6823.1,7735.0,19.406795107938343,0.38679076895487347,0.38679076895487347,0.37994115009625823,0.3975775138856418,0.9899799599187541,0.25050713942986885,1.0,01_main_results/hu102/summary.json,01_main_results/hu102/time_series.csv,01_main_results/hu102/depth_profile.csv
hu103,呼103,A_main_validation,7330.6,7770.0,8.51473101113508,0.9999999999999996,0.9999999999999996,1.0,,0.0,5.112757266901684e-16,0.0,01_main_results/hu103/summary.json,01_main_results/hu103/time_series.csv,01_main_results/hu103/depth_profile.csv
ht1_001,呼探1-001井（HT1-001）,B_application_pending_validation,5469.711,7746.0,54.763920627903104,0.8290853717614214,0.8290853717614214,0.892117727369327,0.9999998504132738,0.45891783567114114,0.24477555719819,0.5119547617573212,01_main_results/ht1_001/summary.json,01_main_results/ht1_001/time_series.csv,01_main_results/ht1_001/depth_profile.csv
