井深_m,水泥平均浓度,平均有效顶替效率,钻井液平均浓度,宽边有效效率,中线有效效率,窄边有效效率,宽边水泥浓度,中线水泥浓度,窄边水泥浓度,环空间隙_m,偏心度指标,居中度
7868.0,1.0,0.9999657554353595,0.0,0.9999999997908032,0.9999991815829175,0.9997381856193348,1.0,1.0,1.0,0.03841255679203555,0.40780000000000005,0.5922
7863.054108216433,0.9999999999999999,0.9999424543155104,1.1102230246251565e-16,0.9999999998046571,0.9999984798305566,0.9995264159812675,1.0,0.9999999999999999,0.9999999999999997,0.03841255679203555,0.40780000000000005,0.5922
7858.108216432865,1.0,0.9999092631021594,0.0,0.9999999998079854,0.9999979409204093,0.999202520211652,1.0,0.9999999999999999,0.9999999999999991,0.03841255679203555,0.40780000000000005,0.5922
7853.162324649298,0.9999999999999999,0.9998580465928432,1.1102230246251565e-16,0.9999999998141897,0.9999966385289718,0.9987086875961195,0.9999999999999999,0.9999999999999999,0.9999999999999989,0.03841255679203555,0.40780000000000005,0.5922
7848.216432865732,0.9999999999999999,0.9997819039601427,1.1102230246251565e-16,0.9999999998210231,0.9999946258186085,0.9979330696798945,0.9999999999999999,0.9999999999999999,0.9999999999999988,0.03841255679203555,0.40780000000000005,0.5922
7843.2705410821645,0.9999999999999997,0.9996684697616784,1.1102230246251565e-16,0.9999999998281773,0.9999928745646011,0.9966948799117328,1.0,0.9999999999999998,0.9999999999999961,0.03841255679203555,0.40780000000000005,0.5922
7838.324649298597,0.9999999999999893,0.9995013690555379,9.880984919163893e-15,0.9999999998350226,0.9999919129099688,0.994708083042773,1.0,0.9999999999999999,0.9999999999997113,0.03841255679203555,0.40780000000000005,0.5922
7833.37875751503,0.9999999999982583,0.9992719031814227,1.655675596623496e-12,0.9999999998411027,0.9999911286329334,0.9915155685231914,0.9999999999999999,0.9999999999999999,0.9999999999523339,0.03841255679203555,0.40780000000000005,0.5922
7828.432865731463,0.9999999997111144,0.99896931598991,2.792464037781883e-10,0.9999999998465469,0.9999904780592606,0.9863830521480595,1.0,1.0,0.9999999919996551,0.03841255679203555,0.40780000000000005,0.5922
7823.486973947895,0.9999999148094785,0.9985506439180177,8.326563782912189e-08,0.9999999998506939,0.9999898679937664,0.9769891792034857,0.9999999999999999,0.9999999999999998,0.9999978473191182,0.03841255679203555,0.40780000000000005,0.5922
