case,gap_mm,annulus_m3,cement_m3,inventory_ratio,eta_E_well,eta_N_well,eta_E_cbl,wide_q1,mid,narrow_q4,depth_bottom_band,depth_top_band,elapsed_s
A_呼101基线,45.07,65.53,70.0,1.068,0.49194279093047893,0.0313783859619479,0.5034653062957734,0.9106265597216603,0.2077743242297382,0.032899242102505596,0.573781756523316,0.24207516385080216,61.0
B_呼102基线,25.66,12.38,17.0,1.374,0.9718282403307571,0.8060699420265119,nan,0.9999998843324527,0.9984170422153987,0.8012563929779725,0.9924994745285104,0.8988252348997118,113.8
Q1_小间隙+库存比锁定,25.66,33.57,48.4,1.44,0.8469167181028792,0.35144881237624453,0.8645439228296851,0.9998621451029641,0.8755112935414031,0.4220003275166515,0.9921566523945229,0.5609761409390899,82.7
Q2_原间隙+库存比1.374,45.07,65.53,90.1,1.374,0.5502685662329707,0.04247657870161182,0.5637568026814874,0.9436148885250834,0.30409556266079696,0.04495070649657559,0.6434090171589849,0.2825516197333604,55.5
Q3_呼102大间隙+库存比锁定,45.07,24.17,24.6,1.018,0.614834486116287,0.017300746060952547,nan,0.9985339314337347,0.3211315369522762,0.019587037447873743,0.6379590685988212,0.36281359708809485,53.8
Q4_小间隙+库存比1.374,25.66,33.57,90.1,2.683,0.9595328041790795,0.745330747008859,0.9687656675851056,0.9999996812977808,0.9934904472521586,0.7743644194105136,0.9999789012839987,0.8090009843667013,91.4
