case,kind,mean_standoff,eta_E_well,eta_N_well,eta_E_cbl,eta_N_cbl,channeling_index,mixing_index,instability_index,elapsed_s
legacy假设(0.38-0.48),existing,0.4295,0.49194279093047893,0.0313783859619479,0.5034653062957734,0.013772951531564666,0.9799196787144625,0.34880318355904844,1.0,53.3
检测图-扶正器间,existing,0.5155,0.4814306711890485,0.014275179127453715,0.4941020062498771,0.006509391082314002,0.9839357429714889,0.3351774105104567,1.0,51.0
检测图-扶正器处,existing,0.7342,0.5370789898234569,0.08013635434293136,0.5538567573778391,0.07100743909988044,0.951807228915277,0.3162668535007288,0.9999999999999495,52.5
均匀SO=0.50,sweep,0.5,0.48316355307817865,0.03404425830830317,0.49375267528443767,0.01553162695417338,0.9759036144574358,0.3461299884720307,1.0,51.6
均匀SO=0.60,sweep,0.6,0.47405092209492383,0.04946556791847549,0.48284465087985057,0.02890061138979596,0.9598393574293299,0.3425916597830796,1.0,54.9
均匀SO=0.70,sweep,0.7,0.5964962290597686,0.20323161100093776,0.6245948959172258,0.210877134824176,0.8232931726904295,0.27674209435740016,0.9999841347460714,52.3
均匀SO=0.80,sweep,0.8,0.6805413605115335,0.4111438950369535,0.7182561201959985,0.45725314501061276,0.5421686746985755,0.22255322611323536,0.7296170240402935,49.5
均匀SO=0.90,sweep,0.9,0.9361198118517371,0.8464745004595592,0.9836150371613757,0.9598446717392648,0.1606425702810593,0.08448307665533915,0.044920511550825326,32.5
均匀SO=0.95,sweep,0.95,0.9974887324370943,0.9932955447373358,0.9999192933123435,0.9997224688648052,0.0,0.00946595854265571,0.0,27.3
