index,step_name,fluid_name,role,volume_m3,rate_m3_min,duration_min,start_min,end_min,cum_volume_m3,explicit_time,remarks
0,注入平衡液(实际),平衡液,mud,48.0,0.6,80,0,80,48.0,False,实际: 平衡液48m³@0.6，ρ1.88，泵压8-12MPa。
1,注入隔离液(实际),隔离液(实际),spacer,35.0,0.6,58.3333,80,138.333,83.0,False,实际: 隔离液35m³@0.6，ρ1.92，泵压15MPa。
2,注入领浆(三凝),领浆,lead,22.0,0.6,36.6667,138.333,175,105.0,False,实际水泥浆为三凝体系，未记录分相体积，分相 22m³ 沿用设计版。
3,注入中间浆(三凝),中间浆,intermediate,35.0,0.6,58.3333,175,233.333,140.0,False,实际中间浆分相 36m³ 沿用设计版（三凝未分相记录）。
4,注入尾浆(三凝),尾浆,tail,26.0,0.6,43.3333,233.333,276.667,166.0,False,实际尾浆分相 26m³ 沿用设计版（三凝未分相记录）。
5,注入压塞液(实际),压塞液,other,3.0,0.6,5,276.667,281.667,169.0,False,实际: 压塞液 3.0m³@0.6，平均密度 2.20（20315'压塞3.0m3 平均密度2.20'；20314，2026-08-29 校准补入）。
6,替浆(实际),替浆液,displacement,90.9,0.6,151.5,281.667,433.167,259.9,False,实际: 替浆90.9m³@0.6，泵压13-9MPa；到量碰压、放回水断流。
