index,step_name,fluid_name,role,volume_m3,rate_m3_min,duration_min,start_min,end_min,cum_volume_m3,explicit_time,remarks
0,注平衡液,平衡液,wash,25.0,1.2,20.8333,0,20.8333,25.0,False,呼101现场抽取：25m³@1.2，ρ1.85（field_measured）。
1,注驱油隔离液,驱油隔离液,spacer,25.0,1.0,25,20.8333,45.8333,50.0,False,呼101现场抽取：25m³@1.0，ρ2.00（field_measured）；现场简述时序值，设计 1.2（2026-08-29 校准）。
2,注领浆,领浆,lead,47.0,1.0,47,45.8333,92.8333,97.0,False,呼101现场抽取：47m³@1.0，ρ2.10，实际灰量 121t（field_measured）；现场简述时序值，设计 1.2（2026-08-29 校准）。
3,注尾浆,尾浆,tail,23.0,1.0,23,92.8333,115.833,120.0,False,呼101现场抽取：23m³@1.0，ρ1.90（field_measured）；现场简述时序值，设计 1.2（2026-08-29 校准）。
4,注后置液(管内),井浆,displacement,2.0,0.6,3.33333,115.833,119.167,122.0,False,中置液/压塞液 2m³@0.6，仅作为管内压塞/占位流体（field_measured）。
5,注轻泥浆,轻泥浆,displacement,26.0,1.5,17.3333,119.167,136.5,148.0,False,按现场轻泥浆 26m³@1.5，ρ1.85（field_measured）。
6,注中置液,中置液,displacement,10.0,1.0,10,136.5,146.5,158.0,False,中置液 10m³@1.0（现场名保护液，排量 1.0；1.5 无现场依据，2026-08-29 校准）；LEGACY(2026-08-29 前): 1.5；LEGACY(2026-08-16 前): 1.2。
7,井浆快替,井浆,displacement,40.0,1.0,40,146.5,186.5,198.0,False,现场为井浆 63.4m³@1.0-0.55 连续降排量，40+23.4 为模型分段代理（本段 40m³@1.0）；旧注'CSV 记替浆 52m³ 待人工复核'已复核：52 为设计值（2011114 浆柱）。
8,井浆慢替,井浆,displacement,23.4,0.55,42.5455,186.5,229.045,221.4,False,现场为井浆 63.4m³@1.0-0.55 连续降排量，40+23.4 为模型分段代理（本段 23.4m³@0.55，补足总替量 101.4m³）。
