standoff,eccentricity,effective_efficiency,channeling_index,mixing_index,instability_index,cement_occupation,elapsed_s
0.9,0.09999999999999998,0.9644004243487357,0.008016032064124882,0.1073577116392712,0.0020598845051379433,0.9644004243487357,44.0
0.8,0.19999999999999996,0.9493321657454392,0.15230460921837388,0.13657940409102312,0.12039151401023873,0.9493321657454392,40.9
0.7,0.30000000000000004,0.9212504619059617,0.3547094188375286,0.19206007203841888,0.5116108237181145,0.9212504619059617,48.7
0.6,0.4,0.9061100538017133,0.6072144288574642,0.19505624045405764,0.921951833795121,0.9061100538017133,39.3
0.5,0.5,0.8522208165820737,0.8476953907812124,0.23754027428395758,0.9999978475086619,0.8522208165820737,38.1
0.4,0.55,0.830457474810268,0.9879759519033988,0.22797154328498637,1.0,0.830457474810268,43.3
0.3,0.55,0.830457474810268,0.9879759519033988,0.22797154328498637,1.0,0.830457474810268,35.8
