time_s,time_min,stage,bulk_cement_fill,effective_efficiency,target_interval_efficiency,cbl_eval_interval_efficiency,front_wide_m,front_narrow_m,front_mid_m,channeling_index,mixing_index,instability_proxy,instability_index,mean_wall_mud,mean_cement,mean_mud
7924.0,132.06666666666666,井浆中替1,0.7273890044435541,0.7273890044435541,0.9999999999999993,0.8077585073210932,1810.4013046092186,1444.6168977955913,1768.7296633266535,0.15831663326646458,0.21808137741412353,0.34678744074803486,0.06700691351820653,0.0,0.7048459322659499,0.003619410893659699
7928.0,132.13333333333333,井浆中替1,0.7283254950275465,0.7283254950275465,0.9999999999999993,0.8087697352562591,1815.0314869739482,1449.2470801603208,1768.7296633266535,0.15831663326646458,0.21828430905233304,0.3481970159079853,0.06726990122219334,0.0,0.7058042146964663,0.0036134293301605253
7932.0,132.2,井浆中替1,0.7292617163781473,0.7292617163781473,0.9999999999999993,0.809780359169627,1815.0314869739482,1449.2470801603208,1773.359845691383,0.15831663326646458,0.2184862416109821,0.3490783964547922,0.067434304764456,0.0,0.7067622973820943,0.003607524086104932
7936.0,132.26666666666668,井浆中替1,0.7301976768827197,0.7301976768827197,0.9999999999999993,0.8107903844119323,1819.6616693386777,1453.8772625250504,1773.359845691383,0.15831663326646458,0.21868720780215148,0.34961301076583806,0.06753401202720077,0.0,0.7077201840455973,0.0036016777791997995
7940.0,132.33333333333334,井浆中替1,0.731133381144601,0.731133381144601,0.9999999999999993,0.8117998113785708,1819.6616693386777,1453.8772625250504,1777.9900280561124,0.15831663326646458,0.21888722738665953,0.3499163249814312,0.06759057634944898,0.0,0.7086778625542991,0.003595881767333445
7944.0,132.4,井浆中替1,0.7320688309504385,0.7320688309504385,0.9999999999999993,0.8128086371143473,1824.291851703407,1458.5074448897797,1777.9900280561124,0.15831663326646458,0.21908631424480765,0.3500632670303014,0.06761797797702129,0.0,0.7096353097036762,0.0035901223864675
7948.0,132.46666666666667,井浆中替1,0.7330040270257894,0.7330040270257894,0.9999999999999993,0.8138168577461528,1828.9220340681366,1458.5074448897797,1782.6202104208419,0.1603206412824958,0.2192844754144955,0.3545349928792714,0.06845147656154738,0.0,0.7105924950534043,0.0035843956432767784
7952.0,132.53333333333333,井浆中替1,0.7339389688291456,0.7339389688291456,0.9999999999999993,0.8148244684822009,1828.9220340681366,1463.1376272545092,1782.6202104208419,0.15831663326646458,0.2194817175494741,0.35006959322733194,0.06761915766275084,0.0,0.7115493827931174,0.0035786917112512855
7956.0,132.6,井浆中替1,0.7348736551516235,0.7348736551516235,0.9999999999999993,0.8158314642233507,1833.552216432866,1463.1376272545092,1787.2503927855714,0.1603206412824958,0.21967804214669265,0.354414822187965,0.068429087326486,0.0,0.712505933321876,0.0035730082186467955
7960.0,132.66666666666666,井浆中替1,0.7358080846157677,0.7358080846157677,0.9999999999999993,0.8168378399123469,1833.552216432866,1463.1376272545092,1787.2503927855714,0.1603206412824958,0.2198734520253772,0.35429254064851634,0.0684063042628309,0.0,0.713462105129092,0.003567339666987336
