边界模式,全井段最终有效顶替效率,CBL评价井段模拟有效顶替效率,CBL评价井段质量响应效率,残余α质量响应效率,残余重标定α,资料CBL合格率代理值,最终窜槽指数,最终混浆指数,最终失稳指数,剖面MAE,6050_6210m_CBL代理均值,6050_6210m_模拟均值,6100_6400m_CBL代理均值,6100_6400m_模拟均值
sustained_tail,0.8160998052711871,0.83980676502361,0.42284150921417285,0.6277,0.3413321310298514,0.6277,0.747494989979657,0.31626991093799917,0.8725031932196134,0.1562563351489203,0.07376470588235295,0.6923417679269618,0.606032258064516,0.7290479650074007
volume_limited,0.7154960303105253,0.7820637912896702,0.35015568286634907,0.6277,0.23981514108054178,0.6277,0.9759519038072199,0.15998650121560054,0.9211280373394466,0.2189499377489098,0.07376470588235295,0.5187999472308926,0.606032258064516,0.7471819111852405
tail_then_mud,0.6121813868580585,0.5883661872124851,0.41948889786756133,0.5883661872124851,0.0,0.6277,0.24248496993978147,0.4791439658346678,0.5067748702740749,0.4095201940045644,0.07376470588235295,0.8271190528525993,0.606032258064516,0.8033543844478487
