time_s,time_min,stage,bulk_cement_fill,effective_efficiency,target_interval_efficiency,cbl_eval_interval_efficiency,front_wide_m,front_narrow_m,front_mid_m,channeling_index,mixing_index,instability_proxy,instability_index,mean_wall_mud,mean_cement,mean_mud
8164.0,136.06666666666666,井浆中替1,0.6158311442574176,0.6158311442574176,0.99999999827873,0.7486241336544601,1563.5012985971946,679.9842925851704,1498.7408897795592,0.3827655310619585,0.21558058699296115,2.8690774376198713,0.4366282053426055,0.0,0.5896345441965779,0.04847904095500074
8168.0,136.13333333333333,井浆中替1,0.6167750293558111,0.6167750293558111,0.9999999983547477,0.7497122027498021,1568.1270420841684,679.9842925851704,1498.7408897795592,0.3847695390779896,0.21583630070071005,2.887856015751157,0.43874010127249286,0.0,0.5905224734509237,0.048419329325665054
8172.0,136.2,井浆中替1,0.6177184833996932,0.6177184833996932,0.9999999984272604,0.750799396428307,1568.1270420841684,679.9842925851704,1503.3666332665332,0.3847695390779896,0.21609052670145035,2.891110145535549,0.439105264941253,0.0,0.5914099925740044,0.04835952599139694
8176.0,136.26666666666668,井浆中替1,0.6186615005462683,0.6186615005462683,0.9999999984964846,0.751885720430985,1572.7527855711423,679.9842925851704,1503.3666332665332,0.38677354709402084,0.21634325903751625,2.9090282434704218,0.44111170100098307,0.0,0.5922971088101707,0.04829962095959687
8180.0,136.33333333333334,井浆中替1,0.619604085654061,0.619604085654061,0.9999999985626077,0.7529711922875264,1572.7527855711423,679.9842925851704,1507.9923767535072,0.38677354709402084,0.21659448983658122,2.9115595100963474,0.44139456845342284,0.0,0.5931838356276543,0.0482396052193599
8184.0,136.4,井浆中替1,0.6205462295978542,0.6205462295978542,0.9999999986257936,0.7540558111947067,1577.3785290581163,679.9842925851704,1512.6181202404812,0.388777555110052,0.21684421004902077,2.928927078567179,0.4433315260975874,0.0,0.5940701735677111,0.04817946402237155
8188.0,136.46666666666667,井浆中替1,0.621487937021328,0.621487937021328,0.999999998686192,0.7551395922647209,1577.3785290581163,679.9842925851704,1512.6181202404812,0.388777555110052,0.21709241179625435,2.931001212378181,0.4435623991887562,0.0,0.5949561331817211,0.048119185402404334
8192.0,136.53333333333333,井浆中替1,0.6224291984694569,0.6224291984694569,0.9999999987439366,0.756222532376666,1582.0042725450903,679.9842925851704,1517.243863727455,0.39078156312608325,0.2173390860846755,2.9480296928363576,0.4454542332166226,0.0,0.5958417123518833,0.04805875248215266
8196.0,136.6,井浆中替1,0.6233700186578199,0.6233700186578199,0.9999999987991526,0.7573046449843076,1582.0042725450903,679.9842925851704,1517.243863727455,0.39078156312608325,0.21758422549171474,2.949820221573189,0.4456527836897308,0.0,0.5967269196071806,0.047998151585659
8200.0,136.66666666666666,井浆中替1,0.6243103878255863,0.6243103878255863,0.9999999988519555,0.7583859249804441,1586.6300160320643,684.6100360721443,1521.869607214429,0.39078156312608325,0.21782782132928255,2.951508673959175,0.44583994986184394,0.0,0.5976117510205994,0.04793736387216082
8204.0,136.73333333333332,井浆中替1,0.6252503110949184,0.6252503110949184,0.9999999989024545,0.7594663848399729,1586.6300160320643,684.6100360721443,1521.869607214429,0.39078156312608325,0.2180698674956082,2.9531168526269815,0.4460181588753508,0.0,0.598496214005382,0.04787637552482616
8208.0,136.8,井浆中替1,0.6261897782660836,0.6261897782660836,0.9999999989507512,0.7605460175518552,1591.2557595190383,684.6100360721443,1526.495350701403,0.3927855711421145,0.21831035675783236,2.9698141059234624,0.44786506835201423,0.0,0.5993803030394993,0.047815167363325375
8212.0,136.86666666666667,井浆中替1,0.6271287952561279,0.6271287952561279,0.9999999989969438,0.7616248353041914,1591.2557595190383,684.6100360721443,1526.495350701403,0.3927855711421145,0.21854928443973862,2.9713175029226835,0.4480310589956611,0.0,0.600264025252087,0.04775372626658517
8216.0,136.93333333333334,井浆中替1,0.6280673519047174,0.6280673519047174,0.9999999990411237,0.7627028299652596,1595.881503006012,684.6100360721443,1531.121094188377,0.39478957915814555,0.21878664362655068,2.9879493389074496,0.4498640600673002,0.0,0.6011473745229762,0.04769203155909977
8220.0,137.0,井浆中替1,0.6290054540984638,0.6290054540984638,0.9999999990833786,0.7637800126346145,1595.881503006012,684.6100360721443,1531.121094188377,0.39478957915814555,0.21902243044217518,2.9893910789116607,0.4500226677975613,0.0,0.6020303575143351,0.0476300693697905
