地面累计时间_s,地面累计时间_min,环空顶替时间_s,环空顶替时间_min,地面施工阶段,鞋口出流流体,环空入口相,排量_m3_min
0.000,0.000,0.000,0.000,注入先导浆（平衡液）,钻井液,泥浆相,1.200000
4957.566,82.626,0.000,0.000,注入尾浆,平衡液,泥浆相,1.200000
6353.907,105.898,0.000,0.000,注入压塞液（管内）,隔离液1,泥浆相,1.300000
7043.078,117.385,0.000,0.000,替浆（单段，实际）,隔离液2,泥浆相,1.400000
7471.650,124.527,0.000,0.000,替浆（单段，实际）,领浆,泥浆相,1.400000
9143.078,152.385,1671.429,27.857,替浆（单段，实际）,尾浆,泥浆相,1.400000
10340.879,172.348,2869.229,47.820,施工结束后保持,尾浆,泥浆相,0.000000
