time_s,time_min,stage,bulk_cement_fill,effective_efficiency,target_interval_efficiency,cbl_eval_interval_efficiency,cbl_quality_proxy,front_wide_m,front_narrow_m,front_mid_m,channeling_index,mixing_index,instability_proxy,instability_index,mean_wall_mud,mean_cement,mean_mud
9364.0,156.06666666666666,替浆慢速段(尾浆持续入环空),0.8419225869798298,0.8283930156437537,0.9410993276383757,0.8492765055802731,0.4178380419706824,2468.0,514.372745490982,2468.0,0.7915831663323446,0.2049107765215276,119.67932367845258,0.9999999999597481,0.16246330721012858,0.7821935502233373,0.21729993393988475
9368.0,156.13333333333333,替浆慢速段(尾浆持续入环空),0.8419815813992777,0.8284555314516973,0.9410976902419916,0.8492838116133149,0.4178515242016953,2468.0,514.372745490982,2468.0,0.7915831663323446,0.20486120268830094,119.67878214759881,0.9999999999597438,0.16241140911737875,0.7822550763604242,0.2172390160477604
9372.0,156.2,替浆慢速段(尾浆持续入环空),0.8420405645957137,0.8285180185239533,0.9410960522874929,0.8492911670919262,0.41786501824062156,2468.0,514.372745490982,2468.0,0.7915831663323446,0.20481169247926603,119.67806309527919,0.999999999959738,0.1623595228348277,0.7823166294829762,0.2171780740931723
9376.0,156.26666666666668,替浆慢速段(尾浆持续入环空),0.8420995346201865,0.8285804747586654,0.9410944137699048,0.8492985705405586,0.41787852060080094,2468.0,514.372745490982,2468.0,0.7915831663323446,0.20476225974218928,119.67722588178671,0.9999999999597312,0.16230764826225053,0.7823782076613683,0.21711710991472163
9380.0,156.33333333333334,替浆慢速段(尾浆持续入环空),0.8421584875332357,0.8286428960641166,0.941092774667367,0.8493060180243696,0.41789202644178014,2468.0,514.372745490982,2468.0,0.7915831663323446,0.20471291904454902,119.67620958138403,0.9999999999597231,0.16225578530543663,0.7824398066165226,0.21705612766061377
9384.0,156.4,替浆慢速段(尾浆持续入环空),0.8422174227969268,0.8287052817476197,0.9410911349567133,0.8493135094644283,0.4179055346764226,2468.0,514.372745490982,2468.0,0.7915831663323446,0.2046636756472486,119.67505183319314,0.9999999999597138,0.16220393386796464,0.7825014244794349,0.2169951290952914
9388.0,156.46666666666667,替浆慢速段(尾浆持续入环空),0.8422763358112668,0.8287676270575186,0.9410894946147215,0.8493210398208064,0.4185471794503332,2468.0,519.3186372745491,2468.0,0.7895791583163134,0.2046145471754894,119.37074693389802,0.9999999999571857,0.16215209385287457,0.7825630563698225,0.21693411901655132
9392.0,156.53333333333333,替浆慢速段(尾浆持续入环空),0.8423352214223618,0.8288299266815916,0.9410878536180042,0.8493286031818855,0.41856067962545246,2468.0,519.3186372745491,2468.0,0.7895791583163134,0.20456555139324561,119.36925641568578,0.9999999999571729,0.16210026516423576,0.7826246966776714,0.21687310294333764
9396.0,156.6,替浆慢速段(尾浆持续入环空),0.8423940800493921,0.8288921808698105,0.9410862119430652,0.8493361999684592,0.41857416913686407,2468.0,519.3186372745491,2468.0,0.7895791583163134,0.20451669252960286,119.36759661649299,0.9999999999571587,0.1620484477106875,0.7826863441504543,0.2168120820901976
9400.0,156.66666666666666,替浆慢速段(尾浆持续入环空),0.8424529057128359,0.8289543834901915,0.941084569565849,0.8493438228490806,0.4185876403687335,2468.0,519.3186372745491,2468.0,0.7895791583163134,0.20446799065314047,119.36575879282269,0.999999999957143,0.1619966413952911,0.7827479924030972,0.2167510627655663
9404.0,156.73333333333332,替浆慢速段(尾浆持续入环空),0.842511695406813,0.8290165313795549,0.9410829264835727,0.8493514677537626,0.41860108865858536,2468.0,519.3186372745491,2468.0,0.7895791583163134,0.20441945908235581,119.36375960411571,0.9999999999571259,0.161944846121158,0.7828096375644844,0.21669004880643025
9408.0,156.8,替浆慢速段(尾浆持续入环空),0.8425704474864996,0.829078622735724,0.9410812826903725,0.8493591319763002,0.4186145109110551,2468.0,519.3186372745491,2468.0,0.7895791583163134,0.2043711066476712,119.36157252883018,0.9999999999571071,0.16189306179388885,0.7828712767258917,0.2166290430774225
9412.0,156.86666666666667,替浆慢速段(尾浆持续入环空),0.8426291595451039,0.8291406549889984,0.941079638162477,0.8493668116758468,0.41862790267892086,2468.0,519.3186372745491,2468.0,0.7895791583163134,0.20432294615213484,119.35923418141243,0.999999999957087,0.161841288319248,0.782932906899123,0.21656804855452375
9416.0,156.93333333333334,替浆慢速段(尾浆持续入环空),0.8426878270664229,0.8292026234554739,0.9410779928761075,0.8493745003005855,0.41864125727150703,2468.0,519.3186372745491,2468.0,0.7895791583163134,0.20427499494569043,119.3567022489977,0.9999999999570652,0.16178952560126386,0.7829945236878922,0.21650706960246638
9420.0,157.0,替浆慢速段(尾浆持续入环空),0.8427464499398752,0.8292645278414655,0.9410763468074593,0.8493821962561444,0.41865457251661936,2468.0,519.3186372745491,2468.0,0.7895791583163134,0.20422725997402424,119.35403428441293,0.9999999999570424,0.16173777354409044,0.7830561265039042,0.2164461068062859
9424.0,157.06666666666666,替浆慢速段(尾浆持续入环空),0.8428050280713755,0.8293263678713779,0.9410746999327482,0.8493898977662525,0.41866784593727835,2468.0,519.3186372745491,2468.0,0.7895791583163134,0.20417974926063812,119.35117450733378,0.9999999999570178,0.16168603205580567,0.7831177151101666,0.21638516039491368
9428.0,157.13333333333333,替浆慢速段(尾浆持续入环空),0.8428635600967671,0.8293881419969058,0.941073052227922,0.8493976013655706,0.41868107362772783,2468.0,519.3186372745491,2468.0,0.7895791583163134,0.20413247381713917,119.34817016767504,0.999999999956992,0.16163430103978954,0.7831792884356216,0.21632423143725674
9432.0,157.2,替浆慢速段(尾浆持续入环空),0.8429220430905564,0.8294498471160139,0.9410714036691695,0.8494053015959867,0.4186942507354687,2468.0,519.3186372745491,2468.0,0.7895791583163134,0.20408544447576063,119.34498965145234,0.9999999999569646,0.1615825803992802,0.7832408437253912,0.21626332264682852
9436.0,157.26666666666668,替浆慢速段(尾浆持续入环空),0.8429804753312236,0.8295114813219264,0.9410697542971063,0.8494129942459527,0.41870737346551223,2468.0,519.3186372745491,2468.0,0.7895791583163134,0.2040386698462507,119.34167565769907,0.9999999999569361,0.16153087003405708,0.7833023793594875,0.21620243561306238
9440.0,157.33333333333334,替浆慢速段(尾浆持续入环空),0.8430388520839651,0.8295730396880265,0.9410681041146379,0.8494206714059858,0.4187204345987494,2468.0,519.3186372745491,2468.0,0.7895791583163134,0.2039921665638894,119.33821255036017,0.9999999999569062,0.16147916984880414,0.7833638915968764,0.21614157403270878
9444.0,157.4,替浆慢速段(尾浆持续入环空),0.8430971696708399,0.8296345183546032,0.9410664530976754,0.8494283263186011,0.41873342825543386,2468.0,519.3186372745491,2468.0,0.7895791583163134,0.2039459473943798,119.33463722605926,0.9999999999568754,0.16142747973739283,0.7834253774721759,0.21608074082964832
9448.0,157.46666666666667,替浆慢速段(尾浆持续入环空),0.8431554260377272,0.8296959150818639,0.941064801220111,0.8494359540495102,0.41874635017742834,2468.0,519.3186372745491,2468.0,0.7895791583163134,0.20390002147815156,119.33094185340207,0.9999999999568435,0.16137579959233725,0.7834868355699309,0.21601993738833222
9452.0,157.53333333333333,替浆慢速段(尾浆持续入环空),0.8432136185473932,0.8297572270464906,0.9410631484556763,0.8494435489074427,0.4187591954575053,2468.0,519.3186372745491,2468.0,0.7895791583163134,0.20385439933737143,119.3271509740245,0.9999999999568108,0.16132412930864035,0.783548264109279,0.2159591654422276
9456.0,157.6,替浆慢速段(尾浆持续入环空),0.8432717437801927,0.8298184506399298,0.9410614947779073,0.8494511042433815,0.41877195846410137,2468.0,519.3186372745491,2468.0,0.7895791583163134,0.2038090927567489,119.323269004145,0.9999999999567772,0.16127246878555548,0.7836096607382683,0.21589842729672554
9460.0,157.66666666666666,替浆慢速段(尾浆持续入环空),0.8433297983945007,0.8298795823451921,0.9410598401610333,0.8494586135260611,0.4187846335601675,2468.0,519.3186372745491,2468.0,0.7895791583163134,0.2037641138377277,119.31931191080992,0.999999999956743,0.16122081790361284,0.7836710234163543,0.21583772494885756
9464.0,157.73333333333332,替浆慢速段(尾浆持续入环空),0.8433877795580978,0.8299406191402579,0.9410581846328276,0.8494660708246659,0.41879721555660265,2468.0,519.3186372745491,2468.0,0.7895791583163134,0.20371947391853304,119.31528953028705,0.9999999999567082,0.1611691765538183,0.783732350668879,0.21577705982377374
9468.0,157.8,替浆慢速段(尾浆持续入环空),0.8434456856868979,0.8300015592462303,0.9410565282209902,0.8494734717251654,0.41880970073612495,2468.0,519.3186372745491,2468.0,0.7895791583163134,0.20367518070672191,119.31120872538904,0.9999999999566729,0.16111754462561448,0.783793642003724,0.21571643236881055
9472.0,157.86666666666667,替浆慢速段(尾浆持续入环空),0.8435035137856683,0.8300623994757571,0.9410548708995371,0.8494808102328205,0.41882208387577263,2468.0,519.3186372745491,2468.0,0.7895791583163134,0.20363124554957707,119.30708678572563,0.9999999999566371,0.16106592200678682,0.7838548959944517,0.21565584396116882
9476.0,157.93333333333334,替浆慢速段(尾浆持续入环空),0.8435612615013943,0.8301231372799226,0.9410532126425522,0.8494880811913134,0.4188343604159072,2468.0,519.3186372745491,2468.0,0.7895791583163134,0.20358767854005824,119.30292127849042,0.9999999999566009,0.16101430857841081,0.7839161117999851,0.2155952954002598
9480.0,158.0,替浆慢速段(尾浆持续入环空),0.8436189277473966,0.8301837713667841,0.9410515534242786,0.8494952810024415,0.41884652675226813,2468.0,519.3186372745491,2468.0,0.7895791583163134,0.2035444888318434,119.2987345157897,0.9999999999565646,0.16096270421994968,0.7839772899180798,0.21553478615888344
9484.0,158.06666666666666,替浆慢速段(尾浆持续入环空),0.8436765110440466,0.8302443000551322,0.9410498932190489,0.8495024056804141,0.4188585792167861,2468.0,519.3186372745491,2468.0,0.7895791583163134,0.2035016849396923,119.29451532820724,0.999999999956528,0.16091110881231047,0.7840384303905562,0.21547431616299245
9488.0,158.13333333333333,替浆慢速段(尾浆持续入环空),0.8437340090622284,0.8303047208277847,0.941048232001281,0.8495094502915519,0.4188705138840501,2468.0,519.3186372745491,2468.0,0.7895791583163134,0.2034592743246987,119.29029173179296,0.9999999999564912,0.16085952223090863,0.7840995323520137,0.21541388623164576
9492.0,158.2,替浆慢速段(尾浆持续入环空),0.8437914190340232,0.8303650307165081,0.9410465697451034,0.8495164091380701,0.41888232618665483,2468.0,519.3186372745491,2468.0,0.7895791583163134,0.20341726577633704,119.28604488481207,0.9999999999564543,0.16080794434531087,0.784160594731229,0.21535349739881335
9496.0,158.26666666666668,替浆慢速段(尾浆持续入环空),0.8438487383688543,0.8304252269015835,0.9410449064337734,0.8495232761844266,0.4188940116169952,2468.0,519.3186372745491,2468.0,0.7895791583163134,0.20337566694839643,119.28180786278163,0.9999999999564173,0.1607563750118802,0.7842216168278153,0.21529315033452603
9500.0,158.33333333333334,替浆慢速段(尾浆持续入环空),0.843905964286421,0.8304853063809071,0.941043242116199,0.8495300451737479,0.4189055655308166,2468.0,519.3186372745491,2468.0,0.7895791583163134,0.2033344856313821,119.2775541121059,0.9999999999563802,0.1607048140836652,0.7842825976945247,0.2152328459608866
9504.0,158.4,替浆慢速段(尾浆持续入环空),0.8439630934745873,0.8305452656305568,0.9410415767663902,0.8495367091800771,0.4189169825575961,2468.0,519.3186372745491,2468.0,0.7895791583163134,0.20329373160112657,119.2733216086437,0.9999999999563433,0.1606532614077216,0.7843435359148105,0.21517258567728978
9508.0,158.46666666666667,替浆慢速段(尾浆持续入环空),0.8440201245093812,0.8306051030248307,0.9410399103580597,0.8495432631764228,0.4189282593949577,2468.0,519.3186372745491,2468.0,0.7895791583163134,0.2032534089597563,119.26907693688774,0.9999999999563062,0.16060171682825317,0.7844044313608187,0.21511236961104432
9512.0,158.53333333333333,替浆慢速段(尾浆持续入环空),0.8440770549028672,0.8306648158816273,0.9410382428660595,0.8495497004106274,0.4189393912362454,2468.0,519.3186372745491,2468.0,0.7895791583163134,0.20321352508429327,119.26486278579051,0.9999999999562694,0.16055018018309883,0.7844652828374571,0.21505219896166863
