depth_md_m,quality_proxy,quality_proxy_pct,simulated_effective_efficiency,simulated_minus_cbl_proxy
5500,0.963,96.3,0.6513858383277734,-0.31161416167222655
5510,0.963,96.3,0.6470514880970981,-0.31594851190290185
5520,0.963,96.3,0.6427653796892281,-0.3202346203107719
5530,0.959,95.9,0.6385383619926657,-0.3204616380073343
5540,0.963,96.3,0.6343373492136481,-0.3286626507863518
5550,0.963,96.3,0.6301352587010078,-0.33286474129899213
5560,0.959,95.9,0.6259364602329495,-0.3330635397670505
5570,0.956,95.6,0.62181379805718,-0.33418620194282
5580,0.956,95.6,0.6177972968413469,-0.3382027031586531
5590,0.952,95.2,0.6138530469673565,-0.3381469530326434
5600,0.956,95.6,0.6099719959345509,-0.3460280040654491
5610,0.959,95.9,0.6062457929655338,-0.35275420703446614
5620,0.956,95.6,0.602706450120993,-0.35329354987900696
5630,0.952,95.2,0.5993217065088209,-0.3526782934911791
5640,0.963,96.3,0.5960813560979079,-0.36691864390209206
5650,0.956,95.6,0.5931044491877276,-0.3628955508122723
5660,0.956,95.6,0.5904256548414033,-0.36557434515859666
5670,0.952,95.2,0.5880256358026985,-0.36397436419730145
5680,0.959,95.9,0.5859177637068459,-0.37308223629315407
5690,0.959,95.9,0.584101819805825,-0.374898180194175
5700,0.956,95.6,0.5826255361582672,-0.3733744638417328
5710,0.952,95.2,0.58151339910296,-0.37048660089704
5720,0.952,95.2,0.5808675819536248,-0.3711324180463752
5730,0.952,95.2,0.5806208163456957,-0.3713791836543042
5740,0.952,95.2,0.5807764339340655,-0.37122356606593443
5750,0.952,95.2,0.581308877985127,-0.370691122014873
5760,0.959,95.9,0.5822028281991395,-0.3767971718008605
5770,0.952,95.2,0.5834495325259665,-0.3685504674740334
5780,0.963,96.3,0.5850407916211258,-0.3779592083788742
5790,0.963,96.3,0.5869820867285427,-0.3760179132714573
5800,0.959,95.9,0.589264915227866,-0.369735084772134
5810,0.967,96.7,0.5918699687403233,-0.3751300312596767
5820,0.959,95.9,0.5947710017472456,-0.36422899825275434
5830,0.959,95.9,0.5979264523866583,-0.36107354761334165
5840,0.952,95.2,0.6012921479392342,-0.3507078520607657
5850,0.952,95.2,0.6048300038413149,-0.34716999615868505
5860,0.959,95.9,0.608520825588939,-0.3504791744110609
5870,0.959,95.9,0.6123532607645303,-0.3466467392354696
5880,0.948,94.8,0.6163340410105156,-0.33166595898948437
5890,0.956,95.6,0.6204950695309197,-0.33550493046908025
5900,0.956,95.6,0.6250735763845879,-0.330926423615412
5910,0.959,95.9,0.6300011460391922,-0.32899885396080775
5920,0.963,96.3,0.6351260811223256,-0.32787391887767436
