井深_m,水泥平均浓度,平均有效顶替效率,钻井液平均浓度,宽边有效效率,中线有效效率,窄边有效效率,宽边水泥浓度,中线水泥浓度,窄边水泥浓度,环空间隙_m,偏心度指标,居中度
7868.0,1.0,0.9999999734166833,0.0,1.0,0.9999999999988821,0.9999996729024093,1.0,1.0,1.0,0.03841255679203555,0.40780000000000005,0.5922
7863.054108216433,0.9999999999999997,0.9999999536908477,3.3306690738754696e-16,1.0,0.9999999999979234,0.9999994083281761,1.0,0.9999999999999999,0.999999999999999,0.03841255679203555,0.40780000000000005,0.5922
7858.108216432865,0.9999999999999999,0.9999999238127109,1.1102230246251565e-16,1.0,0.999999999997187,0.9999990036692139,1.0,0.9999999999999997,0.9999999999999978,0.03841255679203555,0.40780000000000005,0.5922
7853.162324649298,0.9999999999999997,0.9999998768256547,3.3306690738754696e-16,1.0,0.9999999999954079,0.9999983866993132,1.0,0.9999999999999996,0.9999999999999978,0.03841255679203555,0.40780000000000005,0.5922
7848.216432865732,0.9999999999999996,0.9999998041873914,4.440892098500626e-16,1.0,0.9999999999926587,0.9999974176768726,1.0,0.9999999999999996,0.9999999999999978,0.03841255679203555,0.40780000000000005,0.5922
7843.2705410821645,0.9999999999999994,0.999999691637573,5.551115123125783e-16,1.0,0.9999999999902666,0.999995870711398,1.0,0.9999999999999996,0.9999999999999978,0.03841255679203555,0.40780000000000005,0.5922
7838.324649298597,0.9999999999999992,0.9999995191982878,7.771561172376096e-16,1.0,0.999999999988953,0.9999933883140163,1.0,0.9999999999999996,0.9999999999999978,0.03841255679203555,0.40780000000000005,0.5922
7833.37875751503,0.9999999999999992,0.9999992700095905,7.771561172376096e-16,1.0,0.9999999999878817,0.999989398819556,1.0,0.9999999999999996,0.9999999999999978,0.03841255679203555,0.40780000000000005,0.5922
7828.432865731463,0.9999999999999992,0.9999989275907923,7.771561172376096e-16,1.0,0.9999999999869931,0.9999829826961248,1.0,0.9999999999999996,0.9999999999999978,0.03841255679203555,0.40780000000000005,0.5922
7823.486973947895,0.9999999999999992,0.9999984344762355,7.771561172376096e-16,1.0,0.9999999999861598,0.9999712343721082,1.0,0.9999999999999996,0.9999999999999978,0.03841255679203555,0.40780000000000005,0.5922
