井名,变体,η_E,η_N,窜槽,混浆,失稳,Δη_E_vs_基线,Δη_N_vs_基线,耗时_s
呼103,rate_x1.2,0.9919600218358798,0.9606007020119991,0.0,0.029607366577296568,0.0,0.00509490888463715,0.02143409252758066,66.7
呼103,rate_x0.8,0.7680303472102282,0.4713517420823801,0.5100401606423419,0.23340328112755826,0.2926347274025073,-0.21883476574101446,-0.4678148674020383,62.3
呼103,rate_x1.4,0.9940440567655474,0.9703201202368268,0.0,0.022297655233512466,0.0,0.007178943814304728,0.031153510752408353,52.8
呼103,rate_x0.6,0.48720157902219846,0.09187176043315005,0.9156626506019996,0.26863512045180127,0.9998507228205761,-0.4996635339290442,-0.8472948490512684,64.5
呼103,cement_n_p0.1,0.9967524690849351,0.983960457702942,0.0,0.012514632081211622,0.0,0.009887356133692404,0.04479384821852361,54.0
呼103,cement_n_m0.1,0.44081620916561043,0.05486407402693803,0.9558232931722628,0.2728639875702184,0.9999999978154874,-0.5460489037856322,-0.8843025354574804,68.7
呼103,spacer_dens_p100,0.9842986060739471,0.92904160426324,0.0,0.055049795758253396,0.0,-0.002566506877295538,-0.01012500522117843,57.1
呼103,spacer_dens_m100,0.9842243510800968,0.92876389341966,0.0,0.05527188716087834,0.0,-0.0026407618711459246,-0.0104027160647584,54.7
呼103,mud_pv_x1.3,0.9855369366119748,0.9316378907368347,0.0,0.050269857738597705,0.0,-0.0013281763392678503,-0.0075287187475837625,50.6
呼103,mud_pv_x0.7,0.9863578035350121,0.9408286299914482,0.0,0.049098653686334745,0.0,-0.0005073094162305614,0.0016620205070297933,59.0
呼103,standoff_p0.1,0.9971865162129752,0.9875366691379712,0.0,0.010809998455520355,0.0,0.010321403261732476,0.04837005965355279,54.2
呼103,standoff_m0.1,0.5685653205286295,0.058484134963201144,0.9558232931722628,0.24947524345740585,0.9999999995765343,-0.41829979242261317,-0.8806824745212173,54.3
呼101,rate_x1.2,0.49494448458347706,0.030207686558285367,0.9799196787144625,0.3287424739648469,1.0,0.0030016936529981275,-0.0011706994036625312,61.8
呼101,rate_x0.8,0.48988590136845833,0.034234946407804286,0.9759036144574358,0.3738790464537969,1.0,-0.002056889562020603,0.0028565604458563876,67.3
呼101,rate_x1.4,0.49667231624993086,0.02908377601242102,0.9799196787144625,0.3134594952432239,1.0,0.0047295253194519216,-0.002294609949526877,67.8
呼101,rate_x0.6,0.4919210308098904,0.03998893614648006,0.9759036144574358,0.4065468091706895,1.0,-2.1760120588520948e-05,0.008610550184532162,68.3
呼101,cement_n_p0.1,0.47618513707636134,0.036599757018773785,0.9718875502004094,0.35214524739315856,1.0,-0.015757653854117593,0.005221371056825887,60.7
呼101,cement_n_m0.1,0.4522979642761175,0.028646155152493986,0.9799196787144625,0.3739072864953544,1.0,-0.03964482665436142,-0.0027322308094539123,76.6
呼101,spacer_dens_p100,0.4847937407533978,0.030178230051532175,0.9799196787144625,0.347407302757627,1.0,-0.007149050177081118,-0.0012001559104157233,63.5
呼101,spacer_dens_m100,0.4941060589187952,0.031133957309882353,0.9799196787144625,0.3654705599593696,1.0,0.0021632679883162864,-0.0002444286520655453,70.3
呼101,mud_pv_x1.3,0.49095493405430374,0.031114595469141592,0.9799196787144625,0.3525331455628046,1.0,-0.0009878568761751971,-0.00026379049280630604,59.4
呼101,mud_pv_x0.7,0.4836231506259506,0.0311740846547586,0.9799196787144625,0.3489275483738925,1.0,-0.008319640304528308,-0.00020430130718929879,63.5
呼101,standoff_p0.1,0.4790655628053207,0.04151326363942039,0.9718875502004094,0.3464152010233517,1.0,-0.012877228125158235,0.010134877677472495,62.7
呼101,standoff_m0.1,0.4931664993206359,0.031070278268241595,0.9799196787144625,0.34866633523150775,1.0,0.0012237083901569523,-0.00030810769370630264,67.3
