well,domain,stop_s,eta_E,eta_N,mixing,channeling,instability,cement_occ,wall_frac,eta_E_旧基线,delta_vs_旧基线,elapsed_s
hu101,A_当前域,9521.222605720703,0.44421845268517723,0.019235945123302272,0.2996846356669396,0.9879518072285154,1.0,0.44421845268517723,0.502,0.36964176933069803,0.0745766833544792,113.1
hu101,B_仅裸眼域,9521.222605720703,0.4700776482861032,0.019748830431019798,0.3038285368787169,0.98795180722846,1.0,0.4700776482861032,0.4896,0.36964176933069803,0.10043587895540518,254.9
hu102,A_当前域,10594.859169892723,0.6986176205778011,0.13034588862871946,0.18096031669260987,0.991967871484856,1.0,0.6986176205778011,0.2886,0.46648073782110466,0.23213688275669642,343.1
hu102,B_仅裸眼域,10594.859169892723,0.8188172397576308,0.20090630687021666,0.1316688465170133,0.9879518072273098,1.0,0.8188172397576308,0.1816,0.46648073782110466,0.3523365019365261,458.4
hu103,A_当前域,7436.15439945936,0.3067667025116447,0.0961008092225057,0.2406146267486627,0.6827309236944733,0.9992838935411521,0.3067667025116447,0.5196,0.4267827690750394,-0.12001606656339475,463.7
hu103,B_仅裸眼域,7436.15439945936,0.32970156969283465,0.09867761931088022,0.24265305019567468,0.7751004016060419,0.999325429132839,0.32970156969283465,0.5152,0.4267827690750394,-0.09708119938220477,325.5
hu1,A_当前域,20944.358974358976,0.557986955835082,0.19595724103438444,0.3240047403171853,0.819277108433534,0.9999981152820341,0.557986955835082,0.2669,0.5580578260045682,-7.087016948625902e-05,234.3
hu1,B_仅裸眼域,20944.358974358976,0.832350341936836,0.4126859547135251,0.1760659194328615,0.642570281124161,0.9932749105217815,0.832350341936836,0.1413,0.5580578260045682,0.2742925159322678,438.1
hu2,A_当前域,11663.6166026236,0.6297051859752293,0.5049723037606262,0.247177945568574,0.4337349397588443,0.5934144573792461,0.6297051859752293,0.1833,0.6170840773037555,0.012621108671473813,277.2
hu2,B_仅裸眼域,11663.6166026236,0.7205883996139477,0.6112275141674319,0.2147347812016632,0.32931726907613407,0.4089872037150174,0.7205883996139477,0.1205,0.6170840773037555,0.10350432231019224,423.7
ht1_001,A_当前域,10899.63798905449,0.5473503671268127,0.4238084585170446,0.24458613736136195,0.554216867469636,0.6156676636853391,0.5473503671268127,0.2724,0.5478117224307686,-0.0004613553039558571,237.2
ht1_001,B_仅裸眼域,10899.63798905449,0.5911765201372041,0.4704425426533791,0.23979744177426682,0.5060240963852984,0.5296904237528361,0.5911765201372041,0.2325,0.5478117224307686,0.04336479770643553,398.5
ht1_003,A_当前域,10255.164835164836,0.6604123727683902,0.5513331997639135,0.2148074539255756,0.4297188755018221,0.0,0.6604123727683902,0.1923,0.6557578211612777,0.004654551607112478,387.8
ht1_003,B_仅裸眼域,10255.164835164836,0.7178130240939737,0.6180296102748564,0.18965455028596506,0.3614457831323539,0.2034463011086346,0.7178130240939737,0.1598,0.6557578211612777,0.06205520293269606,460.2
ht1_004,A_当前域,11409.610368632579,0.6770045029381752,0.5681285632647316,0.23244379485034752,0.40963855421669804,0.40797480454557344,0.6770045029381752,0.1536,0.1413041034694227,0.5357003994687525,416.2
ht1_004,B_仅裸眼域,11409.610368632579,0.7532594139864727,0.6438253753785308,0.20093880094127314,0.33333333333317333,0.33011564789347836,0.7532594139864727,0.1469,0.1413041034694227,0.61195531051705,221.9
