井深_m,领浆平均浓度,尾浆平均浓度,水泥平均浓度,前置液隔离液平均浓度,冲洗液平均浓度,平均有效顶替效率,钻井液平均浓度,宽边有效效率,中线有效效率,窄边有效效率,宽边水泥浓度,中线水泥浓度,窄边水泥浓度,宽边前置液隔离液浓度,中线前置液隔离液浓度,窄边前置液隔离液浓度,环空间隙_m,偏心度指标,居中度
7601.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.02546946980452584,0.35,0.65
7584.6235742971885,8.362434866213208e-06,0.9999916362206805,0.9999999986555467,8.546663381051396e-11,0.0,0.9999999986555467,1.2589870518392234e-09,0.9999999999999998,0.9999999999999354,0.9999999847191846,0.9999999999999998,0.9999999999999354,0.9999999847191846,7.324463778578624e-35,5.173815184238408e-16,1.0595849848514065e-09,0.024534464862932717,0.35,0.65
7568.247148594378,2.541817980594236e-05,0.9999745777252783,0.9999999959050844,2.9753630020790967e-10,0.0,0.9999999959050844,3.797378963949076e-09,0.9999999999999998,0.9999999999997069,0.9999999543102619,0.9999999999999998,0.9999999999997069,0.9999999543102619,9.307861174001163e-34,2.808670000914619e-15,3.6239921733993496e-09,0.023482688950266516,0.35,0.65
7551.870722891566,5.927484790549014e-05,0.9999407155658696,0.9999999904137753,8.069338002040048e-10,0.0,0.9999999904137753,8.77929099992164e-09,0.9999999999999998,0.9999999999989491,0.9999998951219151,0.9999999999999998,0.9999999999989491,0.9999998951219151,1.1323796536095405e-32,1.2404472318621476e-14,9.641901113183548e-09,0.022906332277655216,0.35,0.65
7535.494297188755,0.00012546333898074511,0.9998745162632858,0.9999999796022666,2.016973829686959e-09,0.0,0.9999999796022666,1.8380759346459342e-08,0.9999999999999998,0.9999999999963833,0.9999997817347233,0.9999999999999998,0.9999999999963833,0.9999997817347233,1.4335514132745377e-31,5.453206424308524e-14,2.3568400915312946e-08,0.02509065670520689,0.35,0.65
7519.117871485943,0.000244361272760465,0.9997555987404023,0.999999960013163,4.628313395832166e-09,0.0,0.999999960013163,3.535852327058895e-08,0.9999999999999997,0.9999999999885187,0.9999995817628693,0.9999999999999997,0.9999999999885187,0.9999995817628693,1.5196134559960167e-30,2.223012285421041e-13,5.2822258223977876e-08,0.03282647506774256,0.35,0.65
7502.741445783133,0.0004179293225015354,0.9995820017197202,0.9999999310422221,8.995843520828947e-09,0.0,0.9999999310422221,5.996193497612738e-08,0.9999999999999996,0.9999999999716787,0.999999291140316,0.9999999999999996,0.9999999999716787,0.999999291140316,9.193234004209716e-30,6.623675347040829e-13,1.0082592232473295e-07,0.03678809336642132,0.35,0.65
7486.365020080321,0.0006378887401825122,0.9993620048476963,0.9999998935878788,1.508591276269156e-08,0.0,0.9999998935878788,9.132620865163256e-08,0.9999999999999996,0.9999999999445558,0.999998918366164,0.9999999999999996,0.9999999999445558,0.999998918366164,3.3778189661882824e-29,1.479782865568204e-12,1.6707358958404483e-07,0.03630462259696966,0.35,0.65
7469.98859437751,0.0008927724206876672,0.9991070764145946,0.9999998488352818,2.2597000949756392e-08,0.0,0.9999998488352818,1.2856771681685623e-07,0.9999999999999996,0.9999999999098984,0.9999984722368034,0.9999999999999996,0.9999999999098984,0.9999984722368034,8.063304436809483e-29,2.608632836029943e-12,2.4872907219266834e-07,0.030193330718752076,0.35,0.65
7453.612168674699,0.0011968915710095602,0.9988029014998101,0.9999997930708193,3.2142954915231094e-08,0.0,0.9999997930708193,1.747862253539831e-07,0.9999999999999991,0.9999999998668541,0.9999979140050727,0.9999999999999991,0.9999999998668541,0.9999979140050727,1.5477276670759767e-28,4.0700246518934495e-12,3.528956783252908e-07,0.02474832001558016,0.35,0.65
