井号,井名,窗口名,窗口类型,窗口顶md,窗口底md,模型窗口η_E,模型窗口η_N,CBL段顶md,CBL段底md,CBL合格率%,CBL质量口径,窗口覆盖率,CBL段覆盖率,纳入现场验证,可比性,备注
hu2,呼探1-002,CBL评价井段,cbl,5292.5,7554,0.9864,0.9913,5292.5,7554,,定性合格,1.0000,1.0000,1,部分可比(定性),无定量合格率；窗口内定性段：定性合格:5292.5-7554；定性合格:3753-5630
hu2,呼探1-002,目标层段（油气显示层）,formation_target,7402,7500,0.9058,0.9999,5292.5,7554,,定性合格,1.0000,0.0433,1,部分可比(定性),无定量合格率；窗口内定性段：定性合格:5292.5-7554
hu2,呼探1-002,目的层-K1q清水河组(地层目标),formation_target,5702,6826.9,0.9998,0.9989,5292.5,7554,,定性合格,1.0000,0.4974,1,部分可比(定性),无定量合格率；窗口内定性段：定性合格:5292.5-7554
hu2,呼探1-002,目的层-J3k2喀拉扎组(地层目标),formation_target,6826.9,7554,0.9564,0.9834,5292.5,7554,,定性合格,1.0000,0.3215,1,部分可比(定性),无定量合格率；窗口内定性段：定性合格:5292.5-7554
hu2,呼探1-002,高压水层(地层目标),formation_target,5998,6002,0.0000,0.9994,5292.5,7554,,定性合格,1.0000,0.0018,1,部分可比(定性),无定量合格率；窗口内定性段：定性合格:5292.5-7554
