井号,井名,窗口名,窗口类型,窗口顶md,窗口底md,模型窗口η_E,模型窗口η_N,CBL段顶md,CBL段底md,CBL合格率%,CBL质量口径,窗口覆盖率,CBL段覆盖率,纳入现场验证,可比性,备注
hu103,呼103,CBL评价井段(139.7mm段),cbl,7338,7712,0.9111,0.6704,7338,7712,12.06,unqualified,1.0000,1.0000,1,可比,
hu103,呼103,CBL评价井段(168.3mm段),cbl,5540,7330.6,0.2988,0.0021,5540,7330.6,0.04,unqualified,1.0000,1.0000,1,可比,
hu103,呼103,全尾管段,custom,5536.66,7770,0.4268,0.1504,5540,7330.6,0.04,unqualified,0.8018,1.0000,1,可比,另有2个局部数字段口径并存
hu103,呼103,全尾管段,custom,5536.66,7770,0.4268,0.1504,7338,7712,12.06,unqualified,0.1675,1.0000,1,部分可比,次要口径
hu103,呼103,全尾管段,custom,5536.66,7770,0.4268,0.1504,7712,7770,2.12,整段尾管综合合格率约2.12%——模型顶替效率应与此对比验证。,0.0260,1.0000,1,部分可比,次要口径
hu103,呼103,气层-K1q(地层目标),formation_target,7507,7557,0.9889,0.9457,7338,7712,12.06,unqualified,1.0000,0.1337,1,部分可比,部分重叠
hu103,呼103,差气层-J3k(地层目标),formation_target,7563,7619,0.9965,0.9808,7338,7712,12.06,unqualified,1.0000,0.1497,1,部分可比,部分重叠
