井深_m,水泥平均浓度,前置液隔离液平均浓度,平均有效顶替效率,钻井液平均浓度,宽边有效效率,中线有效效率,窄边有效效率,宽边水泥浓度,中线水泥浓度,窄边水泥浓度,宽边前置液隔离液浓度,中线前置液隔离液浓度,窄边前置液隔离液浓度,环空间隙_m,偏心度指标,居中度
7735.0,1.1513619154734513e-09,0.0,9.073684717340118e-10,0.9999999988486381,0.0,4.710511824910343e-10,1.2933872990084234e-09,0.0,5.072001150029618e-10,1.9822384271951098e-09,0.0,0.0,0.0,0.02583900049369821,0.55,0.4428000000000002
7728.439568345324,0.06406948839759993,0.0,0.015465266107459604,0.9359305116024002,0.0,0.00036588550677722916,0.04094223556063679,0.0,0.00039385992952426933,0.3383618490747309,0.0,0.0,0.0,0.025609305376131753,0.55,0.43886374100719455
7721.879136690647,0.04726006249028294,0.0,0.012525004241475608,0.9527399375097172,0.0,0.002086789035597651,0.0014480003184784678,0.0,0.0022444187140246855,0.08493232253350694,0.0,0.0,0.0,0.02537961025856525,0.55,0.4349274820143884
7715.318705035971,0.038723530545805324,0.0,0.015390203676616957,0.9612764694541946,0.0,0.008016315834927543,2.1765022008990573e-05,0.0,0.008622518035198463,0.012127648002935297,0.0,0.0,0.0,0.025316159019917784,0.55,0.43384012538540606
7708.758273381295,0.0427245403881939,0.0,0.021113864741905387,0.9572754596118058,0.0,0.0224058122024369,1.9758184697114363e-07,0.0,0.024132401872198204,0.0012919309419262672,0.0,0.0,0.0,0.025419434202373803,0.55,0.4356099403905445
7702.197841726619,0.04792738444695028,0.0,0.026715793017045526,0.9520726155530497,0.0,0.046088680770680755,1.1942254321713839e-09,0.0,0.04983943303913741,0.00011024275758672003,0.0,0.0,0.0,0.02595101433159904,0.55,0.4447195683453232
7695.637410071942,0.05471572058327552,0.0,0.03315626560468194,0.9452842794167245,0.0,0.07374013714034475,5.276449988473302e-12,0.0,0.07963316559469713,7.904865875275628e-06,0.0,0.0,0.0,0.025692690536775385,0.55,0.44029270298047246
7689.076978417266,0.06319691821741608,0.0,0.040653846144802115,0.9368030817825835,0.0,0.10498468624687128,1.795414521836618e-14,0.0,0.1129453751409854,4.914658416987992e-07,0.0,0.0,0.0,0.025058117337750853,0.55,0.42941809455292923
7682.51654676259,0.0729246362083367,0.0,0.049031020104706495,0.9270753637916632,9.223411168188965e-188,0.13999753528864078,4.8280001260359776e-17,9.28750302051432e-188,0.15020255259686355,2.6966840367674706e-08,0.0,0.0,0.0,0.024556069437927024,0.55,0.4208145570400827
7675.956115107913,0.08339380189578899,0.0,0.0577850237395506,0.9166061981042108,8.381668999828975e-186,0.17820950689171627,1.0435252120497728e-19,8.438331647207495e-186,0.1910385482837511,1.3201197631286208e-09,0.0,0.0,0.0,0.024308875059378943,0.55,0.41657841521068856
