井深_m,水泥平均浓度,平均有效顶替效率,钻井液平均浓度,宽边有效效率,中线有效效率,窄边有效效率,宽边水泥浓度,中线水泥浓度,窄边水泥浓度,环空间隙_m,偏心度指标,居中度
7868.0,1.1617500417361042e-12,1.1588598402526104e-12,0.9999999999988383,3.3749179037440485e-29,1.0762561923722815e-16,1.6395325411808797e-11,3.3749179113647333e-29,1.076265699949728e-16,1.6441789594784832e-11,0.03841255679203555,0.40780000000000005,0.5922
7863.054108216433,4.877088728895571e-05,4.8616499150123114e-05,0.9999512291127111,1.545767920828882e-23,6.535570370789012e-10,0.000750329685720683,1.5457679240881303e-23,6.535674070661063e-10,0.0007529532338166798,0.03841255679203555,0.40780000000000005,0.5922
7858.108216432865,0.0003427012225341125,0.00034148273661220726,0.9996572987774659,7.826508401111514e-22,8.613325133768444e-09,0.005121369679640415,7.826508417075742e-22,8.613504171746926e-09,0.005140782457650199,0.03841255679203555,0.40780000000000005,0.5922
7853.162324649298,0.0012281226337832946,0.0012233161744868765,0.9987718773662168,1.8963037526138798e-20,5.740495600020379e-08,0.01779889413324705,1.8963037563194783e-20,5.740683728748668e-08,0.017867916880213063,0.03841255679203555,0.40780000000000005,0.5922
7848.216432865732,0.0030328148276118224,0.0030197063388768364,0.9969671851723881,2.9412648910714347e-19,2.5961292234754613e-07,0.04255326685057969,2.9412648965400685e-19,2.596260413886536e-07,0.04272033649439452,0.03841255679203555,0.40780000000000005,0.5922
7843.2705410821645,0.005888730480446691,0.005860298852644154,0.9941112695195533,3.297558958050923e-18,9.025017602521356e-07,0.07993191295033798,3.2975589638705804e-18,9.025600245566821e-07,0.08025456201733835,0.03841255679203555,0.40780000000000005,0.5922
7838.324649298597,0.009707454675866707,0.009654832856934885,0.9902925453241332,2.861582289436431e-17,2.5882740505663346e-06,0.12760169835039661,2.8615822942293143e-17,2.5884566349768423e-06,0.12814680356840022,0.03841255679203555,0.40780000000000005,0.5922
7833.37875751503,0.014248896804337007,0.014164341920207936,0.985751103195663,2.0102716057726107e-16,6.4091174596283e-06,0.18133000301578925,2.0102716089784239e-16,6.4095946044707774e-06,0.1821798323737911,0.03841255679203555,0.40780000000000005,0.5922
7828.432865731463,0.019218751428152655,0.019098026080067925,0.9807812485718473,1.1807010214908263e-15,1.4137993112906019e-05,0.2367069143222997,1.180701023288269e-15,1.413907922538377e-05,0.23797167886491233,0.03841255679203555,0.40780000000000005,0.5922
7823.486973947895,0.02435981431574475,0.024199411928777472,0.9756401856842553,5.942438246934727e-15,2.8407058857656105e-05,0.29036669039809654,5.94243825563552e-15,2.8409289649338746e-05,0.2922999788247483,0.03841255679203555,0.40780000000000005,0.5922
7818.541082164329,0.02947638103797399,0.029272685119541356,0.9705236189620244,2.613755219636452e-14,5.283724915311862e-05,0.34030028378143296,2.61375522334716e-14,5.28414527770845e-05,0.34315896847621397,0.03841255679203555,0.40780000000000005,0.5922
7813.595190380762,0.03442894472115328,0.03417435415472845,0.9655710552786688,1.0210649143180078e-13,9.206659298373984e-05,0.38537345413265295,1.0210649157262535e-13,9.20739413211009e-05,0.3894919460019908,0.03841255679203555,0.40780000000000005,0.5922
7808.6492985971945,0.03911971403046327,0.038767289957901914,0.9608802859462794,3.590967734416908e-13,0.00015159594497236685,0.42429589760354514,3.5909677392140435e-13,0.00015160796635734945,0.430879675047459,0.03841255679203555,0.40780000000000005,0.5922
7803.703406813627,0.04348847642838614,0.04299336927257368,0.9565115229278786,1.1501194365647589e-12,0.00023740266523946296,0.45713190002425835,1.1501194380699156e-12,0.00023742132662023713,0.46728895257741404,0.03841255679203555,0.40780000000000005,0.5922
7798.75751503006,0.0474955411616531,0.046833420065017756,0.9525044511772922,3.3880202806836284e-12,0.0003554686121899056,0.48368181866587145,3.388020284900686e-12,0.00035549642884559213,0.49888075967604956,0.03841255679203555,0.40780000000000005,0.5922
7793.811623246493,0.051087510148131655,0.05023760320123404,0.9489124357572571,9.258434503640065e-12,0.0005113184494293635,0.5042013626083498,9.258434515404179e-12,0.0005113578672279989,0.5259307531835109,0.03841255679203555,0.40780000000000005,0.5922
7788.865731462925,0.05417240848344081,0.05312456530182579,0.945827330512437,2.3645355130262342e-11,0.0007084820621474033,0.5194337936019515,2.364535515853951e-11,0.0007085354512362128,0.5488589079745765,0.03841255679203555,0.40780000000000005,0.5922
7783.919839679359,0.05669153502153689,0.05545805972859936,0.9433075315125774,5.680448507669417e-11,0.0009437753549347093,0.5309203898327879,5.680448513901849e-11,0.0009438448553436031,0.5682685945488564,0.03841255679203555,0.40780000000000005,0.5922
7778.973947895792,0.05880631271041692,0.05737579234654957,0.9411910523699581,1.290926241071084e-10,0.0012010454267973934,0.5390711976666338,1.2909262425130389e-10,0.0012011318281122724,0.5849842041511614,0.03841255679203555,0.40780000000000005,0.5922
7774.0280561122245,0.06100855632387952,0.05934931761073688,0.9389852604378737,2.7889834143223923e-10,0.0014525524945498507,0.5436321525929193,2.7889834175415135e-10,0.0014526542903396315,0.5995427974599697,0.03841255679203555,0.40780000000000005,0.5922
7769.082164328657,0.0639425943482752,0.06202483811583756,0.9360448433885831,5.75295807594176e-10,0.0016754829836042868,0.5438533905217815,5.752958082559359e-10,0.0016755972874800498,0.6110416884873155,0.03841255679203555,0.40780000000000005,0.5922
7764.13627254509,0.06796541746292006,0.06577844446268193,0.9320119304843754,1.1373086529674495e-09,0.0018747765992665763,0.5371820200345716,1.1373086541524327e-09,0.0018749006763798192,0.6160966814360692,0.03841255679203555,0.40780000000000005,0.5922
7759.190380761523,0.07278527707942885,0.07035911995873993,0.9271782274131665,2.1619288997668284e-09,0.002093158816989575,0.5202076890737559,2.161928902056249e-09,0.0020932933664616245,0.609607481886577,0.03841255679203555,0.40780000000000005,0.5922
7754.244488977956,0.07763815643161757,0.07505212238366747,0.9223095272478359,3.9630211586246654e-09,0.002401593161020898,0.492004242549253,3.963021163565647e-09,0.0024017433096991865,0.5885546462368046,0.03841255679203555,0.40780000000000005,0.5922
7749.298597194389,0.08193085914777322,0.07928464432661558,0.9180024813652307,7.02273023402831e-09,0.002885862064794917,0.45713739901959805,7.022730245232707e-09,0.0028860378420813475,0.5564848892010014,0.03841255679203555,0.40780000000000005,0.5922
7744.352705410822,0.08525513641957304,0.08260366825405784,0.9146685897475939,1.205538911200301e-08,0.0035285774628391288,0.42350418750289637,1.2055389131225111e-08,0.0035287879082729094,0.522535214814594,0.03841255679203555,0.40780000000000005,0.5922
7739.406813627254,0.09255795479857828,0.08975081833394785,0.9073567845779292,2.0371158953417653e-08,0.005974066801832889,0.3941654435234019,2.0371158985639984e-08,0.005974398489761458,0.4938879299393105,0.03841255679203555,0.40780000000000005,0.5922
7734.460921843687,0.09771464442262871,0.09444718594085298,0.9021993089690339,3.448148471838226e-08,0.010627536397052975,0.3570406825138858,3.4481484795357504e-08,0.010628260332022039,0.4691962101745547,0.03841255679203555,0.4296,0.5704
7729.51503006012,0.10044807886746189,0.09705298535641571,0.8994714291600975,5.665431449659734e-08,0.013321168863090939,0.3339871831576868,5.665431470704033e-08,0.013322040193230803,0.4532599105024855,0.03841255679203555,0.4296,0.5704
7724.5691382765535,0.10291899693927166,0.09939110403515729,0.8970075349235588,9.04134780723054e-08,0.016298161838803893,0.31599449838393473,9.041347851608316e-08,0.01629918468765603,0.44238965802367514,0.03841255679203555,0.4296,0.5704
7719.623246492986,0.10506047971247659,0.10141811001799987,0.8948732741544871,1.4036533077072063e-07,0.019404314488421483,0.3007594422091691,1.4036533145551733e-07,0.01940548804907267,0.4335064042602649,0.03841255679203555,0.4296,0.5704
7714.677354709419,0.10687991669673211,0.10315662226005247,0.8930605959171811,2.1236309272464452e-07,0.022454523629860047,0.28722401730343694,2.1236309406500182e-07,0.022455832971762225,0.4247886637295617,0.03841255679203555,0.4296,0.5704
7709.731462925852,0.10845993105848892,0.10469521128443805,0.8914866080195941,3.137858005351845e-07,0.02528553595407151,0.27523842095333634,3.13785803304574e-07,0.025286957211763415,0.4156691777831676,0.03841255679203555,0.4296,0.5704
7704.785571142284,0.10992864003415179,0.10615755611020074,0.8900231481680132,4.5393976266398424e-07,0.027811933471250137,0.2651494870492058,4.539397673361015e-07,0.027813443383862383,0.406603091150427,0.03841255679203555,0.4296,0.5704
7699.839679358717,0.11140185526496002,0.1076489181915988,0.8885544874782814,6.446637601445446e-07,0.030051779370871928,0.2574247612906276,6.446637674567137e-07,0.030053352058391762,0.39862015923952987,0.03841255679203555,0.4296,0.5704
7694.89378757515,0.1129577921179556,0.10923263152873354,0.8870025307442804,9.01125019699662e-07,0.03210820334817814,0.2523214993287922,9.011250292031092e-07,0.03210981869190456,0.3927102210364387,0.03841255679203555,0.4296,0.5704
7689.9478957915835,0.11461346356847289,0.11091365694990622,0.8853503884216899,1.242814634386774e-06,0.034117969329808304,0.24972950153136217,1.2428146466979289e-06,0.034119627940408556,0.3893654538180431,0.03841255679203555,0.4296,0.5704
7685.002004008016,0.11633293604894596,0.11264916838692368,0.8836340973797602,1.6946825490915706e-06,0.03619290651908128,0.24920642701878737,1.6946825687375797e-06,0.03619460913235999,0.38848019881025864,0.03841255679203555,0.4296,0.5704
7680.056112224449,0.1180534597949737,0.11437442640498621,0.8819164801867617,2.288367438466396e-06,0.038379054413477234,0.250132794991145,2.2883674667640753e-06,0.03838080156675461,0.38952527746550125,0.03841255679203555,0.4296,0.5704
7675.110220440882,0.11971478096506866,0.11603051670268898,0.8802578334675635,3.063415514168444e-06,0.04064676340915827,0.2518857966208118,3.0634155487503283e-06,0.040648549997331467,0.3918133884919525,0.03841255679203555,0.4296,0.5704
7670.164328657314,0.12128006936869895,0.1175833231231745,0.878695008171226,4.068393146765528e-06,0.04291100334101795,0.25396043486077585,4.068393183796516e-06,0.042912830009131,0.3947131931635187,0.03841255679203555,0.4296,0.5704
7665.218436873747,0.12274284278903175,0.11902892857569833,0.8772344956062414,5.361763655248346e-06,0.045069576179693344,0.25601393070319134,5.3617637080148766e-06,0.045071443645583756,0.3977593199234128,0.03841255679203555,0.4296,0.5704
7660.272545090181,0.1241212615727113,0.12038766999416646,0.8758581416785206,7.0124466496306e-06,0.04704117092580523,0.25786057067127816,7.012446724321088e-06,0.047043072396639816,0.40067162221770725,0.03841255679203555,0.4296,0.5704
7655.3266533066135,0.12544648688705226,0.1216920591926861,0.8745347937202137,9.099996727513837e-06,0.04878836436985348,0.25943125994235083,9.099996811559346e-06,0.048790291765132096,0.4033216683757088,0.03841255679203555,0.4296,0.5704
7650.380761523046,0.12675066152541972,0.1229748654370785,0.8732323212147768,1.1714420041774012e-05,0.05032067964333212,0.26072662544858904,1.1714420136820267e-05,0.05032261559426417,0.40568158892604034,0.03841255679203555,0.4296,0.5704
7645.434869739479,0.1280584967212931,0.12426116986888028,0.8719260281320824,1.4955678166304397e-05,0.051681523131477294,0.2617828804759137,1.4955678284345062e-05,0.05168345476255218,0.40777699021799074,0.03841255679203555,0.4296,0.5704
7640.488977955912,0.1293844667655153,0.12556534473204428,0.8706014563966196,1.893298341543841e-05,0.05292839023139595,0.26264275124243613,1.893298357523636e-05,0.05293029975850433,0.4096526126138921,0.03841255679203555,0.4296,0.5704
7635.543086172344,0.13073406067663987,0.12689271875894714,0.8692531324374417,2.376395509799676e-05,0.054115088933025475,0.26334229104752205,2.3763955277909272e-05,0.05411697816819322,0.4113513966964315,0.03841255679203555,0.4296,0.5704
7630.597194388778,0.1321069308423193,0.1282430213858469,0.8678814174336408,2.9573666791315592e-05,0.05528144025603369,0.26391074872288095,2.9573666980164603e-05,0.05528331194986334,0.4129044792963024,0.03841255679203555,0.4296,0.5704
7625.651302605211,0.13350334151035811,0.12961615404826557,0.8664860583578128,3.6493779597826654e-05,0.05645045936649085,0.26436061622161977,3.6493779825712276e-05,0.05645231072763696,0.41432885507696726,0.03841255679203555,0.4296,0.5704
7620.705410821643,0.13492627130138587,0.13101507031444498,0.8650640858373331,4.466172114843974e-05,0.05763347998226794,0.26469570565714323,4.4661721424709086e-05,0.05763530665844865,0.415629845172598,0.03841255679203555,0.4296,0.5704
7615.759519038076,0.13638096870956176,0.13244482782292172,0.8636102591226006,5.421973591868339e-05,0.05883849884118733,0.2649132408218058,5.421973621346429e-05,0.05884029760248923,0.4168048292869382,0.03841255679203555,0.4296,0.5704
7610.813627254509,0.13787507307821742,0.13391242080470697,0.8621169456070339,6.531381969939036e-05,0.06007496663745698,0.26499861038133526,6.531381996742418e-05,0.06007673838624721,0.4178468803285841,0.03841255679203555,0.4296,0.5704
