time_s,time_min,stage,bulk_cement_fill,effective_efficiency,target_interval_efficiency,cbl_eval_interval_efficiency,cbl_quality_proxy,front_wide_m,front_narrow_m,front_mid_m,channeling_index,mixing_index,instability_proxy,instability_index,mean_wall_mud,mean_cement,mean_mud
10696.0,178.26666666666668,替浆慢速段(钻井液入环空),0.6744804683745828,0.6549265280328341,0.14572317425447223,0.640785063144118,0.35965742752883806,2468.0,1117.7715430861724,2468.0,0.5470941883765318,0.2940968931367591,100.25412134001051,0.9999999980409855,0.1003905180919689,0.6440460350214331,0.3531247241265402
10700.0,178.33333333333334,替浆慢速段(钻井液入环空),0.6743229912836445,0.6547858991900221,0.14570019055496328,0.6406010952591963,0.3594879055348811,2468.0,1117.7715430861724,2468.0,0.5470941883765318,0.2945373538915622,100.26080967193255,0.9999999980436042,0.10029057528847742,0.6439733345955397,0.3532051895030264
10704.0,178.4,替浆慢速段(钻井液入环空),0.6742327729245501,0.6547124349990354,0.14567721638878253,0.640496345240383,0.35936878023860996,2468.0,1117.7715430861724,2468.0,0.5470941883765318,0.29493851204911936,100.22068689085701,0.9999999980278418,0.10019073151292672,0.6438806922628623,0.35330557771769866
10708.0,178.46666666666667,替浆慢速段(钻井液入环空),0.6740687879195135,0.6545651175540225,0.14565425198223206,0.6403045864194922,0.3591965111333782,2468.0,1117.7715430861724,2468.0,0.5470941883765318,0.29536861751294413,100.22556573199799,0.9999999980297652,0.10009098587427494,0.643800069504949,0.3533939269854804
10712.0,178.53333333333333,替浆慢速段(钻井液入环空),0.6739618115350006,0.6544747294860769,0.14563129759142626,0.6401799793304882,0.3590649364948306,2468.0,1117.7715430861724,2468.0,0.5470941883765318,0.2957788229590566,100.19074917502243,0.999999998015998,0.09999133798013066,0.6436955548363467,0.3535061502929171
10716.0,178.6,替浆慢速段(钻井液入环空),0.6737817355073813,0.6543111700931331,0.14560835347250525,0.6399691662045366,0.35887872046387737,2468.0,1117.7715430861724,2468.0,0.5470941883765318,0.29623109422039196,100.19541787947759,0.9999999980178497,0.09989178712141124,0.643599279357409,0.3536101163105498
10720.0,178.66666666666666,替浆慢速段(钻井液入环空),0.6736559941093008,0.6542018813458061,0.14558541992924365,0.6398223698949095,0.3587353261366181,2468.0,1117.7715430861724,2468.0,0.5470941883765318,0.2966375476826288,100.16586518125399,0.9999999980060994,0.0997923329735835,0.6434814850079762,0.3537355843907115
10724.0,178.73333333333332,替浆慢速段(钻井液入环空),0.6734605003167687,0.6540227842155347,0.14556249718659978,0.6395933308745593,0.358536714708206,2468.0,1117.7715430861724,2468.0,0.5470941883765318,0.29710485767878264,100.16943099445427,0.9999999980075209,0.09969297495972,0.6433699357130643,0.3538547904869979
10728.0,178.8,替浆慢速段(钻井液入环空),0.6733110843711667,0.6538897171392444,0.14553958549852072,0.6394185943724936,0.3583774597867678,2468.0,1117.7715430861724,2468.0,0.5470941883765318,0.2975130880320878,100.14481780322693,0.9999999979976885,0.0995937127930893,0.6432348918757239,0.3539974754607174
10732.0,178.86666666666667,替浆慢速段(钻井液入环空),0.6730960549849874,0.6536909973727676,0.1455166850439027,0.6391665132135155,0.3581648525385484,2468.0,1117.7715430861724,2468.0,0.5470941883765318,0.2979882273048226,100.1468176392029,0.9999999979984892,0.09949454598821313,0.6431045373219941,0.35413545535734253
10736.0,178.93333333333334,替浆慢速段(钻井液入环空),0.6729322366649497,0.6535434581609835,0.14549379601907406,0.6389748053864379,0.3579980658990217,2468.0,1117.7715430861724,2468.0,0.5470941883765318,0.29838379915640223,100.1267417141703,0.9999999979904366,0.09939547429978311,0.642959274147489,0.3542883291396569
10740.0,179.0,替浆慢速段(钻井液入环空),0.6727056295240741,0.6533331087742325,0.14547091864414233,0.6387091032725751,0.3577790503390003,2468.0,1117.7715430861724,2468.0,0.5470941883765318,0.2988514684362995,100.12715321176103,0.9999999979906019,0.09929649735886777,0.6428173451735298,0.3544378540447403
10744.0,179.06666666666666,替浆慢速段(钻井液入环空),0.6725218090401958,0.6531655342422439,0.1454480529936153,0.6384938660384933,0.3576026337982144,2468.0,1117.7715430861724,2468.0,0.5470941883765318,0.2992239207719306,100.11026952599222,0.9999999979838052,0.09919761503542546,0.6426580032206468,0.35460477842486243
10748.0,179.13333333333333,替浆慢速段(钻井液入环空),0.6722716668857316,0.652931635828924,0.14542519923879674,0.6382004926374675,0.3573696319661173,2468.0,1117.7715430861724,2468.0,0.5470941883765318,0.29968222691663404,100.10815430605055,0.9999999979829521,0.09909882710759842,0.6424936597718401,0.3547766909361348
10752.0,179.2,替浆慢速段(钻井液入环空),0.6720665024151293,0.6527427225691181,0.1454023576005076,0.6379601895388475,0.35717907822264316,2468.0,1117.7715430861724,2468.0,0.5470941883765318,0.3000559466123407,100.09648685603877,0.9999999979782399,0.09900013354364831,0.6423183937206215,0.35495951353568933
10756.0,179.26666666666668,替浆慢速段(钻井液入环空),0.6718057912122176,0.6524982800480094,0.1453795283090339,0.6376544746097885,0.3574117948684137,2468.0,1122.7174348697395,2468.0,0.5450901803605006,0.30050813508175644,99.72709317830268,0.9999999978232189,0.0989015341023699,0.6421419488004088,0.3551435025873123
10760.0,179.33333333333334,替浆慢速段(钻井液入环空),0.6715921124789964,0.6523008974358002,0.14535671159635832,0.6374042757714468,0.3572262169549804,2468.0,1122.7174348697395,2468.0,0.5450901803605006,0.30081101168422286,99.71786353846483,0.999999997819197,0.09880302874652243,0.6419612068473461,0.35533177699797774
10764.0,179.4,替浆慢速段(钻井液入环空),0.6713267994386918,0.6520519176079381,0.14533390769519675,0.6370933002412099,0.3569875309002627,2468.0,1122.7174348697395,2468.0,0.5450901803605006,0.30124145315361933,99.71369148369952,0.9999999978173766,0.09870461740760197,0.6417778278351765,0.35552267697603374
10768.0,179.46666666666667,替浆慢速段(钻井液入环空),0.6710833127744611,0.6518248106512019,0.14531111677750863,0.6368081516237399,0.35678370307823354,2468.0,1122.7174348697395,2468.0,0.5450901803605006,0.3015359830533606,99.70803508972399,0.9999999978149061,0.09860630017697412,0.6415770631735379,0.3557309521266553
10772.0,179.53333333333333,替浆慢速段(钻井液入环空),0.6707780672129042,0.6515359997117738,0.1452883390637682,0.6364503131619302,0.35651711667300967,2468.0,1122.7174348697395,2468.0,0.5450901803605006,0.30197821589340584,99.7021875551151,0.999999997812349,0.09850807721282225,0.6413533606161247,0.35596215496379047
10776.0,179.6,替浆慢速段(钻井液入环空),0.6704886453276097,0.6512630749623256,0.14526557478527177,0.6361112450677212,0.3562756954794661,2468.0,1122.7174348697395,2468.0,0.5450901803605006,0.3023228634806697,99.70644575001793,0.9999999978142113,0.09840994872530963,0.641118626351203,0.3562043795793863
10780.0,179.66666666666666,替浆慢速段(钻井液入环空),0.6701585723407837,0.6509495681917339,0.14524282421878032,0.635724385131449,0.3559914702283766,2468.0,1122.7174348697395,2468.0,0.5450901803605006,0.302775316729815,99.70164868761985,0.9999999978121134,0.09831191497222774,0.6408685121138187,0.3564619744007558
10784.0,179.73333333333332,替浆慢速段(钻井液入环空),0.6698557397681415,0.6506633760984909,0.14522008760556804,0.6353697673036905,0.35574361154442163,2468.0,1122.7174348697395,2468.0,0.5450901803605006,0.30310557902112534,99.7107904491237,0.9999999978161099,0.09821397622349491,0.640623564484494,0.3567143927748053
10788.0,179.8,替浆慢速段(钻井液入环空),0.6695347418923857,0.6503590965799423,0.14519736517801932,0.6349938736314952,0.3554647665376204,2468.0,1122.7174348697395,2468.0,0.5450901803605006,0.3035641243681627,99.70818935867736,0.9999999978149735,0.09811613279333302,0.6403792492147281,0.35696616905034345
10792.0,179.86666666666667,替浆慢速段(钻井液入环空),0.6692475432295135,0.6500886960517882,0.14517465716814332,0.6346579600922482,0.3552264781859261,2468.0,1122.7174348697395,2468.0,0.5450901803605006,0.3039012373383887,99.71625900335141,0.9999999978184971,0.0980183849362424,0.6401474819676256,0.357205387653553
10796.0,179.93333333333334,替浆慢速段(钻井液入环空),0.6689445711589749,0.6498026022539202,0.14515196380792028,0.634303593094049,0.3549527113620431,2468.0,1122.7174348697395,2468.0,0.5450901803605006,0.304407546255428,99.7153749763445,0.9999999978181113,0.09792073298194857,0.6399171338102327,0.35744317771985407
10800.0,180.0,替浆慢速段(钻井液入环空),0.6686678751510883,0.6495428637240821,0.14512928532913089,0.6339803377922031,0.3547079376760199,2468.0,1122.7174348697395,2468.0,0.5450901803605006,0.30483659939402996,99.72135531874709,0.9999999978207195,0.09782317721383062,0.6396970253676054,0.35767071871643363
10804.0,180.06666666666666,替浆慢速段(钻井液入环空),0.6683831167374924,0.6492751395669409,0.1451066219595665,0.6336477146385896,0.3544261498599389,2468.0,1122.7174348697395,2468.0,0.5450901803605006,0.3054796065830116,99.7220693712971,0.9999999978210307,0.09772571798958024,0.6394780239225087,0.357897143537447
10808.0,180.13333333333333,替浆慢速段(钻井液入环空),0.6681327123894382,0.6490418429226237,0.14508397386705948,0.633355718501676,0.35417405570477356,2468.0,1122.7174348697395,2468.0,0.5450901803605006,0.3060763938532875,99.72584634560681,0.9999999978226761,0.09762835549120671,0.6392860713244202,0.358096509797589
10812.0,180.2,替浆慢速段(钻井液入环空),0.6679062399997223,0.648832547435137,0.14506134126798256,0.6330920592180959,0.3539148509413525,2468.0,1122.7174348697395,2468.0,0.5450901803605006,0.30682810623252177,99.72236222972948,0.9999999978211583,0.09753108988244706,0.6391095650425256,0.3582804203747657
