depth_md_m,quality_proxy,quality_proxy_pct,simulated_effective_efficiency,simulated_minus_cbl_proxy
5500,0.963,96.3,0.8568094929241293,-0.10619050707587063
5510,0.963,96.3,0.8565860961938869,-0.10641390380611304
5520,0.963,96.3,0.8563714314543722,-0.10662856854562774
5530,0.959,95.9,0.8561555225073545,-0.10284447749264547
5540,0.963,96.3,0.8559233106244504,-0.1070766893755496
5550,0.963,96.3,0.8556596980148731,-0.1073403019851269
5560,0.959,95.9,0.8553537694899108,-0.10364623051008914
5570,0.956,95.6,0.8549967563807955,-0.10100324361920443
5580,0.956,95.6,0.8545840896195567,-0.10141591038044329
5590,0.952,95.2,0.8541185374117655,-0.09788146258823449
5600,0.956,95.6,0.8536131777812844,-0.10238682221871553
5610,0.959,95.9,0.8530854588976187,-0.1059145411023813
5620,0.956,95.6,0.8525529785129045,-0.1034470214870955
5630,0.952,95.2,0.8520311483133833,-0.09996885168661662
5640,0.963,96.3,0.8515312211135803,-0.1114687788864197
5650,0.956,95.6,0.8510621199164367,-0.1049378800835633
5660,0.956,95.6,0.8506299355312477,-0.1053700644687523
5670,0.952,95.2,0.8502399209787715,-0.10176007902122841
5680,0.959,95.9,0.8498966063563196,-0.10910339364368038
5690,0.959,95.9,0.8495969827525417,-0.10940301724745827
5700,0.956,95.6,0.8493009163100294,-0.10669908368997061
5710,0.952,95.2,0.8490068949496592,-0.10299310505034076
5720,0.952,95.2,0.8488107071086405,-0.10318929289135947
5730,0.952,95.2,0.8486390691985015,-0.10336093080149844
5740,0.952,95.2,0.848473813803939,-0.10352618619606091
5750,0.952,95.2,0.848300755975453,-0.103699244024547
5760,0.959,95.9,0.8481049595422808,-0.11089504045771914
5770,0.952,95.2,0.8478682736698787,-0.10413172633012124
5780,0.963,96.3,0.8475709342874799,-0.1154290657125201
5790,0.963,96.3,0.8471967121622844,-0.11580328783771554
5800,0.959,95.9,0.8467359483547898,-0.11226405164521014
5810,0.967,96.7,0.8461954780110901,-0.1208045219889099
5820,0.959,95.9,0.8456101198379172,-0.11338988016208273
5830,0.959,95.9,0.8450508966064143,-0.11394910339358566
5840,0.952,95.2,0.8446273442276008,-0.10737265577239918
5850,0.952,95.2,0.8444665211266562,-0.10753347887334375
5860,0.959,95.9,0.8446727880307886,-0.11432721196921136
5870,0.959,95.9,0.8452779747076683,-0.11372202529233166
5880,0.948,94.8,0.8462190756603042,-0.10178092433969577
5890,0.956,95.6,0.847383764851241,-0.10861623514875896
5900,0.956,95.6,0.8486857152297177,-0.10731428477028226
5910,0.959,95.9,0.8500929333971834,-0.10890706660281657
5920,0.963,96.3,0.851619605434079,-0.11138039456592097
5930,0.963,96.3,0.8532844468542885,-0.10971555314571146
5940,0.963,96.3,0.8550924283244826,-0.10790757167551734
5950,0.941,94.1,0.8570736152350641,-0.08392638476493586
5960,0.956,95.6,0.8593109848617283,-0.09668901513827166
5970,0.952,95.2,0.8619813873716183,-0.09001861262838162
5980,0.944,94.4,0.8653235823124119,-0.07867641768758804
5990,0.944,94.4,0.8695030627429197,-0.07449693725708029
6000,0.956,95.6,0.8747132896478577,-0.0812867103521423
6010,0.937,93.7,0.8800926763860073,-0.056907323613992755
6020,0.926,92.6,0.8834661827772889,-0.0425338172227111
6030,0.963,96.3,0.8839603326728086,-0.07903966732719137
6040,0.941,94.1,0.8815049335599495,-0.059495066440050426
6050,0.074,7.4,0.8764434599921591,0.8024434599921592
6060,0.074,7.4,0.8507363863401295,0.7767363863401295
6070,0.074,7.4,0.8280024161726681,0.7540024161726682
6080,0.074,7.4,0.8218951263286991,0.7478951263286991
6090,0.074,7.4,0.8214360366120537,0.7474360366120537
6100,0.074,7.4,0.8220102612766004,0.7480102612766004
6110,0.074,7.4,0.8241687471937252,0.7501687471937253
6120,0.074,7.4,0.826701427525829,0.752701427525829
6130,0.074,7.4,0.82798175767122,0.75398175767122
6140,0.07,7.0,0.8286482466219218,0.7586482466219218
6150,0.074,7.4,0.8286467747507643,0.7546467747507644
6160,0.074,7.4,0.8274622624130787,0.7534622624130788
6170,0.074,7.4,0.823907933706526,0.7499079337065261
6180,0.074,7.4,0.8173320030289362,0.7433320030289362
6190,0.074,7.4,0.8126387323536463,0.7386387323536463
6200,0.074,7.4,0.8105154420807765,0.7365154420807766
6210,0.074,7.4,0.8124968844254551,0.7384968844254551
6220,0.926,92.6,0.8151288263841079,-0.11087117361589216
6230,0.944,94.4,0.8138155790364324,-0.13018442096356753
6240,0.752,75.2,0.8119629534492142,0.05996295344921421
6250,0.941,94.1,0.8098065106521929,-0.13119348934780706
6260,0.948,94.8,0.8081930040557819,-0.13980699594421808
6270,0.948,94.8,0.8074425551036092,-0.14055744489639077
6280,0.956,95.6,0.8071240874512963,-0.1488759125487037
6290,0.952,95.2,0.8066771347674001,-0.14532286523259985
6300,0.956,95.6,0.805678247331708,-0.15032175266829195
6310,0.959,95.9,0.8040677626708702,-0.15493223732912975
6320,0.959,95.9,0.8018700420411917,-0.15712995795880824
6330,0.959,95.9,0.7990211202018779,-0.1599788797981221
6340,0.959,95.9,0.7954353104215,-0.1635646895785
6350,0.959,95.9,0.7909301676900334,-0.16806983230996653
6360,0.952,95.2,0.7847379324759098,-0.16726206752409012
6370,0.952,95.2,0.7749273652362966,-0.17707263476370338
6380,0.963,96.3,0.7571425972702841,-0.20585740272971587
6390,0.959,95.9,0.7212615789523668,-0.2377384210476332
6400,0.959,95.9,0.7262526696427537,-0.23274733035724626
6410,0.959,95.9,0.8004342629295446,-0.1585657370704554
6420,0.952,95.2,0.7980264614751644,-0.15397353852483553
6430,0.956,95.6,0.7959899441961558,-0.1600100558038442
6440,0.963,96.3,0.7953737313229815,-0.16762626867701846
6450,0.967,96.7,0.7949035887259707,-0.1720964112740293
6460,0.959,95.9,0.7934390650198094,-0.16556093498019053
6470,0.959,95.9,0.7908562841697266,-0.16814371583027332
