M,alpha,effective_efficiency,cbl_eval_interval_efficiency,channeling_index,mixing_index,instability_index,mean_cement,mean_mud,deviation,elapsed_s
0.0,0.05,0.840828731848345,0.8387862962371836,0.6472945891776469,0.2266584839009364,0.8486550986481602,0.771078265629782,0.22974458930433247,0.1722862962371836,29.811068299997714
0.0,0.1,0.840828731848345,0.8387862962371836,0.6472945891776469,0.2266584839009364,0.8486550986481602,0.771078265629782,0.22974458930433247,0.1722862962371836,28.879501799994614
0.0,0.2,0.840828731848345,0.8387862962371836,0.6472945891776469,0.2266584839009364,0.8486550986481602,0.771078265629782,0.22974458930433247,0.1722862962371836,29.601773599992157
0.0,0.3,0.840828731848345,0.8387862962371836,0.6472945891776469,0.2266584839009364,0.8486550986481602,0.771078265629782,0.22974458930433247,0.1722862962371836,31.862769600003958
0.0,0.5,0.840828731848345,0.8387862962371836,0.6472945891776469,0.2266584839009364,0.8486550986481602,0.771078265629782,0.22974458930433247,0.1722862962371836,30.861180299994885
50.0,0.05,0.5015254354178358,0.4848749645959037,0.9899799599187541,0.2373925440500949,1.0,0.37257340593660404,0.627571834337667,0.1816250354040963,32.593066800007364
50.0,0.1,0.5015254354178358,0.4848749645959037,0.9899799599187541,0.2373925440500949,1.0,0.37257340593660404,0.627571834337667,0.1816250354040963,31.906779099997948
50.0,0.2,0.5015254354178358,0.4848749645959037,0.9899799599187541,0.2373925440500949,1.0,0.37257340593660404,0.627571834337667,0.1816250354040963,30.81220729999768
50.0,0.3,0.5015254354178358,0.4848749645959037,0.9899799599187541,0.2373925440500949,1.0,0.37257340593660404,0.627571834337667,0.1816250354040963,30.966949199995724
50.0,0.5,0.5015254354178358,0.4848749645959037,0.9899799599187541,0.2373925440500949,1.0,0.37257340593660404,0.627571834337667,0.1816250354040963,30.80931190001138
100.0,0.05,0.5014223550885434,0.48491843736215295,0.9899799599187541,0.2376232142024397,1.0,0.3724293896965999,0.6277149089511674,0.18158156263784703,29.01050089999626
100.0,0.1,0.5014223550885434,0.48491843736215295,0.9899799599187541,0.2376232142024397,1.0,0.3724293896965999,0.6277149089511674,0.18158156263784703,29.240259300000616
100.0,0.2,0.5014223550885434,0.48491843736215295,0.9899799599187541,0.2376232142024397,1.0,0.3724293896965999,0.6277149089511674,0.18158156263784703,31.11624479999591
100.0,0.3,0.5014223550885434,0.48491843736215295,0.9899799599187541,0.2376232142024397,1.0,0.3724293896965999,0.6277149089511674,0.18158156263784703,31.22874999999476
100.0,0.5,0.5014223550885434,0.48491843736215295,0.9899799599187541,0.2376232142024397,1.0,0.3724293896965999,0.6277149089511674,0.18158156263784703,30.783465900007286
200.0,0.05,0.5013672559850053,0.4849734501555884,0.9899799599187541,0.23778483492974128,1.0,0.3723447252638279,0.6277995361252258,0.18152654984441158,32.52180770000268
200.0,0.1,0.5013672559850053,0.4849734501555884,0.9899799599187541,0.23778483492974128,1.0,0.3723447252638279,0.6277995361252258,0.18152654984441158,31.793145699994056
200.0,0.2,0.5013672559850053,0.4849734501555884,0.9899799599187541,0.23778483492974128,1.0,0.3723447252638279,0.6277995361252258,0.18152654984441158,30.038500099995872
200.0,0.3,0.5013672559850053,0.4849734501555884,0.9899799599187541,0.23778483492974128,1.0,0.3723447252638279,0.6277995361252258,0.18152654984441158,33.114837400004035
200.0,0.5,0.5013672559850053,0.4849734501555884,0.9899799599187541,0.23778483492974128,1.0,0.3723447252638279,0.6277995361252258,0.18152654984441158,34.572423100005835
300.0,0.05,0.5013484318525537,0.48500959903146895,0.9899799599187541,0.23785568312286534,1.0,0.3723099180371026,0.6278342130624116,0.18149040096853103,29.35061370000767
300.0,0.1,0.5013484318525537,0.48500959903146895,0.9899799599187541,0.23785568312286534,1.0,0.3723099180371026,0.6278342130624116,0.18149040096853103,29.729024499989464
300.0,0.2,0.5013484318525537,0.48500959903146895,0.9899799599187541,0.23785568312286534,1.0,0.3723099180371026,0.6278342130624116,0.18149040096853103,30.66541519999737
300.0,0.3,0.5013484318525537,0.48500959903146895,0.9899799599187541,0.23785568312286534,1.0,0.3723099180371026,0.6278342130624116,0.18149040096853103,30.293308799999068
300.0,0.5,0.5013484318525537,0.48500959903146895,0.9899799599187541,0.23785568312286534,1.0,0.3723099180371026,0.6278342130624116,0.18149040096853103,28.64344749999873
500.0,0.05,0.5013348775464208,0.4850567547908709,0.9899799599187541,0.23793524212308537,1.0,0.3722777534479486,0.6278660856593208,0.18144324520912908,28.05718189998879
500.0,0.1,0.5013348775464208,0.4850567547908709,0.9899799599187541,0.23793524212308537,1.0,0.3722777534479486,0.6278660856593208,0.18144324520912908,30.607576599999447
500.0,0.2,0.5013348775464208,0.4850567547908709,0.9899799599187541,0.23793524212308537,1.0,0.3722777534479486,0.6278660856593208,0.18144324520912908,29.715511300004437
500.0,0.3,0.5013348775464208,0.4850567547908709,0.9899799599187541,0.23793524212308537,1.0,0.3722777534479486,0.6278660856593208,0.18144324520912908,30.994067699997686
500.0,0.5,0.5013348775464208,0.4850567547908709,0.9899799599187541,0.23793524212308537,1.0,0.3722777534479486,0.6278660856593208,0.18144324520912908,30.47783019999042
