井深_m,领浆平均浓度,尾浆平均浓度,水泥平均浓度,前置液隔离液平均浓度,冲洗液平均浓度,平均有效顶替效率,钻井液平均浓度,宽边有效效率,中线有效效率,窄边有效效率,宽边水泥浓度,中线水泥浓度,窄边水泥浓度,宽边前置液隔离液浓度,中线前置液隔离液浓度,窄边前置液隔离液浓度,环空间隙_m,偏心度指标,居中度
7735.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.02584292625726431,0.4981599999999997,0.5018400000000003
7731.337751004016,3.395428117290006e-06,0.999996604571858,0.9999999999999756,1.728501485155908e-15,0.0,0.9999999999999756,2.286098885548903e-14,0.9999999999999999,0.9999999999999997,0.9999999999993903,0.9999999999999999,0.9999999999999997,0.9999999999993903,1.4756517531053042e-58,4.167176892802802e-26,4.445850527385138e-14,0.02571468339718444,0.5006503293172686,0.4993496706827314
7727.675502008032,1.8528283658830656e-05,0.9999814717161972,0.9999999999998559,1.2191537599414374e-14,0.0,0.9999999999998559,1.3212925484391485e-13,0.9999999999999996,0.9999999999999998,0.999999999996404,0.9999999999999996,0.9999999999999998,0.999999999996404,2.975345031628958e-57,4.343289079003765e-25,3.150616773562059e-13,0.025586440537104533,0.5031406586345382,0.49685934136546184
7724.013253012048,6.892781201807748e-05,0.999931072187373,0.9999999999993916,6.128860257948535e-14,0.0,0.9999999999993916,5.472226470678908e-13,0.9999999999999994,0.9999999999999998,0.999999999984602,0.9999999999999994,0.9999999999999998,0.999999999984602,3.222564767813999e-56,2.5376367899689175e-24,1.6103408129695313e-12,0.025458197677024664,0.505630987951807,0.49436901204819295
7720.3510040160645,0.00020523930714684294,0.9997947606907028,0.9999999999978499,2.553141002871608e-13,0.0,0.9999999999978499,1.8941830670336982e-12,0.9999999999999993,0.9999999999999998,0.9999999999438747,0.9999999999999993,0.9999999999999998,0.9999999999438747,1.5039191796217966e-55,6.085438877947278e-24,6.950626428335755e-12,0.0253299548169448,0.508121317269076,0.49187868273092406
7716.68875502008,0.0005193289612008004,0.9994806710320719,0.9999999999932727,9.303757842298579e-13,0.0,0.9999999999932727,5.796734315392586e-12,0.9999999999999993,1.0,0.9999999998183012,0.9999999999999993,1.0,0.9999999998183012,4.796264384039891e-55,8.821723781176991e-24,2.6336307269797762e-11,0.025319319979480892,0.5083278336201948,0.4916721663798051
7713.026506024096,0.0011539164164604478,0.9988460835643124,0.9999999999807728,3.060698981895588e-12,0.0,0.9999999999807728,1.616624876323179e-11,0.9999999999999993,0.9999999999999999,0.9999999994638485,0.9999999999999993,0.9999999999999999,0.9999999994638485,7.627392099921843e-54,1.2478406197991261e-23,8.989722072205087e-11,0.02532115202033917,0.5082922574870912,0.4917077425129089
7709.364257028113,0.0022618291765611107,0.9977381707729954,0.9999999999495568,9.080269056858391e-12,0.0,0.9999999999495568,4.1363345460853466e-11,0.9999999999999993,0.9999999999999998,0.9999999985431733,0.9999999999999993,0.9999999999999998,0.9999999985431733,1.0613027406177989e-51,2.682642007922092e-23,2.78555335951538e-10,0.02537418698139316,0.5072623793459555,0.4927376206540445
7705.702008032128,0.00403073687549305,0.9959692629978829,0.9999999998733765,2.5238554211006188e-11,0.0,0.9999999998733765,1.0138454939220698e-10,0.9999999999999993,0.9999999999999999,0.9999999963257168,0.9999999999999993,0.9999999999999999,0.9999999963257168,1.6048503160314692e-49,6.6450565456048275e-22,7.863830406897205e-10,0.02567097760043523,0.5014990457831318,0.49850095421686824
7702.0397590361445,0.006834809487314708,0.9931651901871443,0.9999999996744591,7.104965488411376e-11,0.0,0.9999999996744591,2.544913690434187e-10,0.9999999999999991,0.9999999999999996,0.9999999910781783,0.9999999999999991,0.9999999999999996,0.9999999910781783,2.155025586511408e-47,4.003613836325713e-20,2.1066411185109484e-09,0.02596776821947721,0.49573571222030943,0.5042642877796906
7698.377510040161,0.011292511893435699,0.9887074872166204,0.9999999991100562,2.140663432055779e-10,0.0,0.9999999991100562,6.758773930831369e-10,0.999999999999999,0.9999999999999994,0.9999999782231738,0.999999999999999,0.9999999999999994,0.9999999782231738,2.3176242032677617e-45,2.22639858114296e-18,5.64293326893554e-09,0.025970741192459006,0.4956779804934017,0.5043220195065983
7694.715261044177,0.01779596310439578,0.9822040344252588,0.9999999975296545,6.615412717520709e-10,0.0,0.9999999975296545,1.8088042188301799e-09,0.999999999999999,0.9999999999999989,0.9999999454780666,0.999999999999999,0.9999999999999989,0.9999999454780666,1.3332084382546863e-43,5.839063681981061e-17,1.5548432496250253e-08,0.025604333020802228,0.5027932071141699,0.4972067928858301
7691.053012048193,0.026238871843022656,0.9737611215810691,0.9999999934240917,1.9576349398466333e-09,0.0,0.9999999934240917,4.618273478474991e-09,0.999999999999999,0.9999999999999969,0.9999998627085163,0.999999999999999,0.9999999999999969,0.9999998627085163,1.4623854864386747e-42,3.6464608697343454e-16,4.317530036232385e-08,0.025237924849145353,0.50990843373494,0.49009156626506006
7687.390763052209,0.03642540483765206,0.9635745784489215,0.9999999832865734,5.514573780121994e-09,0.0,0.9999999832865734,1.1198852780511234e-08,0.9999999999999987,0.9999999999999907,0.999999659353002,0.9999999999999987,0.9999999999999907,0.999999659353002,8.848699640428185e-42,1.3924728882894926e-15,1.1809705703984285e-07,0.02493286443101909,0.5158323573149739,0.48416764268502616
7683.728514056225,0.04799102307847259,0.9520089364717458,0.9999999595502186,1.4756753145338623e-08,0.0,0.9999999595502186,2.569302850242441e-08,0.9999999999999984,0.9999999999999735,0.9999991782434879,0.9999999999999984,0.9999999999999735,0.9999991782434879,4.118447466193424e-41,4.39964028261285e-15,3.135759689644411e-07,0.02465256217970166,0.5212755056798616,0.4787244943201384
7680.066265060241,0.05974856052195503,0.9402513482451714,0.9999999087671265,3.656545017968234e-08,0.0,0.9999999087671265,5.466742355372052e-08,0.9999999999999984,0.9999999999999514,0.9999980954539158,0.9999999999999984,0.9999999999999514,0.9999980954539158,1.2631624046437034e-40,8.434715999475928e-15,7.976536860074314e-07,0.024372259928384148,0.5267186540447506,0.4732813459552494
7676.404016064257,0.07135129027406455,0.9286485166950866,0.9999998069691516,8.417081115428556e-08,0.0,0.9999998069691516,1.0886003744793453e-07,0.9999999999999982,0.999999999999934,0.999995829821918,0.9999999999999982,0.999999999999934,0.999995829821918,2.8750244600660132e-40,1.1520982320780049e-14,1.9029717476828324e-06,0.024318618037246505,0.5277603180722891,0.47223968192771093
7672.7417670682735,0.08246829768084998,0.9175313135493054,0.9999996112301556,1.833123188388568e-07,0.0,0.9999996112301556,2.054575255870682e-07,0.9999999999999982,0.9999999999999156,0.9999913406530083,0.9999999999999982,0.9999999999999156,0.9999913406530083,5.6351137636121956e-40,1.4878498978087502e-14,4.276831263818518e-06,0.02426915293407283,0.5287208736660929,0.4712791263339072
7669.079518072289,0.0924520006166588,0.9075472579101402,0.9999992585267988,3.7501591195648974e-07,0.0,0.9999992585267988,3.664572888624947e-07,0.999999999999998,0.9999999999999006,0.9999829427015913,0.999999999999998,0.9999999999999006,0.9999829427015913,9.963660887005495e-40,1.75510797247417e-14,9.055414251072173e-06,0.02426020930397215,0.5288945487091221,0.47110545129087794
7665.417269076305,0.10161718654998263,0.8983814567440714,0.9999986432940539,7.293462088983613e-07,0.0,0.9999986432940539,6.273597373036479e-07,0.999999999999998,0.9999999999998853,0.9999681291809521,0.999999999999998,0.9999999999998853,0.9999681291809521,1.655663487942089e-39,2.02562141207306e-14,1.8041041007621112e-05,0.024371963796327455,0.5267244045897876,0.4732755954102123
7661.755020080322,0.11079791133589059,0.8891996531116052,0.999997564447496,1.3824295811874458e-06,0.0,0.999997564447496,1.0531229232798334e-06,0.9999999999999978,0.9999999999998617,0.9999429837158567,0.9999999999999978,0.9999999999998617,0.9999429837158567,2.6379809719683322e-39,2.444043537865235e-14,3.416314030352302e-05,0.02448371828868277,0.5245542604704534,0.47544573952954666
7658.092771084337,0.12017615010533877,0.8798195137059783,0.9999956638113169,2.5934271615904173e-06,0.0,0.9999956638113169,1.7427615214422204e-06,0.9999999999999976,0.9999999999997593,0.9999010766266127,0.9999999999999976,0.9999999999997593,0.9999010766266127,4.298257268922214e-39,4.34647063332358e-14,6.241985845745582e-05,0.024435185378686265,0.5254967139414803,0.47450328605851966
