well_id,md_m,caliper_mm,borehole_nominal_diameter_mm,enlargement_ratio,data_type,source_file,source_location,confidence,notes
ht1_002,6690,190.5,190.5,0.0,field_measured,施工设计 Table8,施工设计 1.4.2节 电测井径(30m),high,30m间隔电测井径; 平均井径193.05mm; 扩大率1.34%
ht1_002,6720,190.8,190.5,0.16,field_measured,施工设计 Table8,施工设计 1.4.2节 电测井径(30m),high,30m间隔电测井径; 平均井径193.05mm; 扩大率1.34%
ht1_002,6750,190.5,190.5,0.0,field_measured,施工设计 Table8,施工设计 1.4.2节 电测井径(30m),high,30m间隔电测井径; 平均井径193.05mm; 扩大率1.34%
ht1_002,6780,191.5,190.5,0.52,field_measured,施工设计 Table8,施工设计 1.4.2节 电测井径(30m),high,30m间隔电测井径; 平均井径193.05mm; 扩大率1.34%
ht1_002,6810,193.9,190.5,1.78,field_measured,施工设计 Table8,施工设计 1.4.2节 电测井径(30m),high,30m间隔电测井径; 平均井径193.05mm; 扩大率1.34%
ht1_002,6840,192.7,190.5,1.15,field_measured,施工设计 Table8,施工设计 1.4.2节 电测井径(30m),high,30m间隔电测井径; 平均井径193.05mm; 扩大率1.34%
ht1_002,6870,190.5,190.5,0.0,field_measured,施工设计 Table8,施工设计 1.4.2节 电测井径(30m),high,30m间隔电测井径; 平均井径193.05mm; 扩大率1.34%
ht1_002,6900,190.5,190.5,0.0,field_measured,施工设计 Table8,施工设计 1.4.2节 电测井径(30m),high,30m间隔电测井径; 平均井径193.05mm; 扩大率1.34%
ht1_002,6930,190.5,190.5,0.0,field_measured,施工设计 Table8,施工设计 1.4.2节 电测井径(30m),high,30m间隔电测井径; 平均井径193.05mm; 扩大率1.34%
ht1_002,6960,190.5,190.5,0.0,field_measured,施工设计 Table8,施工设计 1.4.2节 电测井径(30m),high,30m间隔电测井径; 平均井径193.05mm; 扩大率1.34%
ht1_002,6990,192.0,190.5,0.79,field_measured,施工设计 Table8,施工设计 1.4.2节 电测井径(30m),high,30m间隔电测井径; 平均井径193.05mm; 扩大率1.34%
ht1_002,7020,190.5,190.5,0.0,field_measured,施工设计 Table8,施工设计 1.4.2节 电测井径(30m),high,30m间隔电测井径; 平均井径193.05mm; 扩大率1.34%
ht1_002,7050,192.1,190.5,0.84,field_measured,施工设计 Table8,施工设计 1.4.2节 电测井径(30m),high,30m间隔电测井径; 平均井径193.05mm; 扩大率1.34%
ht1_002,7080,190.5,190.5,0.0,field_measured,施工设计 Table8,施工设计 1.4.2节 电测井径(30m),high,30m间隔电测井径; 平均井径193.05mm; 扩大率1.34%
ht1_002,7110,190.5,190.5,0.0,field_measured,施工设计 Table8,施工设计 1.4.2节 电测井径(30m),high,30m间隔电测井径; 平均井径193.05mm; 扩大率1.34%
