time_s,time_min,stage,bulk_cement_fill,effective_efficiency,front_wide_m,front_narrow_m,front_mid_m,channeling_index,mixing_index,instability_proxy,instability_index,mean_wall_mud,mean_cement,mean_mud
8588.0,143.13333333333333,井浆替入1,0.5027566645787858,0.5027566645787858,1307.6835871743485,992.8708717434869,1244.7210440881763,0.13026052104203026,0.16515341156999486,0.31458504645993757,0.06097859949364548,0.0,0.47988698391942597,0.042273941317782476
8592.0,143.2,井浆替入1,0.5038608878426725,0.5038608878426725,1307.6835871743485,997.714144288577,1244.7210440881763,0.12825651302599905,0.16547509320612042,0.30951945403994374,0.06002677748309915,0.0,0.4810786669041842,0.04208096606108438
8596.0,143.26666666666668,井浆替入1,0.5049651259816014,0.5049651259816014,1312.5268597194388,997.714144288577,1249.5643166332663,0.13026052104203031,0.16579692227738146,0.3141245885751214,0.06089211955009455,0.0,0.48226948029369093,0.04188879565440858
8600.0,143.33333333333334,井浆替入1,0.5060693812768666,0.5060693812768666,1317.3701322645288,1002.5574168336673,1254.4075891783566,0.1302605210420302,0.1661189101419796,0.31389169301801684,0.06084837572072832,0.0,0.4834593514291105,0.04169745014354876
8604.0,143.4,井浆替入1,0.5071736556626101,0.5071736556626101,1317.3701322645288,1002.5574168336673,1259.2508617234469,0.1302605210420302,0.16644106700535533,0.3136569808478246,0.06080428862278375,0.0,0.4846482086092293,0.04150695205306854
8608.0,143.46666666666667,井浆替入1,0.5082779507345493,0.5082779507345493,1322.213404809619,1007.4006893787574,1259.2508617234469,0.13026052104203026,0.16676340245450227,0.3134204282226678,0.06075985372946058,0.0,0.4858359830212479,0.04131732545695677
8612.0,143.53333333333333,井浆替入1,0.5093822671479086,0.5093822671479086,1327.0566773547093,1007.4006893787574,1264.094134268537,0.13226452905806152,0.16708592301039316,0.3180002013209066,0.061619761202164725,0.0,0.4870226106591504,0.04112859612922247
8616.0,143.6,井浆替入1,0.5104866044431569,0.5104866044431569,1327.0566773547093,1012.2439619238476,1268.9374068136271,0.13026052104203031,0.1674086318106159,0.3129417345844743,0.06066992776827951,0.0,0.48820803560749265,0.04094078941517232
8620.0,143.66666666666666,井浆替入1,0.5115909609279486,0.5115909609279486,1331.8999498997994,1017.0872344689378,1268.9374068136271,0.1302605210420302,0.16773152641521652,0.31269958430938133,0.060624434859597565,0.0,0.4893922140929863,0.04075393074189794
8624.0,143.73333333333332,井浆替入1,0.5126953336113691,0.5126953336113691,1336.7432224448896,1017.0872344689378,1273.7806793587174,0.1322645290580615,0.16805459947546922,0.3172625961552981,0.06148132016864516,0.0,0.490575118992234,0.04056804171816445
8628.0,143.8,井浆替入1,0.5137997184769217,0.5137997184769217,1336.7432224448896,1021.930507014028,1278.6239519038074,0.13026052104203026,0.16837783681202706,0.3122097919889346,0.06053241056482772,0.0,0.491756744556927,0.04038313854664675
8632.0,143.86666666666667,井浆替入1,0.5149041101344735,0.5149041101344735,1341.5864949899799,1021.930507014028,1278.6239519038074,0.13226452905806152,0.16870121797611712,0.31676170222471445,0.06138729579700675,0.0,0.49293710999239126,0.040199231344286976
8636.0,143.93333333333334,井浆替入1,0.5160085025060687,0.5160085025060687,1341.5864949899799,1026.773779559118,1283.4672244488977,0.13026052104203031,0.1690247162723591,0.31171318178406526,0.060439096092400946,0.0,0.4941162627243065,0.04001632230276883
8640.0,144.0,井浆替入1,0.5171128892276537,0.5171128892276537,1346.42976753507,1026.773779559118,1288.310496993988,0.1322645290580615,0.16934829928046594,0.3162543886290887,0.06129205676830918,0.0,0.49529427987365926,0.03983440427052038
8644.0,144.06666666666666,井浆替入1,0.518217263612164,0.518217263612164,1351.2730400801602,1031.6170521042084,1288.310496993988,0.1322645290580615,0.16967192978220944,0.3159987711958451,0.06124406551857675,0.0,0.4964712673417709,0.039653460416451125
8648.0,144.13333333333333,井浆替入1,0.5193216189982889,0.5193216189982889,1351.2730400801602,1031.6170521042084,1293.153769539078,0.1322645290580615,0.1699955688884275,0.3157421668973379,0.061195886520686193,0.0,0.49764735713164465,0.03947346478398936
8652.0,144.2,井浆替入1,0.5204259518629936,0.5204259518629936,1356.1163126252504,1036.4603246492984,1297.9970420841682,0.13226452905806158,0.17031918251724543,0.31548485721551284,0.06114757259998571,0.0,0.4988227046540393,0.03929438287719791
8656.0,144.26666666666668,井浆替入1,0.5215302593973326,0.5215302593973326,1360.9595851703405,1036.4603246492984,1297.9970420841682,0.13426853707409275,0.17064273896445797,0.32000330973577457,0.061995621378805765,0.0,0.49999747820039747,0.039116174431405804
8660.0,144.33333333333334,井浆替入1,0.5226345407987666,0.5226345407987666,1360.9595851703405,1041.3035971943887,1302.8403146292585,0.1322645290580615,0.17096621423364616,0.31496931369286185,0.061050763751619774,0.0,0.5011718500811957,0.03893879828408937
8664.0,144.4,井浆替入1,0.523738798860994,0.523738798860994,1365.8028577154307,1041.3035971943887,1307.6835871743485,0.13426853707409275,0.17128959535762342,0.31948000141086674,0.06189744314112,0.0,0.5023459869025514,0.0387622150641636
8668.0,144.46666666666667,井浆替入1,0.5248430369423683,0.5248430369423683,1365.8028577154307,1046.146869739479,1307.6835871743485,0.1322645290580615,0.17161287861351324,0.31445434283699186,0.06095405247299446,0.0,0.5035200354288778,0.038586390305835175
8672.0,144.53333333333333,井浆替入1,0.5259472617979947,0.5259472617979947,1370.646130260521,1046.146869739479,1312.5268597194388,0.13426853707409275,0.1719360734073124,0.31895811825772374,0.061799522046802946,0.0,0.5046941153798156,0.038411299486896144
8676.0,144.6,井浆替入1,0.5270514812569556,0.5270514812569556,1375.489402805611,1050.990142284569,1317.3701322645288,0.13426853707409275,0.17225920122165836,0.3186979945479459,0.06175071113935837,0.0,0.5058683093171135,0.03823692960003425
8680.0,144.66666666666666,井浆替入1,0.5281557034527431,0.5281557034527431,1375.489402805611,1050.990142284569,1317.3701322645288,0.13426853707409275,0.17258229132635639,0.3184383785410872,0.06170199296780521,0.0,0.5070426568652919,0.0380632819701051
8684.0,144.73333333333332,井浆替入1,0.5292599363781171,0.5292599363781171,1380.3326753507013,1055.8334148296592,1322.213404809619,0.13426853707409275,0.17290538059728092,0.31817912263085746,0.06165333984567922,0.0,0.5082171528154256,0.03789037305931968
8688.0,144.8,井浆替入1,0.5303641867426674,0.5303641867426674,1385.1759478957915,1055.8334148296592,1322.213404809619,0.13627254509012401,0.17322850771074283,0.3226650714546701,0.062494837317062624,0.0,0.5093917484196843,0.03771823299589751
8692.0,144.86666666666667,井浆替入1,0.5314684586861251,0.5314684586861251,1385.1759478957915,1060.6766873747495,1327.0566773547093,0.13426853707409275,0.1735517079408749,0.31766071029476045,0.061556044705034396,0.0,0.5105663566840853,0.037546903397758305
8696.0,144.93333333333334,井浆替入1,0.5325727546434438,0.5325727546434438,1390.0192204408816,1065.5199599198395,1331.8999498997994,0.13426853707409275,0.17387501253546198,0.31740093979127076,0.06150728742672229,0.0,0.511740863983019,0.03737643459654079
8700.0,145.0,井浆替入1,0.5336770739431043,0.5336770739431043,1394.8624929859718,1065.5199599198395,1331.8999498997994,0.13627254509012401,0.1741984440893739,0.321873803196354,0.06234646196145366,0.0,0.512915142193997,0.03720687963761212
8704.0,145.06666666666666,井浆替入1,0.5347814141307191,0.5347814141307191,1394.8624929859718,1070.3632324649298,1336.7432224448896,0.13426853707409275,0.17452201475407494,0.3168787032593625,0.061409259271535954,0.0,0.5140890650094754,0.037038289121525146
8708.0,145.13333333333333,井浆替入1,0.5358857704346551,0.5358857704346551,1399.705765531062,1070.3632324649298,1341.5864949899799,0.13627254509012401,0.17484572540009985,0.3213413501097328,0.06224660534054949,0.0,0.5152625218264346,0.0368707069365729
8712.0,145.2,井浆替入1,0.5369901357015495,0.5369901357015495,1404.549038076152,1075.20650501002,1341.5864949899799,0.13627254509012393,0.17516956247063287,0.32107302104279667,0.062196278691470264,0.0,0.5164354296509742,0.03670416583323198
8716.0,145.26666666666668,井浆替入1,0.5380945035093999,0.5380945035093999,1404.549038076152,1075.20650501002,1346.42976753507,0.13627254509012393,0.17549350519822784,0.32080322840099235,0.06214567481753408,0.0,0.5176077448676273,0.03653868531963587
8720.0,145.33333333333334,井浆替入1,0.5391988664312549,0.5391988664312549,1409.3923106212424,1080.04977755511,1346.42976753507,0.13627254509012401,0.1758175224200005,0.3205320542192413,0.062094809062351985,0.0,0.5187794658664933,0.03637426976510596
8724.0,145.4,井浆替入1,0.5403032170656797,0.5403032170656797,1414.2355831663326,1080.04977755511,1351.2730400801602,0.13827655310615528,0.17614157649078843,0.3249693762488074,0.06292679730085082,0.0,0.5199506345875479,0.03621090914802341
8728.0,145.46666666666667,井浆替入1,0.5414075508753335,0.5414075508753335,1414.2355831663326,1084.8930501002003,1351.2730400801602,0.13627254509012401,0.17646563076720667,0.31998634812412,0.061992439360208484,0.0,0.5211213354136909,0.036048580210669916
