井深_m,领浆平均浓度,尾浆平均浓度,水泥平均浓度,前置液隔离液平均浓度,冲洗液平均浓度,平均有效顶替效率,钻井液平均浓度,宽边有效效率,中线有效效率,窄边有效效率,宽边水泥浓度,中线水泥浓度,窄边水泥浓度,宽边前置液隔离液浓度,中线前置液隔离液浓度,窄边前置液隔离液浓度,环空间隙_m,偏心度指标,居中度
7601.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.02546946980452584,0.35,0.65
7584.6235742971885,8.349174404421927e-06,0.9999916494805051,0.9999999986549094,8.550606366036827e-11,0.0,0.9999999986549094,1.2595847073597042e-09,0.9999999999999998,0.9999999999999354,0.999999984711928,0.9999999999999998,0.9999999999999354,0.999999984711928,7.302038612501694e-35,5.17451455800059e-16,1.060074719711719e-09,0.024534464862932717,0.35,0.65
7568.247148594378,2.537772910642456e-05,0.9999746181740653,0.9999999959031717,2.976735398843245e-10,0.0,0.9999999959031717,3.799154369855316e-09,0.9999999999999998,0.999999999999707,0.9999999542889197,0.9999999999999998,0.999999999999707,0.9999999542889197,9.28057316554117e-34,2.8092631843598812e-15,3.6256631527234953e-09,0.023482688950266516,0.35,0.65
7551.870722891566,5.918103301639137e-05,0.9999408093762192,0.9999999904092353,8.073109110188348e-10,0.0,0.9999999904092353,8.783453565625408e-09,0.9999999999999998,0.9999999999989486,0.9999998950723535,0.9999999999999998,0.9999999999989486,0.9999998950723535,1.1291887616223718e-32,1.2407576522870701e-14,9.64639808974525e-09,0.022906332277655216,0.35,0.65
7535.494297188755,0.00012526605742620026,0.9998747135350321,0.9999999795924583,2.0179324901764815e-09,0.0,0.9999999795924583,1.838960897349147e-08,0.9999999999999998,0.9999999999963821,0.9999997816303147,0.9999999999999998,0.9999999999963821,0.9999997816303147,1.4308031712182675e-31,5.455051420827458e-14,2.3579550538705472e-08,0.02509065670520689,0.35,0.65
7519.117871485943,0.00024397769411917564,0.9997559822998565,0.9999999599939758,4.63051988834549e-09,0.0,0.9999999599939758,3.537550429767577e-08,0.9999999999999997,0.9999999999885136,0.9999995815635144,0.9999999999999997,0.9999999999885136,0.9999995815635144,1.5181741957089579e-30,2.223938895269332e-13,5.284727728579226e-08,0.03282647506774256,0.35,0.65
7502.741445783133,0.0004172754170282845,0.9995826555920897,0.9999999310091183,9.00014184251477e-09,0.0,0.9999999310091183,5.999074047167503e-08,0.9999999999999996,0.9999999999716651,0.9999992908026033,0.9999999999999996,0.9999999999716651,0.9999992908026033,9.188453324054071e-30,6.62668659937895e-13,1.0087373349870664e-07,0.03678809336642132,0.35,0.65
7486.365020080321,0.000636894454871599,0.9993629990820018,0.9999998935368737,1.5093122618108252e-08,0.0,0.9999998935368737,9.137000406804532e-08,0.9999999999999996,0.9999999999445293,0.9999989178519287,0.9999999999999996,0.9999999999445293,0.9999989178519287,3.3767279413245117e-29,1.4804796988662506e-12,1.6715278128858642e-07,0.03630462259696966,0.35,0.65
7469.98859437751,0.0008913889524275268,0.9991084598104095,0.9999998487628367,2.260780989486189e-08,0.0,0.9999998487628367,1.286293534222427e-07,0.9999999999999996,0.9999999999098553,0.9999984715109465,0.9999999999999996,0.9999999999098553,0.9999984715109465,8.061160333957542e-29,2.6098751580136234e-12,2.488470118948484e-07,0.030193330718752076,0.35,0.65
7453.612168674699,0.0011950533576323963,0.9988047396137734,0.9999997929714058,3.215836987308711e-08,0.0,0.9999997929714058,1.7487022423815625e-07,0.9999999999999991,0.9999999998667898,0.9999979130122809,0.9999999999999991,0.9999999998667898,0.9999979130122809,1.5473111017252015e-28,4.071971174022759e-12,3.530633487703453e-07,0.02474832001558016,0.35,0.65
7437.235742971888,0.001598325458090111,0.9984013893770701,0.9999997148351603,4.614380566182588e-08,0.0,0.9999997148351603,2.390210339909031e-07,0.9999999999999991,0.9999999998039238,0.9999971317957774,0.9999999999999991,0.9999999998039238,0.9999971317957774,2.9653896134211925e-28,6.317758096898326e-12,5.057045550656833e-07,0.024847143449120906,0.35,0.65
7420.859317269076,0.0021349373067868645,0.9978646668738528,0.9999996041806396,6.702633245305955e-08,0.0,0.9999996041806396,3.2879302774918353e-07,0.9999999999999991,0.9999999997111072,0.999996028284909,0.9999999999999991,0.9999999997111072,0.999996028284909,5.695282040633111e-28,9.795721270778151e-12,7.335485292128645e-07,0.02504419803807074,0.35,0.65
7404.482891566265,0.002850632138179483,0.9971488138940952,0.9999994460322748,9.886350487767965e-08,0.0,0.9999994460322748,4.5510422051583565e-07,0.9999999999999991,0.999999999571065,0.9999944584894385,0.9999999999999991,0.999999999571065,0.9999944584894385,1.1021017442152232e-27,1.5290304142069056e-11,1.0802273182786493e-06,0.025354786334490304,0.35,0.65
7388.106465863454,0.003808756933155507,0.9961904614925055,0.9999992184256611,1.4843035003818892e-07,0.0,0.9999992184256611,6.331439891100129e-07,0.9999999999999991,0.9999999993506066,0.9999922167024907,0.9999999999999991,0.9999999993506066,0.9999922167024907,2.184514311476698e-27,2.4384212264078466e-11,1.6171431488487532e-06,0.02500643962761297,0.35,0.65
7371.730040160643,0.005130593876906199,0.9948682883772031,0.9999988822541094,2.2960162220782856e-07,0.0,0.9999988822541094,8.881442680199499e-07,0.999999999999999,0.9999999989510232,0.999988952041927,0.999999999999999,0.9999999989510232,0.999988952041927,5.333939782049938e-27,4.268922677427303e-11,2.4850095494729126e-06,0.030132906248043045,0.35,0.65
7355.353614457831,0.00672202637058235,0.9932764220059458,0.9999984483765282,3.427184686313355e-07,0.0,0.9999984483765282,1.208905003293712e-06,0.9999999999999988,0.9999999983414394,0.9999847733975301,0.9999999999999988,0.9999999983414394,0.9999847733975301,1.3610565575135198e-26,7.397194047290431e-11,3.682855408390985e-06,0.03453556932515707,0.35,0.65
7338.97718875502,0.008338120538485842,0.9916598477003458,0.9999979682388317,4.695404664839605e-07,0.0,0.9999979682388317,1.5622207018704467e-06,0.9999999999999986,0.9999999976943658,0.999980118595756,0.9999999999999986,0.9999999976943658,0.999980118595756,2.4287717568684053e-26,1.0809498705416259e-10,5.033150861006229e-06,0.024565442841525648,0.35,0.65
7322.600763052209,0.010305473751609723,0.989691853360271,0.9999973271118805,6.48161228909911e-07,0.0,0.9999973271118805,2.0247268904276735e-06,0.9999999999999986,0.9999999967745726,0.9999739267610955,0.9999999999999986,0.9999999967745726,0.9999739267610955,4.421994789886084e-26,1.5938226123426445e-10,6.929302132799184e-06,0.025493241531164418,0.35,0.65
7306.2243373493975,0.012641598122433696,0.9873548867255196,0.9999964848479532,8.952239799772453e-07,0.0,0.9999964848479532,2.6199280669856288e-06,0.9999999999999986,0.9999999954989299,0.9999658209159156,0.9999999999999986,0.9999999954989299,0.9999658209159156,8.021596391821945e-26,2.343669141116306e-10,9.545102623595468e-06,0.025631442681495236,0.35,0.65
7289.847911646586,0.015398529636054644,0.9845968474327389,0.9999953770687938,1.238416987716421e-06,0.0,0.9999953770687938,3.3845142187631573e-06,0.9999999999999984,0.9999999937185625,0.9999552071612914,0.9999999999999984,0.9999999937185625,0.9999552071612914,1.4551342983268264e-25,3.4472158894320483e-10,1.3166316924374577e-05,0.025835509972389488,0.35,0.65
7273.471485943775,0.018636178712958196,0.9813577411139446,0.9999939198269034,1.7173646936846127e-06,0.0,0.9999939198269034,4.3628084033905805e-06,0.9999999999999984,0.9999999911971108,0.9999413266108557,0.9999999999999984,0.9999999911971108,0.9999413266108557,2.670755746004034e-25,5.1022478330292e-10,1.819546869754177e-05,0.026424815034951636,0.35,0.65
