地面累计时间_s,地面累计时间_min,环空顶替时间_s,环空顶替时间_min,地面施工阶段,鞋口出流流体,环空入口相,排量_m3_min
0.000,0.000,0.000,0.000,注入冲洗液,钻井液,泥浆相,0.650000
6809.192,113.487,0.000,0.000,注入尾浆,冲洗液,前置液/隔离液相,0.650000
8193.807,136.563,0.000,0.000,注入尾浆,加重隔离液,前置液/隔离液相,0.650000
9959.642,165.994,0.000,0.000,替浆液1（管串）,领浆,水泥相,0.500000
12839.642,213.994,2880.000,48.000,替浆液1（管串）,尾浆,水泥相,0.500000
18828.734,313.812,8869.092,147.818,替浆液2（环空）,后置液,泥浆相,0.360000
19162.067,319.368,9202.425,153.374,替浆液2（环空）,替浆液1,泥浆相,0.360000
21034.359,350.573,11074.717,184.579,施工结束后保持,替浆液1,泥浆相,0.000000
