well,category,item,loader_value,csv_value,status,note
hu101,cbl,地层目标[目的层-喀拉扎组(J3k)] 7537-7868,covered,target_intervals.csv,✓,
hu101,cbl,地层目标[主要气层-K1q] 7492-7536,covered,target_intervals.csv,✓,
hu101,cbl,地层目标[差气层-J3k_1] 7718-7719,covered,target_intervals.csv,✓,
hu101,cbl,地层目标[差气层-J3k_2] 7733-7735,covered,target_intervals.csv,✓,
hu101,cbl,地层目标[水层-K1s] 6152-6156,covered,target_intervals.csv,✓,
hu101,cbl,地层目标[水层-J3k] 7765-7766,covered,target_intervals.csv,✓,
hu101,cbl,地层目标[漏层-7598m] 7598-7615,covered,target_intervals.csv,✓,
hu101,cbl,地层目标[后效显示-7709m] 7492-7735,covered,target_intervals.csv,✓,
hu101,cbl,地层目标[CBL评价重点-裸眼段] 5700-7868,未覆盖,target_intervals.csv,⚠,
hu101,cbl,地层目标[CBL评价重点-气层段] 7492-7735,covered,target_intervals.csv,✓,
hu101,总表,总表[cbl/cbl_pass_rate],0.6277,0.6277,✓,100312.PDF CBL合格率62.77%; paper CBL评价窗5700-7810m
hu101,总表,总表[geometry/upper_composite_liner],—,—,-,paper loader keeps explicit equivalent-geometry note
hu101,总表,总表[program/lead_volume_m3],47,47,✓,现场抽取施工量
hu101,总表,总表[program/tail_volume_m3],23,23,✓,现场抽取施工量
hu101,内部,每步rate×duration=体积,闭合,闭合,✓,
hu101,内部,浆体总体积m3(lead+tail+intermediate),70,221.4,✓,日程总注入221.4m³含前置/顶替
hu101,内部,环空体积重算m3(hole_profile×OD积分),65.53,—,⚠,重算口径：hole_diameter_profile×(双径)liner OD；技套重叠段按外推井径计
hu101,内部,水泥浆总体积/环空体积(η_E库存比上限),1.068,—,⚠,>1 表示水泥浆量超过环空容量（返高以上/漏失/计量口径）
hu101,内部,管内容积重算m3 vs 替浆总体积m3,16.3 vs 101.4,—,⚠,替浆总量应≈碰压时管内容积；差异大提示 liner_id/pipe_id 口径为等效或代理
hu101,sanity,密度范围 钻井液,1960,泥浆1.05–2.35g/cc,✓,
hu101,sanity,YP>0 钻井液,9.2,>0,✓,YP=0 仅当流体确无屈服
hu101,sanity,YP>0 平衡液,9.2,>0,✓,YP=0 仅当流体确无屈服
hu101,sanity,YP>0 驱油隔离液,5,>0,✓,YP=0 仅当流体确无屈服
