index,step_name,fluid_name,role,volume_m3,rate_m3_min,duration_min,start_min,end_min,cum_volume_m3,explicit_time,remarks
0,注入先导浆（平衡液）,平衡液,wash,28.0,1.2,23.3333,0,23.3333,28.0,False,实际: 先导浆 28m³@1.2m³/min，密度1.75g/cm³，泵压14-17.8MPa。
1,注入隔离液1,隔离液1,spacer,16.0,1.0,16,23.3333,39.3333,44.0,False,实际: 隔离液1 16m³@1.0m³/min，密度2.05g/cm³，泵压19MPa（设计排量1.2）。
2,注入隔离液2,隔离液2,spacer,10.0,1.0,10,39.3333,49.3333,54.0,False,实际: 隔离液2 10m³@1.0m³/min，密度1.95g/cm³，泵压18-19MPa。
3,注入领浆,领浆,lead,39.0,1.2,32.5,49.3333,81.8333,93.0,False,实际: 领浆 39m³@1.2m³/min，密度2.05g/cm³，泵压22MPa；灰量157t。
4,注入尾浆,尾浆,tail,28.0,1.2,23.3333,81.8333,105.167,121.0,False,实际: 尾浆 28m³@1.2m³/min，密度1.95g/cm³，泵压22MPa。
5,注入压塞液（管内）,压塞液,other,2.0,1.3,1.53846,105.167,106.705,123.0,False,压塞液 2m³@1.3m³/min，仅作为管内占位（碰压19-25MPa）。
6,替浆（单段，实际）,替钻井液,displacement,91.9,1.4,65.6429,106.705,172.348,214.9,False,实际: 替浆 91.9m³@1.4m³/min（单段，实际1.4-0.8递减，约80min），泵压15-19-26-19MPa；现场理论顶替量(含压塞2+中置14+钻井液75.9)；数采总泵量91.01m³。
