time_s,time_min,stage,bulk_cement_fill,effective_efficiency,target_interval_efficiency,cbl_eval_interval_efficiency,front_wide_m,front_narrow_m,front_mid_m,channeling_index,mixing_index,instability_proxy,instability_index,mean_wall_mud,mean_cement,mean_mud
6632.0,110.53333333333333,替钻井液(快),0.30475638378887837,0.30475638378887837,0.9999208228620439,0.339703942781905,643.5953486973949,513.95024248497,611.1840721442886,0.05611222444887354,0.10141101854346428,0.12467361244209986,0.024626420089572942,0.0,0.25407182706891285,0.010130630642854223
6636.0,110.6,替钻井液(快),0.3062944580033043,0.3062944580033043,0.9999270070685636,0.3414183937424914,648.2255310621243,513.95024248497,611.1840721442886,0.05811623246490472,0.10183086555388117,0.12915093658536494,0.025499441886686514,0.0,0.2556304701636808,0.010066307996655732
6640.0,110.66666666666667,替钻井液(快),0.30783254922144576,0.30783254922144576,0.9999327604791854,0.3431328636566732,652.8557134268538,513.95024248497,615.8142545090182,0.0601202404809359,0.10225057931759149,0.13362910714851656,0.026371847093061285,0.0,0.25719342834072767,0.010002419225007324
6644.0,110.73333333333333,替钻井液(快),0.30937065666698904,0.30937065666698904,0.9999381084465463,0.34484735165911395,657.4858957915833,518.5804248496995,620.4444368737476,0.0601202404809359,0.10267014275354581,0.13365300374329667,0.0263765003614288,0.0,0.25876076107850876,0.009938963643304355
6648.0,110.8,替钻井液(快),0.3109087800190137,0.3109087800190137,0.9999430752172388,0.346561857392092,662.1160781563127,518.5804248496995,625.074619238477,0.06212424849696708,0.10308954588330692,0.13813202601176655,0.027248286095556407,0.0,0.2603325111777546,0.00987594451249464
6652.0,110.86666666666666,替钻井液(快),0.3124469173943584,0.3124469173943584,0.9999476839503351,0.3482763787564969,666.7462605210421,523.2106072144289,629.7048016032065,0.06212424849696708,0.10350877826767681,0.1381552040013332,0.027252795370919958,0.0,0.2619086923052341,0.009813363234917327
6656.0,110.93333333333334,替钻井液(快),0.313985068108101,0.313985068108101,0.999951956737901,0.34999091498886387,671.3764428857717,523.2106072144289,634.334983967936,0.0641282565129983,0.10392783570454278,0.14263499024935813,0.028123944966267134,0.0,0.2634892944422422,0.009751222477501969
6660.0,111.0,替钻井液(快),0.315523228057576,0.315523228057576,0.9999559146270477,0.3517054615160593,676.0066252505011,527.8407895791584,638.9651663326654,0.0641282565129983,0.10434670521467093,0.14265739339788996,0.028128299573234483,0.0,0.26507428554982254,0.009689524531290739
6664.0,111.06666666666666,替钻井液(快),0.3170613870525616,0.3170613870525616,0.9999595776437324,0.3534200069793105,680.6368076152305,527.8407895791584,643.5953486973949,0.0661322645290295,0.10476535328724466,0.14713773484071152,0.02899877292451225,0.0,0.2666636120411577,0.009628271984424208
6668.0,111.13333333333334,替钻井液(快),0.3185995284610888,0.3185995284610888,0.9999629648182532,0.35513453283939805,685.26698997996,532.4709719438879,643.5953486973949,0.0661322645290295,0.1051837291800783,0.14715919798169064,0.02900294106281165,0.0,0.2682571946620872,0.009567466718914997
6672.0,111.2,替钻井液(快),0.320137632031402,0.320137632031402,0.9999660942119405,0.35684901652222156,689.8971723446895,537.1011543086173,648.2255310621243,0.0661322645290295,0.1056017721467328,0.14717978271403093,0.029006938597495147,0.0,0.26985491848775756,0.00950710961177006
6676.0,111.26666666666667,替钻井液(快),0.32167567098203725,0.32167567098203725,0.9999689829451509,0.35856342817518594,694.5273547094189,541.7313366733467,652.8557134268538,0.0661322645290295,0.10601941193548244,0.1471994317503563,0.029010754405584427,0.0,0.2714566132194689,0.009447203094658213
6680.0,111.33333333333333,替钻井液(快),0.32321361195129206,0.32321361195129206,0.999971647226149,0.36027773061087703,699.1575370741484,546.3615190380763,657.4858957915833,0.0661322645290295,0.10643656385927845,0.14721805712106306,0.029014371405777895,0.0,0.27306203224298065,0.009387747357379123
6684.0,111.4,替钻井液(快),0.32475141580211725,0.32475141580211725,0.9999741023806602,0.36199188020425327,703.7877194388778,546.3615190380763,662.1160781563127,0.06813627254506067,0.10685313976172038,0.15169724458174652,0.02988382723248817,0.0,0.27467082776164653,0.009328741207411484
6688.0,111.46666666666667,替钻井液(快),0.3262890552980974,0.3262890552980974,0.9999763628822219,0.3637058465955971,708.4179018036073,550.9917014028057,666.7462605210421,0.06813627254506067,0.1072691035348123,0.15171400167840463,0.029887078493135433,0.0,0.2762825444470081,0.009270179994425948
6692.0,111.53333333333333,替钻井液(快),0.32782653178895865,0.32782653178895865,0.9999784423828112,0.365419631289413,713.0480841683368,555.6218837675351,671.3764428857717,0.06813627254506072,0.10768453382896113,0.15172934352940962,0.029890055154148554,0.0,0.2778966448071809,0.009212056421441708
6696.0,111.6,替钻井液(快),0.32936387289945285,0.32936387289945285,0.9999803537437949,0.36713326507828675,717.6782665330662,560.2520661322646,671.3764428857717,0.06813627254506067,0.10809960014425911,0.1517431272668114,0.02989272949860844,0.0,0.27951258306322246,0.009154360791998889
6700.0,111.66666666666667,替钻井液(快),0.3309010939124068,0.3309010939124068,0.9999821090670568,0.3688467649975843,722.3084488977956,564.8822484969941,676.0066252505011,0.06813627254506067,0.1085144209311198,0.15175524845589466,0.02989508126648921,0.0,0.2811298616303194,0.009097079997004766
6704.0,111.73333333333333,替钻井液(快),0.3324382032765144,0.3324382032765144,0.9999837197261244,0.370560140464843,726.9386312625252,564.8822484969941,680.6368076152305,0.0701402805610919,0.10892907158979338,0.15622937389654418,0.03076276721441551,0.0,0.2827480890184948,0.009040200365437573
6708.0,111.8,替钻井液(快),0.33397519824175703,0.33397519824175703,0.9999851963971504,0.37227338841468927,731.5688136272546,569.5124308617235,685.26698997996,0.0701402805610919,0.10934357624488521,0.15623837981000738,0.03076451298617211,0.0,0.2843669670179058,0.008983708252516206
6712.0,111.86666666666666,替钻井液(快),0.3355120845006132,0.3355120845006132,0.9999865490896217,0.3739865151923795,736.198995991984,574.142613226453,689.8971723446895,0.07014028056109185,0.10975798124365287,0.15624567795691216,0.03076592770973352,0.0,0.2859862899650547,0.008927593546016101
6716.0,111.93333333333334,替钻井液(快),0.33704886624352537,0.33704886624352537,0.9999877871768437,0.37569952546888996,740.8291783567136,578.7727955911824,694.5273547094189,0.0701402805610919,0.1101723113165731,0.1562512999559302,0.030767017515721307,0.0,0.28760590539932557,0.008871852481777631
6720.0,112.0,替钻井液(快),0.3385855455345502,0.3385855455345502,0.9999889194260314,0.3774124215449704,745.459360721443,583.4029779559119,699.1575370741484,0.0701402805610919,0.11058657965184332,0.15625528916658127,0.030767790810320328,0.0,0.2892256953547299,0.008816481124683017
6724.0,112.06666666666666,替钻井液(快),0.3401221407886544,0.3401221407886544,0.9999899540278869,0.3791252239473009,750.0895430861724,583.4029779559119,703.7877194388778,0.07214428857712309,0.11100085756733141,0.16072220552271463,0.03163329997867237,0.0,0.2908455827048028,0.008761476919023332
6728.0,112.13333333333334,替钻井液(快),0.34165866183141047,0.34165866183141047,0.9999908986255865,0.3808379436281894,754.7197254509019,588.0331603206414,708.4179018036073,0.07214428857712309,0.11141517985658081,0.16072311760058067,0.031633476623822876,0.0,0.2924654914263646,0.008706834326443908
6732.0,112.2,替钻井液(快),0.3431951172450328,0.3431951172450328,0.9999917603431204,0.38255059015400483,754.7197254509019,592.6633426853708,708.4179018036073,0.0701402805610919,0.11182957665984042,0.15625800235235535,0.030768316751585978,0.0,0.294085353527302,0.008652551730526392
