排量_m3min,屈服应力_Pa,黏度_mPas,全井有效顶替效率,耗时_s
0.3,5.0,50.0,0.328917,12.2
0.4,13.0,170.0,0.646218,11.2
0.5,21.0,290.0,0.664498,10.6
0.7,9.0,110.0,0.626285,10.5
0.8,17.0,230.0,0.658167,9.8
1.0,5.0,50.0,0.332386,9.4
1.1,13.0,170.0,0.646798,9.0
1.2,21.0,290.0,0.664292,9.1
1.4,9.0,110.0,0.626894,8.8
1.5,17.0,230.0,0.657475,9.4
