well_id,md_m,caliper_mm,borehole_nominal_diameter_mm,enlargement_ratio,data_type,source_file,source_location,confidence,notes
hu103,5755.0,260.00,260.0,0.0,field_measured,2\203\2031\20313.doc,1.5.2电测井径表,high,井段5750-5760m平均井径
hu103,5775.0,290.11,260.0,11.6,field_measured,2\203\2031\20313.doc,1.5.2电测井径表,high,井段5760-5790m平均井径
hu103,5805.0,295.61,260.0,13.7,field_measured,2\203\2031\20313.doc,1.5.2电测井径表,high,井段5790-5820m平均井径
hu103,5835.0,270.00,260.0,3.8,field_measured,2\203\2031\20313.doc,1.5.2电测井径表,high,井段5820-5850m平均井径
hu103,5865.0,274.67,260.0,5.6,field_measured,2\203\2031\20313.doc,1.5.2电测井径表,high,井段5850-5880m平均井径
hu103,5895.0,266.53,260.0,2.5,field_measured,2\203\2031\20313.doc,1.5.2电测井径表,high,井段5880-5910m平均井径
hu103,5925.0,266.99,260.0,2.7,field_measured,2\203\2031\20313.doc,1.5.2电测井径表,high,井段5910-5940m平均井径
hu103,5955.0,268.93,260.0,3.4,field_measured,2\203\2031\20313.doc,1.5.2电测井径表,high,井段5940-5970m平均井径
hu103,5985.0,264.85,260.0,1.9,field_measured,2\203\2031\20313.doc,1.5.2电测井径表,high,井段5970-6000m平均井径
hu103,6015.0,267.76,260.0,3.0,field_measured,2\203\2031\20313.doc,1.5.2电测井径表,high,井段6000-6030m平均井径
hu103,6045.0,277.27,260.0,6.6,field_measured,2\203\2031\20313.doc,1.5.2电测井径表,high,井段6030-6060m平均井径
hu103,6075.0,266.54,260.0,2.5,field_measured,2\203\2031\20313.doc,1.5.2电测井径表,high,井段6060-6090m平均井径
hu103,6105.0,271.72,260.0,4.5,field_measured,2\203\2031\20313.doc,1.5.2电测井径表,high,井段6090-6120m平均井径
hu103,6135.0,268.09,260.0,3.1,field_measured,2\203\2031\20313.doc,1.5.2电测井径表,high,井段6120-6150m平均井径
hu103,6165.0,271.90,260.0,4.6,field_measured,2\203\2031\20313.doc,1.5.2电测井径表,high,井段6150-6180m平均井径
hu103,6195.0,271.19,260.0,4.3,field_measured,2\203\2031\20313.doc,1.5.2电测井径表,high,井段6180-6210m平均井径
