case,eta_E_well,eta_N_well,eta_E_cbl,wide_q1,mid,narrow_q4,gap_mean_mm,elapsed_s
0_呼102基线,0.9718282403307571,0.8060699420265119,nan,0.9999998843324527,0.9984170422153987,0.8012563929779725,25.66,99.5
1_井径到呼102尺度(x0.831),0.9248418977746453,0.5770708847155913,0.9353661081002197,0.9999971381833828,0.9760843226192167,0.6273424468277522,25.66,86.9
2_钻井液流变到呼102,0.48480690026300777,0.030719275376543485,0.4949517284416968,0.9075609735813163,0.19094219459581738,0.03212176653661028,45.07,53.2
3_水泥浆流变到呼102,0.6594772775848842,0.07929695360646098,0.6753985823062097,0.9858497137673629,0.5008357029477309,0.08806142661580285,45.07,45.1
4_井斜到6.79deg常数,0.4918556410680535,0.031370933867631824,0.5033723191427528,0.9105693259540334,0.20764572010252252,0.032890824065255016,45.07,52.9
5_井径+钻井液到呼102,0.8982420163918371,0.4764003776727841,0.9090638523377471,0.9999866246430876,0.9520372900410657,0.5404531889690617,25.66,85.8
6_呼102井径到呼101尺度(x1.203),0.5788192103321408,0.010699649997276208,nan,0.9954195085377815,0.2761785820714599,0.012780378556501024,45.07,52.2
