case,group,nz,stop_s,eta_E_well,d_eta_E_well,eta_E_cbl,d_eta_E_cbl,eta_N_well,eta_N_cbl,channeling_index,mixing_index,b_number,wide_q1,narrow_q4,depth_bottom_band,depth_top_band,narrow_side_gap_frac,elapsed_s
A_基线,A,250,13742.7,0.49194279093047893,0.0,0.5034653062957734,0.0,0.0313783859619479,0.013772951531564666,0.9799196787144625,0.34880318355904844,52.74606817198011,0.9106265597216603,0.032899242102505596,0.573781756523316,0.24207516385080216,0.9292,61.3
B_真浮力关,B,250,13742.7,0.6482361394721899,0.156293348541711,0.6637013514826412,0.16023604518686785,0.06544885370300332,0.05164655912073928,0.9759036144574358,0.30407306121572814,50.66792470814625,0.981384289571143,0.07183782209505978,0.7351781698559092,0.3586633960980588,0.7236,44.9
C_eclip=0.45,C,250,13742.7,0.4744268410253685,-0.01751594990511046,0.48344480857877753,-0.020020497716995822,0.039316893382464406,0.018926436465951088,0.9718875502004094,0.3454453523549565,49.64471759934392,0.912731516478776,0.04073606089336475,0.585457321404514,0.2489749492829552,0.922,60.1
C_eclip=0.50,C,250,13742.7,0.48316355307817865,-0.008779237852300281,0.49375267528443767,-0.009712631011335682,0.03404425830830317,0.01553162695417338,0.9759036144574358,0.3461299884720307,51.2468897550512,0.911235663822917,0.03565224674053695,0.5826578879268267,0.24458318782274255,0.9236,64.2
C_eclip=0.60,C,250,13742.7,0.4944646938385549,0.002521902908075968,0.5066505898747534,0.0031852835789800693,0.03255599384876915,0.014129235241840836,0.9799196787144625,0.3516377251629212,53.408439431843604,0.9084689720610946,0.03273059801312697,0.5696538093441208,0.23888505840493324,0.9304,68.5
C_eclip=0.70,C,250,13742.7,0.49474955617795346,0.0028067652474745297,0.5070575891203154,0.003592282824542048,0.03268122294710207,0.014194172369039536,0.9799196787144625,0.3518725565380695,53.45612640652583,0.9083008384026172,0.03273443822120884,0.5696149875307032,0.23840111851231766,0.9304,59.3
C_eclip=0.90,C,250,13742.7,0.49474955617795346,0.0028067652474745297,0.5070575891203154,0.003592282824542048,0.03268122294710207,0.014194172369039536,0.9799196787144625,0.3518725565380695,53.45612640652583,0.9083008384026172,0.03273443822120884,0.5696149875307032,0.23840111851231766,0.9304,58.4
D_disp_x0.5,D,250,13742.7,0.46526181657243365,-0.026680974358045284,0.47690881818943437,-0.026556488106338982,0.021680957241962256,0.004988411268842909,0.9839357429714889,0.30209625273075774,52.90491545660329,0.9071239651015527,0.022997322236918128,0.5312750355245267,0.22117270051178411,0.9536,61.0
D_disp_x2,D,250,13742.7,0.5245045697681231,0.03256177883764416,0.5363294226704164,0.03286411637464304,0.05241239595776529,0.03621697639383907,0.9678714859433829,0.41829835577448016,52.551311261020246,0.9070631037356168,0.05550916447713323,0.6271881179139702,0.2695176105825129,0.846,58.2
D_disp_x3,D,250,13742.7,0.5466220632990343,0.054679272368555354,0.5587755444209556,0.05531023812518221,0.07664341700824728,0.06311726513029178,0.9598393574293299,0.4676045082734996,52.39861524787716,0.9015027668617221,0.0818574876502256,0.6657857561898323,0.2902107291793074,0.7088,57.5
E_nz500,E,500,13742.7,0.4727376972814628,-0.019205093649016125,0.4818867283224624,-0.021578577973310975,0.021275834900371653,0.004887639177492992,0.985971943887376,0.3527264866053707,52.97828596410433,0.9013248668555353,0.021786935432571795,0.5269387273533565,0.23719061077140033,0.96,209.3
F_hu101挂hu102居中度,F,250,13742.7,0.48105029167059005,-0.010892499259888888,0.49146162724494896,-0.01200367905082439,0.03443643004716434,0.01580546024496025,0.9759036144574358,0.35072945599789185,51.32983542384226,0.9086052610581044,0.03593994383846591,0.5804516522298941,0.24367385518401546,0.9252,64.1
F_hu102挂hu101居中度(0.429),F,250,11737.1,0.9561247949836003,0.4641820040531213,nan,nan,0.6643993391401705,nan,0.5140562248990347,0.0770981537713475,2.5608185478889154,0.9999999999742091,0.6600635004214257,0.9872384709286683,0.7983176421065565,0.0748,107.2
G_尾浆密度1.90到2.10,G,250,13742.7,0.4921665077999712,0.0002237168694922409,0.5036051976870559,0.000139891391282565,0.031306726429461765,0.013728620933926568,0.9799196787144625,0.34831949183952315,52.73423781508144,0.9111065281327628,0.032831739979847965,0.5738657073233304,0.24259142877117226,0.9292,68.4
