well,旧eta_E,新eta_E,Δ,旧占据率,新占据率,旧窜槽,新窜槽,旧混浆,新混浆,旧失稳,新失稳,旧CBL评价窗eta_E,新CBL评价窗eta_E,stop口径说明,elapsed_s,status
hu101,0.4282,0.3992,-0.0290,0.4282,0.3992,0.9719,0.9759,0.2931,0.4082,1.0000,1.0000,0.4392,0.3975,runner基线停止口径=尾浆全部进入环空(cement_end_time_s)，封顶泵注结束,153.9,done
hu102,0.3456,0.3814,0.0359,0.3456,0.3814,0.2691,0.1647,0.0559,0.0810,0.9637,0.9997,-,-,runner基线停止口径=尾浆全部进入环空(cement_end_time_s)，封顶泵注结束,214.5,done
hu103,0.6009,0.1940,-0.4069,0.6009,0.1940,0.6386,0.3936,0.3448,0.1473,0.8726,0.9982,-,-,runner基线停止口径=尾浆全部进入环空(cement_end_time_s)，封顶泵注结束,122.1,done
hu1,0.5393,0.5014,-0.0379,0.5393,0.5014,0.8353,0.9357,0.3445,0.3807,1.0000,1.0000,-,-,runner基线停止口径=尾浆全部进入环空(cement_end_time_s)，封顶泵注结束,150.0,done
hu2,0.6253,0.5690,-0.0563,0.6253,0.5690,0.3133,0.2329,0.2912,0.1211,0.4989,0.4376,-,-,runner基线停止口径=尾浆全部进入环空(cement_end_time_s)，封顶泵注结束,360.3,done
ht1_001,0.5410,0.5195,-0.0214,0.5410,0.5195,0.2972,0.6586,0.3013,0.3533,0.4370,0.7955,-,-,runner基线停止口径=尾浆全部进入环空(cement_end_time_s)，封顶泵注结束,306.6,done
ht1_003,0.6522,0.6132,-0.0390,0.6522,0.6132,0.3534,0.6064,0.2655,0.3540,0.3260,0.6269,-,-,runner基线停止口径=尾浆全部进入环空(cement_end_time_s)，封顶泵注结束,367.7,done
ht1_004,0.6884,0.6284,-0.0600,0.6884,0.6284,0.3173,0.5422,0.2626,0.3327,0.3605,0.6521,-,-,runner基线停止口径=尾浆全部进入环空(cement_end_time_s)，封顶泵注结束,380.2,done
