井深_m,领浆平均浓度,尾浆平均浓度,水泥平均浓度,前置液隔离液平均浓度,冲洗液平均浓度,平均有效顶替效率,钻井液平均浓度,宽边有效效率,中线有效效率,窄边有效效率,宽边水泥浓度,中线水泥浓度,窄边水泥浓度,宽边前置液隔离液浓度,中线前置液隔离液浓度,窄边前置液隔离液浓度,环空间隙_m,偏心度指标,居中度
7868.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.038335910434021826,0.54,0.46
7858.088353413655,0.006035019412413956,0.9875287949584117,0.9935638143708259,0.0014730611439858754,0.0,0.9935638143708259,0.004963124485188155,0.9999999999999999,0.9993527591639287,0.9500642887249698,0.9999999999999999,0.9993527591639287,0.9500642887249698,9.410114535305886e-19,0.00011401639780386673,0.011464728360143447,0.043058846939595885,0.541479350236768,0.45852064976323204
7848.176706827309,0.016840900337643322,0.9647775324502285,0.9816184327878714,0.004751140066083146,0.0,0.9816184327878714,0.013630427146045702,0.9999999999999992,0.9968782395785241,0.8708823906496244,0.9999999999999992,0.9968782395785241,0.8708823906496244,1.1930041938278523e-17,0.0006798181036525614,0.032647818768913706,0.047781783445169916,0.5429587004735359,0.4570412995264641
7838.265060240964,0.03197334901727904,0.9317441541868071,0.9637175032040862,0.010387630569795097,0.0,0.9637175032040862,0.0258948662261186,0.9999999999999962,0.9909297610416804,0.7638984446116566,0.9999999999999962,0.9909297610416804,0.7638984446116566,8.917864716402998e-17,0.0023312495863046607,0.06393261275931812,0.05161604297405187,0.5444380507103039,0.4555619492896961
7828.353413654619,0.047877229084752886,0.8949834164171725,0.9428606455019252,0.0175344157639313,0.0,0.9428606455019252,0.03960493873414326,0.9999999999999851,0.9814105853819566,0.6606182070842072,0.9999999999999851,0.9814105853819566,0.6606182070842072,4.153791029874689e-16,0.0053354171521943295,0.0915258379964687,0.05126200082574565,0.5459174009470718,0.4540825990529282
7818.441767068273,0.061710422804430266,0.8599435449923827,0.9216539677968129,0.025091122057239918,0.0,0.9216539677968129,0.053254910145946986,0.9999999999999521,0.9686289943418649,0.5629989765642883,0.9999999999999521,0.9686289943418649,0.5629989765642883,1.4735062712396695e-15,0.009779981702890626,0.11381707021524942,0.050707661839433024,0.5473967511838398,0.4526032488161602
7808.530120481928,0.07282892600611987,0.8273532292569452,0.9001821552630649,0.03279225406942643,0.0,0.9001821552630649,0.06702559066750852,0.9999999999998714,0.9519134223952324,0.4724715347627291,0.9999999999998714,0.9519134223952324,0.4724715347627291,4.319696258972281e-15,0.01617478798127911,0.12979020542153952,0.04907956660813747,0.5488761014206078,0.4511238985793922
7798.618473895583,0.08109994451930422,0.7975642271908969,0.8786641717102007,0.040470531003849536,0.0,0.8786641717102007,0.08086529728594981,0.9999999999996915,0.9308706184525153,0.3901788656605243,0.9999999999996915,0.9308706184525153,0.3901788656605243,1.119968261288221e-14,0.025066627951432063,0.13904350409162045,0.04771558664167734,0.55,0.4496445483426243
7788.706827309237,0.08654998855976455,0.7711999891727227,0.8577499777324868,0.0477864385272381,0.0,0.8577499777324868,0.09446358374027468,0.9999999999993104,0.9067181585028334,0.3169164688725533,0.9999999999993104,0.9067181585028334,0.3169164688725533,2.6840179913264114e-14,0.036326808556105955,0.14180503710192388,0.047982364880189775,0.55,0.4481651981058563
7778.795180722892,0.08904396014347357,0.749706622795579,0.8387505829390529,0.054033722577931646,0.0,0.8387505829390529,0.10721569448301549,0.9999999999985985,0.8827114954446769,0.25309056550308534,0.9999999999985985,0.8827114954446769,0.25309056550308534,5.778718855355781e-14,0.04837855172346958,0.13885368455118455,0.04769664679702812,0.55,0.4466858478690884
