time_s,time_min,stage,bulk_cement_fill,effective_efficiency,front_wide_m,front_narrow_m,front_mid_m,channeling_index,mixing_index,instability_proxy,instability_index,mean_wall_mud,mean_cement,mean_mud,mean_flusher
7744.0,129.06666666666666,井浆快替,0.2149735555892586,0.2149735555892586,633.0741482965932,49.45891783567134,727.0460921843687,0.23647294589168774,0.04971901582879882,75.6450262492356,0.9999997311212359,0.71055,0.24177966607146867,0.5586405731541597,0.0
7748.0,129.13333333333333,井浆快替,0.21534608990774926,0.21534608990774926,638.0200400801604,49.45891783567134,727.0460921843687,0.23847695390771903,0.049891019326912596,83.01830110177715,0.9999999384650309,0.71025,0.24217164159916266,0.5583759569652667,0.0
7752.0,129.2,井浆快替,0.21564490808752998,0.21564490808752998,638.0200400801604,49.45891783567134,727.0460921843687,0.23847695390771903,0.05000975607503589,80.97353321233616,0.9999999073749898,0.7098,0.2424787981969266,0.5581115189075573,0.0
7756.0,129.26666666666668,井浆快替,0.21602070838474471,0.21602070838474471,638.0200400801604,49.45891783567134,727.0460921843687,0.23847695390771903,0.05004075976514142,80.94720678262418,0.9999999068860064,0.70875,0.24284970396183153,0.5579067832762025,0.0
7760.0,129.33333333333334,井浆快替,0.21641294232786293,0.21641294232786293,638.0200400801604,49.45891783567134,727.0460921843687,0.23847695390771903,0.050328452978561894,80.96718096391447,0.9999999072572395,0.70815,0.24322980240945288,0.5575091730654084,0.0
7764.0,129.4,井浆快替,0.21684521097020318,0.21684521097020318,638.0200400801604,49.45891783567134,727.0460921843687,0.23847695390771903,0.050691135238335745,81.24012393744377,0.9999999121842342,0.7079,0.24365673280975675,0.5571209975349338,0.0
7768.0,129.46666666666667,井浆快替,0.21723693230131502,0.21723693230131502,638.0200400801604,49.45891783567134,731.9919839679359,0.23847695390771903,0.050766605206413296,81.36897296243191,0.9999999144183197,0.70765,0.24404737911356086,0.5566961029299895,0.0
7772.0,129.53333333333333,井浆快替,0.21767423496040167,0.21767423496040167,642.9659318637275,49.45891783567134,731.9919839679359,0.24048096192375026,0.05077273095728112,82.17789693555797,0.9999999272021479,0.70715,0.24445462296005452,0.5563232652200685,0.0
7776.0,129.6,井浆快替,0.21808093082274502,0.21808093082274502,642.9659318637275,49.45891783567134,731.9919839679359,0.24048096192375026,0.0509140105785509,82.25663718054167,0.9999999283395923,0.7068,0.24483995974918066,0.5558908857037772,0.0
7780.0,129.66666666666666,井浆快替,0.21849262544638975,0.21849262544638975,642.9659318637275,49.45891783567134,736.937875751503,0.24048096192375026,0.051117875076468124,82.28883514030038,0.9999999287995734,0.7064,0.24524007667142578,0.5555170655411071,0.0
