井段_m,顶界_m,底界_m,平均水泥体积分数,宽边平均,窄边平均,宽窄边差值
5402.85-5700,5402.85,5700.0,0.5168987432264003,0.7918928401706967,1.5679412114460531e-12,0.7918928401691288
5700-6153,5700.0,6153.0,0.6128022705945012,0.8589805416692403,4.9933284770990994e-08,0.8589804917359556
6153-6800,6153.0,6800.0,0.7408530311520608,0.9364554541559733,0.03704203319359659,0.8994134209623768
6800-7200,6800.0,7200.0,0.7982350869829612,0.8878864944905571,0.3101570515340996,0.5777294429564575
7200-7492,7200.0,7492.0,0.8785050093761546,0.9383120253824182,0.5477612115161835,0.3905508138662347
7492-7600,7492.0,7600.0,0.9234652160700342,0.9528105710452667,0.775964027385919,0.1768465436593477
7600-7735,7600.0,7735.0,0.945311389125049,0.9672492546089314,0.8995241763332913,0.06772507827564012
7735-7810,7735.0,7810.0,0.9679543830979761,0.9837388971938185,0.8816346854419628,0.10210421175185569
7810-7868,7810.0,7868.0,0.9894128095141863,0.9951806489820134,0.9658071552516339,0.029373493730379563
