井深_m,周向平均水泥体积分数,宽边水泥体积分数,窄边水泥体积分数,平均间隙_m,偏心度,井径_mm,尾管外径_mm
7868.0,0.9981716773337974,0.9992379483899633,0.9930982666502995,0.05080443172543733,0.54,241.3,139.7
7862.116587112172,0.9962118737076688,0.998428538185513,0.9859223921375687,0.05080443172543734,0.5408781213265415,241.3,139.7
7856.233174224344,0.9942066402445516,0.9975754910912978,0.9790018379404891,0.05080443172543734,0.541756242653083,241.3,139.7
7850.349761336515,0.992201191665028,0.9966830585882397,0.9725497997824569,0.05080443172543735,0.5426343639796245,241.3,139.7
7844.466348448687,0.9902230253363381,0.9957571703176794,0.9666463969315962,0.05080443172543733,0.543512485306166,241.3,139.7
7838.582935560859,0.9882884344657005,0.9948044035393057,0.9612942258139817,0.05080443172543734,0.5443906066327076,241.3,139.7
7832.699522673031,0.986405197974764,0.9938297424334926,0.9564358175726376,0.05080443172543733,0.545268727959249,241.3,139.7
7826.816109785203,0.9845747860011358,0.9928378225509765,0.9519588748249005,0.05080443172543735,0.5461468492857906,241.3,139.7
7820.932696897375,0.9827932887491121,0.9918330927965678,0.9477017553579548,0.05080443172543734,0.5470249706123321,241.3,139.7
7815.049284009547,0.9810519796637661,0.9908192219270965,0.9434621855044536,0.05080443172543734,0.5479030919388737,241.3,139.7
7809.165871121719,0.9793382384467543,0.9897992992434573,0.9390076454087593,0.050804431725437325,0.5487812132654151,241.3,139.7
7803.28245823389,0.9776365250637022,0.988776313643881,0.9340850254289126,0.05080443172543734,0.5496593345919567,241.3,139.7
7797.399045346062,0.975929069021844,0.9877531458981936,0.9284285230419038,0.050804431725437325,0.5505374559184982,241.3,139.7
7791.515632458234,0.9741963197087551,0.9867320953092148,0.9217667274047123,0.050804431725437325,0.5514155772450398,241.3,139.7
7785.632219570406,0.9724175247075167,0.9857147818112607,0.9138311638487551,0.050804431725437325,0.5522936985715812,241.3,139.7
7779.748806682577,0.9705715138770967,0.9847024109236943,0.9043688466940352,0.050804431725437325,0.5531718198981228,241.3,139.7
7773.865393794749,0.9686376490531629,0.9836959342219795,0.8931611578908908,0.05080443172543731,0.5540499412246642,241.3,139.7
7767.981980906921,0.9665970652772435,0.9826960065907925,0.8800517337130905,0.050804431725437325,0.5549280625512057,241.3,139.7
7762.098568019093,0.9644345159252227,0.9817030259818526,0.8649882057439764,0.05080443172543733,0.5558061838777473,241.3,139.7
7756.2151551312645,0.9621412048406935,0.9807173124431701,0.8480877074805317,0.05080443172543734,0.5566843052042889,241.3,139.7
7750.331742243437,0.9597192124520404,0.979739208809711,0.8297450109070127,0.05080443172543733,0.5575624265308303,241.3,139.7
7744.448329355609,0.9571886722743094,0.9787690412820562,0.8108151333350566,0.050804431725437325,0.5584405478573718,241.3,139.7
7738.564916467781,0.9545994696253473,0.9778070873603744,0.7929140298478788,0.050804431725437325,0.5593186691839134,241.3,139.7
7732.681503579953,0.9520491061245938,0.9768536162487029,0.7788639875623984,0.05080443172543733,0.5601967905104548,241.3,139.7
7726.798090692124,0.9497050242769861,0.975908914892887,0.7731681422351381,0.05080443172543733,0.5610749118369964,241.3,139.7
7720.914677804296,0.9478167806567492,0.9749732531194295,0.7819100821308362,0.05080443172543734,0.5619530331635378,241.3,139.7
7715.031264916468,0.946675328491334,0.9740468641886352,0.8105783853049335,0.05080443172543733,0.5628311544900795,241.3,139.7
7709.14785202864,0.9464654663665215,0.9731299710261618,0.8586841589727308,0.05080443172543733,0.5637092758166209,241.3,139.7
7703.264439140811,0.9470683658378936,0.9722228129181267,0.9152845856687011,0.05080443172543735,0.5645873971431625,241.3,139.7
7697.381026252983,0.9480484872667976,0.9713256381426466,0.9636971891541564,0.05080443172543733,0.5654655184697039,241.3,139.7
7691.497613365155,0.9489047097973501,0.9704386886236223,0.9924551121733719,0.05080443172543734,0.5663436397962455,241.3,139.7
7685.614200477327,0.9493123778120697,0.969562200537498,0.9997207136232862,0.05080443172543733,0.567221761122787,241.3,139.7
