time_s,time_min,stage,bulk_cement_fill,effective_efficiency,target_interval_efficiency,cbl_eval_interval_efficiency,front_wide_m,front_narrow_m,front_mid_m,channeling_index,mixing_index,instability_proxy,instability_index,mean_wall_mud,mean_cement,mean_mud
7044.0,117.4,替钻井液(快),0.06384127009447357,0.06384127009447357,0.5408702832719383,0.07116218828190675,129.64510621242488,101.86401202404811,120.38474148296595,0.012024048096187186,0.031324165757517716,0.03603701639536935,0.00718149223587683,0.0,0.05261277655145026,0.00966212932108147
7048.0,117.46666666666667,替钻井液(快),0.06509899974410306,0.06509899974410306,0.5514865110127296,0.0725641465136622,134.27528857715433,106.49419438877757,125.01492384769541,0.01202404809618718,0.03178881767545474,0.035997978923452724,0.0071737407806941045,0.0,0.053619585273535816,0.009610540560296952
7052.0,117.53333333333333,替钻井液(快),0.06635664814317563,0.06635664814317563,0.5620795907458064,0.07396601417755423,134.27528857715433,106.49419438877757,125.01492384769541,0.01202404809618718,0.03225260371609991,0.035958358768717384,0.007165873563521052,0.0,0.05462416914393584,0.009559205424338565
7056.0,117.6,替钻井液(快),0.0676142229961492,0.0676142229961492,0.5726470436101789,0.07536779986153994,138.90547094188378,106.49419438877757,129.64510621242488,0.014028056112218372,0.03271562176123326,0.04190455521642486,0.008345889115175087,0.0,0.055626415665206846,0.009508150239114267
7060.0,117.66666666666667,替钻井液(快),0.06887172242088284,0.06887172242088284,0.5831873999079945,0.07676950146764615,138.90547094188378,111.12437675350702,134.27528857715433,0.01202404809618718,0.03317791049962251,0.03587749243091369,0.007149816061699954,0.0,0.05662623839077883,0.009457327450848253
7064.0,117.73333333333333,替钻井液(快),0.07012915074727762,0.07012915074727762,0.5936993888360925,0.07817112382229999,143.53565330661326,111.12437675350702,134.27528857715433,0.014028056112218384,0.03363951907560719,0.04180902274219902,0.008326941900010376,0.0,0.05762359191575927,0.009406786197545267
7068.0,117.8,替钻井液(快),0.07138650396539589,0.07138650396539589,0.6041813425371179,0.07957266245572919,143.53565330661326,115.75455911823649,138.90547094188378,0.012024048096187186,0.03410045745647907,0.03579464058640978,0.0071333640315811575,0.0,0.05861845785488833,0.009356471984159615
7072.0,117.86666666666666,替钻井液(快),0.07264378451858058,0.07264378451858058,0.6146312754803835,0.08097412009146403,148.1658356713427,115.75455911823649,138.90547094188378,0.01402805611221838,0.034560734213013165,0.041711290898540504,0.008307558103314738,0.0,0.059610855533163684,0.009306428516125433
7076.0,117.93333333333334,替钻井液(快),0.07390098663794605,0.07390098663794605,0.625046878342155,0.08237549029907902,148.1658356713427,120.38474148296595,143.53565330661326,0.01202404809618718,0.035020337951637844,0.03570999775413158,0.007116556080485781,0.0,0.06060082810327173,0.009256618677873456
7080.0,118.0,替钻井液(快),0.0751581100009647,0.0751581100009647,0.6354257204554674,0.08377677271906116,152.79601803607216,120.38474148296595,143.53565330661326,0.014028056112218372,0.035479246066587554,0.04161157705379881,0.008287780812871848,0.0,0.06158845050350501,0.009207064572984255
7084.0,118.06666666666666,替钻井液(快),0.0764151487195008,0.0764151487195008,0.6457651803811992,0.08517796078806004,157.42620040080163,125.01492384769541,148.1658356713427,0.01402805611221838,0.035937434952848325,0.04156106564200471,0.008277762205409545,0.0,0.06257381651796942,0.009157755943211927
7088.0,118.13333333333334,替钻井液(快),0.07767210183559925,0.07767210183559925,0.6560625130653195,0.08657905343826831,157.42620040080163,125.01492384769541,148.1658356713427,0.01402805611221838,0.03639486584497865,0.04151018515709002,0.008267670292389617,0.0,0.06355704287072754,0.009108690855930362
