cement_occ,channeling,corrected,elapsed_s,eta_E,eta_N,instability,mixing,wall_frac,well
0.42003228728887476,0.9678714859433829,False,84.8,0.42003228728887476,0.023096288019307167,1.0,0.3214104958334487,0.452,hu101
0.4403977297449743,0.9799196787144625,True,249.1,0.4403977297449743,0.022618089469543377,1.0,0.32312699488999225,0.4533,hu101
0.17422906274343403,0.12048192771071126,False,134.4,0.17422906274343403,0.20131293677014325,0.9962459041321596,0.20759902507168407,0.5344,hu102
0.4742872841335714,0.2409638554214225,True,907.0,0.4742872841335714,0.18429178799509957,1.0,0.3253627420609425,0.2428,hu102
0.0018386103539472119,0.0,False,47.0,0.0018386103539472119,0.001114760466366349,0.0,0.007156932399139334,1.0,hu103
0.434454042819668,0.8714859437747102,True,412.3,0.434454042819668,0.1457809928188403,0.9997788856899652,0.2683001185536072,0.4105,hu103
4.851662132914582e-05,0.0,False,49.6,4.851662132914582e-05,4.3919415810955435e-05,0.0,0.00019395259073650382,1.0,hu1
0.3781428888267657,0.7309236947789373,True,296.6,0.3781428888267657,0.069492235570919,0.9999999999999999,0.34475574325890823,0.4195,hu1
0.5304175456456824,0.441767068272897,False,85.4,0.5304175456456824,0.4334037155488768,0.7136554164481942,0.21729160828451963,0.3162,hu2
0.6162519624518825,0.38955823293155467,True,281.6,0.6162519624518825,0.5324248675619504,0.5934081117828398,0.26390000762192767,0.1614,hu2
0.48221918274280634,0.48594377510018905,False,72.1,0.48221918274280634,0.37237072164788976,0.6597828659960301,0.25081717300884376,0.3806,ht1_001
0.5461235056636606,0.5020080321282945,True,291.0,0.5461235056636606,0.46162763418374225,0.6494871949254188,0.28892638775080276,0.2344,ht1_001
0.5422971219653843,0.37349397590345274,False,79.9,0.5422971219653843,0.40220760351509893,0.1489345618886212,0.14253147224301585,0.3986,ht1_003
0.6638772990502587,0.4257028112447957,True,1021.5,0.6638772990502587,0.5558536770669538,0.0,0.22004253202145363,0.1748,ht1_003
0.07440827803671567,0.02811244979918515,False,50.9,0.07440827803671567,0.059264177867737244,0.02728396916674769,0.0651020637480852,0.8323,ht1_004
0.14184981908597574,0.5903614457828883,True,145.8,0.14184981908597574,0.06734012609181675,0.9995075125690064,0.22704201383771447,0.6123,ht1_004
