scale,cfl_on,effective_efficiency,channeling_index,mixing_index,instability_index,cement_occupation,front_length_m,elapsed_s
0.0,True,0.017416143398921464,0.0,0.0017361787509634435,0.0,0.017416143398921464,80.993,4.2
0.0,False,0.017416143487886795,0.0,0.0017361790975115568,0.0,0.017416143487886795,80.993,4.1
1.0,True,0.6653817642960648,0.2758620689654031,0.5260632773880174,0.26249828653453267,0.6653817642960648,2098.531,4.2
1.0,False,0.6655547401251015,0.2758620689654031,0.526004545862261,0.26249392814381267,0.6655547401251015,2098.285,4.0
