level,enable_d2dga,auto_m,i3_flux,true_buoyancy,effective_efficiency,channeling_index,mixing_index,instability_index,cement_occupation,elapsed_s
NONE,False,False,False,False,0.8160325788329222,0.0721442885771244,0.10802681834447539,0.035604762327253625,0.8160325788329222,15.6
R0,True,False,False,False,0.9595823761947894,0.048096192384749666,0.11780137782131027,0.02827095783443756,0.9595823761947894,18.2
R1,True,True,False,False,0.956175137663473,0.0721442885771245,0.12333603051760289,0.04129416482349668,0.956175137663473,18.4
R2,True,True,True,False,0.9561765303412054,0.0721442885771245,0.12333368549674081,0.04129467135668474,0.9561765303412054,25.6
R3,True,True,True,True,0.9543180725939574,0.10020040080156167,0.12791567049635733,0.0592411364619464,0.9543180725939574,26.1
