地面累计时间_s,地面累计时间_min,环空顶替时间_s,环空顶替时间_min,地面施工阶段,鞋口出流流体,环空入口相,排量_m3_min
0.000,0.000,0.000,0.000,注入先导浆,钻井液,泥浆相,1.300000
4686.056,78.101,0.000,0.000,注入领浆,先导浆,泥浆相,1.200000
6363.882,106.065,0.000,0.000,替入压塞液,隔离液1,泥浆相,1.000000
7112.276,118.538,0.000,0.000,替钻井液(快),隔离液2,泥浆相,1.300000
7574.902,126.248,0.000,0.000,替保护液,领浆,泥浆相,1.200000
9746.279,162.438,2171.378,36.190,井浆替入3,尾浆,水泥相,0.900000
12000.473,200.008,4425.571,73.760,井浆替入5,压塞液,泥浆相,0.700000
12001.960,200.033,4427.058,73.784,施工结束后保持,压塞液,泥浆相,0.000000
