排量_m3min,屈服应力_Pa,黏度_mPas,全井有效顶替效率,耗时_s
0.6,21.0,90.0,0.943688,8.3
0.6,21.0,110.0,0.945588,8.6
0.6,21.0,130.0,0.947032,8.4
0.6,21.0,150.0,0.948143,8.5
0.6,21.0,170.0,0.949003,8.8
0.6,21.0,190.0,0.949695,8.2
0.6,21.0,210.0,0.950259,8.5
0.6,21.0,230.0,0.950729,8.4
0.6,21.0,250.0,0.951125,8.4
0.6,21.0,270.0,0.951464,8.8
0.6,21.0,290.0,0.951756,8.4
0.6,21.0,310.0,0.952012,8.3
0.6,21.0,330.0,0.952236,8.7
0.6,21.0,350.0,0.952436,8.5
0.6,23.0,50.0,0.940735,8.5
0.6,23.0,70.0,0.943312,8.5
0.6,23.0,90.0,0.945223,8.4
0.6,23.0,110.0,0.946738,8.6
0.6,23.0,130.0,0.947923,8.4
0.6,23.0,150.0,0.948857,8.5
0.6,23.0,170.0,0.949602,8.6
0.6,23.0,190.0,0.950199,8.4
0.6,23.0,210.0,0.950694,8.4
0.6,23.0,230.0,0.951108,8.4
0.6,23.0,250.0,0.95146,8.6
0.6,23.0,270.0,0.951763,8.5
0.6,23.0,290.0,0.952026,8.4
0.6,23.0,310.0,0.952256,8.6
0.6,23.0,330.0,0.952459,8.4
0.6,23.0,350.0,0.95264,8.3
0.6,25.0,50.0,0.943095,8.4
0.6,25.0,70.0,0.945008,8.4
0.6,25.0,90.0,0.946448,8.7
0.6,25.0,110.0,0.947673,8.6
0.6,25.0,130.0,0.948661,8.6
0.6,25.0,150.0,0.949463,8.8
0.6,25.0,170.0,0.950106,8.5
0.6,25.0,190.0,0.950634,8.5
0.6,25.0,210.0,0.95107,8.6
0.6,25.0,230.0,0.951439,8.5
0.6,25.0,250.0,0.951755,8.7
0.6,25.0,270.0,0.952027,8.7
0.6,25.0,290.0,0.952265,8.8
0.6,25.0,310.0,0.952474,8.7
0.6,25.0,330.0,0.952659,8.5
0.6,25.0,350.0,0.952825,8.4
0.7,5.0,50.0,0.653482,8.2
0.7,5.0,70.0,0.736658,8.4
0.7,5.0,90.0,0.801419,8.6
0.7,5.0,110.0,0.851254,8.3
0.7,5.0,130.0,0.89038,8.4
0.7,5.0,150.0,0.915369,8.4
0.7,5.0,170.0,0.928675,8.4
0.7,5.0,190.0,0.935788,8.4
0.7,5.0,210.0,0.940005,8.2
0.7,5.0,230.0,0.942771,8.7
0.7,5.0,250.0,0.944722,8.7
0.7,5.0,270.0,0.946173,10.5
0.7,5.0,290.0,0.947292,9.7
0.7,5.0,310.0,0.948181,9.6
0.7,5.0,330.0,0.948904,8.8
0.7,5.0,350.0,0.949503,8.3
0.7,7.0,50.0,0.712853,8.8
0.7,7.0,70.0,0.790413,8.6
0.7,7.0,90.0,0.848564,8.5
0.7,7.0,110.0,0.892044,8.6
0.7,7.0,130.0,0.916753,8.4
0.7,7.0,150.0,0.929452,8.4
0.7,7.0,170.0,0.936193,8.4
0.7,7.0,190.0,0.940241,8.5
0.7,7.0,210.0,0.942932,8.7
0.7,7.0,230.0,0.944848,8.4
0.7,7.0,250.0,0.946278,8.5
0.7,7.0,270.0,0.947385,8.6
0.7,7.0,290.0,0.948266,8.4
0.7,7.0,310.0,0.948982,8.5
0.7,7.0,330.0,0.949576,8.6
0.7,7.0,350.0,0.950076,8.5
0.7,9.0,50.0,0.775932,8.7
0.7,9.0,70.0,0.844589,8.5
0.7,9.0,90.0,0.891943,8.4
0.7,9.0,110.0,0.917506,8.7
0.7,9.0,130.0,0.929862,8.6
0.7,9.0,150.0,0.936392,8.6
0.7,9.0,170.0,0.940363,8.5
0.7,9.0,190.0,0.943024,8.5
0.7,9.0,210.0,0.944928,8.7
0.7,9.0,230.0,0.946352,8.7
0.7,9.0,250.0,0.947455,8.7
0.7,9.0,270.0,0.948333,8.6
0.7,9.0,290.0,0.949048,8.8
0.7,9.0,310.0,0.94964,8.5
0.7,9.0,330.0,0.950138,8.6
0.7,9.0,350.0,0.950563,8.7
0.7,11.0,50.0,0.837725,8.7
0.7,11.0,70.0,0.890237,8.7
0.7,11.0,90.0,0.917488,8.9
0.7,11.0,110.0,0.929863,8.8
0.7,11.0,130.0,0.936372,9.1
0.7,11.0,150.0,0.940357,8.7
0.7,11.0,170.0,0.943037,8.7
0.7,11.0,190.0,0.944956,9.0
0.7,11.0,210.0,0.94639,8.8
0.7,11.0,230.0,0.9475,8.7
0.7,11.0,250.0,0.948383,9.1
0.7,11.0,270.0,0.9491,8.6
0.7,11.0,290.0,0.949694,8.7
0.7,11.0,310.0,0.950192,8.7
0.7,11.0,330.0,0.950617,9.0
0.7,11.0,350.0,0.950982,8.7
0.7,13.0,50.0,0.887885,8.5
0.7,13.0,70.0,0.916627,9.1
0.7,13.0,90.0,0.929275,8.6
0.7,13.0,110.0,0.936045,8.7
0.7,13.0,130.0,0.940177,8.7
0.7,13.0,150.0,0.942946,8.6
0.7,13.0,170.0,0.944918,9.0
0.7,13.0,190.0,0.946386,8.8
0.7,13.0,210.0,0.947516,9.1
0.7,13.0,230.0,0.948412,8.1
0.7,13.0,250.0,0.949137,8.0
0.7,13.0,270.0,0.949735,7.9
0.7,13.0,290.0,0.950236,8.0
0.7,13.0,310.0,0.950662,7.9
0.7,13.0,330.0,0.951029,8.2
0.7,13.0,350.0,0.951347,8.0
0.7,15.0,50.0,0.915329,8.0
0.7,15.0,70.0,0.92818,8.1
0.7,15.0,90.0,0.935279,8.5
0.7,15.0,110.0,0.939749,7.9
0.7,15.0,130.0,0.942711,7.9
0.7,15.0,150.0,0.94479,8.0
0.7,15.0,170.0,0.946322,8.3
0.7,15.0,190.0,0.947492,8.1
0.7,15.0,210.0,0.948412,8.4
0.7,15.0,230.0,0.949153,8.2
0.7,15.0,250.0,0.949761,8.0
0.7,15.0,270.0,0.950269,8.0
0.7,15.0,290.0,0.950699,7.9
0.7,15.0,310.0,0.951068,7.9
0.7,15.0,330.0,0.951388,8.3
0.7,15.0,350.0,0.951668,8.0
0.7,17.0,50.0,0.926853,8.1
0.7,17.0,70.0,0.934274,8.2
0.7,17.0,90.0,0.939036,7.9
0.7,17.0,110.0,0.94227,8.0
0.7,17.0,130.0,0.944539,8.0
0.7,17.0,150.0,0.946177,8.0
0.7,17.0,170.0,0.947411,8.3
0.7,17.0,190.0,0.948373,7.9
0.7,17.0,210.0,0.949141,8.1
0.7,17.0,230.0,0.949767,8.2
0.7,17.0,250.0,0.950287,8.0
0.7,17.0,270.0,0.950725,8.1
0.7,17.0,290.0,0.951099,8.0
0.7,17.0,310.0,0.951422,8.0
0.7,17.0,330.0,0.951704,8.1
0.7,17.0,350.0,0.951952,8.2
0.7,19.0,50.0,0.933215,7.9
0.7,19.0,70.0,0.938247,8.1
0.7,19.0,90.0,0.941689,8.0
0.7,19.0,110.0,0.944138,7.9
0.7,19.0,130.0,0.945927,8.0
0.7,19.0,150.0,0.947261,8.1
0.7,19.0,170.0,0.948284,8.0
0.7,19.0,190.0,0.949092,8.1
0.7,19.0,210.0,0.949745,8.1
0.7,19.0,230.0,0.950284,8.0
0.7,19.0,250.0,0.950735,8.1
0.7,19.0,270.0,0.951118,7.9
0.7,19.0,290.0,0.951448,8.1
0.7,19.0,310.0,0.951734,8.0
0.7,19.0,330.0,0.951984,7.9
0.7,19.0,350.0,0.952206,8.2
0.7,21.0,50.0,0.937554,8.0
0.7,21.0,70.0,0.941113,8.0
0.7,21.0,90.0,0.943676,8.2
0.7,21.0,110.0,0.945578,8.0
0.7,21.0,130.0,0.947024,8.0
0.7,21.0,150.0,0.948136,7.9
0.7,21.0,170.0,0.948998,8.0
0.7,21.0,190.0,0.94969,8.2
0.7,21.0,210.0,0.950255,8.0
0.7,21.0,230.0,0.950725,8.0
0.7,21.0,250.0,0.951121,8.2
0.7,21.0,270.0,0.95146,8.0
0.7,21.0,290.0,0.951753,7.9
0.7,21.0,310.0,0.952009,8.0
0.7,21.0,330.0,0.952234,7.9
0.7,21.0,350.0,0.952433,8.2
0.7,23.0,50.0,0.940718,8.1
0.7,23.0,70.0,0.9433,7.9
0.7,23.0,90.0,0.945213,8.6
0.7,23.0,110.0,0.94673,8.0
0.7,23.0,130.0,0.947917,8.0
0.7,23.0,150.0,0.948851,8.1
0.7,23.0,170.0,0.949597,8.0
0.7,23.0,190.0,0.950195,8.4
0.7,23.0,210.0,0.95069,8.1
0.7,23.0,230.0,0.951105,8.0
0.7,23.0,250.0,0.951457,8.4
0.7,23.0,270.0,0.95176,8.1
0.7,23.0,290.0,0.952023,8.0
0.7,23.0,310.0,0.952253,8.0
0.7,23.0,330.0,0.952457,8.0
0.7,23.0,350.0,0.952638,8.1
0.7,25.0,50.0,0.943083,8.1
0.7,25.0,70.0,0.944998,8.1
0.7,25.0,90.0,0.94644,8.3
0.7,25.0,110.0,0.947666,8.0
0.7,25.0,130.0,0.948656,8.0
0.7,25.0,150.0,0.949458,8.0
0.7,25.0,170.0,0.950101,8.0
0.7,25.0,190.0,0.95063,8.2
0.7,25.0,210.0,0.951067,8.1
0.7,25.0,230.0,0.951436,8.0
0.7,25.0,250.0,0.951752,8.2
0.7,25.0,270.0,0.952025,8.2
0.7,25.0,290.0,0.952262,7.9
0.7,25.0,310.0,0.952472,8.0
0.7,25.0,330.0,0.952657,8.0
0.7,25.0,350.0,0.952823,7.9
0.8,5.0,50.0,0.652875,8.1
0.8,5.0,70.0,0.735879,7.8
0.8,5.0,90.0,0.800578,7.9
0.8,5.0,110.0,0.850446,8.0
0.8,5.0,130.0,0.889684,7.8
0.8,5.0,150.0,0.914986,7.7
0.8,5.0,170.0,0.928508,7.8
0.8,5.0,190.0,0.935713,7.8
0.8,5.0,210.0,0.939965,8.0
0.8,5.0,230.0,0.942746,7.9
0.8,5.0,250.0,0.944705,7.8
0.8,5.0,270.0,0.946159,7.9
0.8,5.0,290.0,0.947282,7.8
0.8,5.0,310.0,0.948173,7.7
0.8,5.0,330.0,0.948897,7.8
0.8,5.0,350.0,0.949497,7.8
0.8,7.0,50.0,0.712034,8.0
0.8,7.0,70.0,0.789527,7.9
0.8,7.0,90.0,0.847697,7.8
0.8,7.0,110.0,0.891391,7.9
0.8,7.0,130.0,0.916419,8.1
0.8,7.0,150.0,0.929311,7.7
0.8,7.0,170.0,0.936128,7.8
0.8,7.0,190.0,0.940207,7.9
0.8,7.0,210.0,0.94291,7.8
0.8,7.0,230.0,0.944832,8.0
0.8,7.0,250.0,0.946266,7.7
0.8,7.0,270.0,0.947375,7.7
0.8,7.0,290.0,0.948258,8.0
0.8,7.0,310.0,0.948975,7.8
0.8,7.0,330.0,0.94957,7.9
0.8,7.0,350.0,0.950071,7.8
0.8,9.0,50.0,0.774961,7.7
0.8,9.0,70.0,0.843722,7.9
0.8,9.0,90.0,0.891329,7.9
0.8,9.0,110.0,0.91721,7.8
0.8,9.0,130.0,0.929743,7.9
0.8,9.0,150.0,0.936336,7.8
0.8,9.0,170.0,0.940332,7.7
0.8,9.0,190.0,0.943004,7.8
0.8,9.0,210.0,0.944913,7.8
0.8,9.0,230.0,0.946341,7.8
0.8,9.0,250.0,0.947446,8.1
0.8,9.0,270.0,0.948326,7.8
0.8,9.0,290.0,0.949041,7.9
0.8,9.0,310.0,0.949634,8.0
0.8,9.0,330.0,0.950133,7.8
0.8,9.0,350.0,0.950559,7.7
0.8,11.0,50.0,0.83685,7.8
0.8,11.0,70.0,0.88964,7.8
0.8,11.0,90.0,0.917233,8.1
0.8,11.0,110.0,0.929766,7.9
0.8,11.0,130.0,0.936324,7.8
0.8,11.0,150.0,0.94033,7.8
0.8,11.0,170.0,0.943019,7.9
0.8,11.0,190.0,0.944942,7.7
0.8,11.0,210.0,0.946379,7.8
0.8,11.0,230.0,0.947492,7.8
0.8,11.0,250.0,0.948376,7.9
0.8,11.0,270.0,0.949094,8.0
0.8,11.0,290.0,0.949688,7.8
0.8,11.0,310.0,0.950188,7.8
0.8,11.0,330.0,0.950613,8.1
0.8,11.0,350.0,0.950978,7.9
0.8,13.0,50.0,0.887301,7.8
0.8,13.0,70.0,0.916418,7.7
0.8,13.0,90.0,0.929198,7.9
0.8,13.0,110.0,0.936005,8.1
0.8,13.0,130.0,0.940152,7.9
0.8,13.0,150.0,0.94293,7.8
0.8,13.0,170.0,0.944906,8.0
0.8,13.0,190.0,0.946376,7.8
0.8,13.0,210.0,0.947508,7.7
0.8,13.0,230.0,0.948405,7.7
0.8,13.0,250.0,0.949131,7.8
0.8,13.0,270.0,0.94973,7.9
0.8,13.0,290.0,0.950232,7.9
0.8,13.0,310.0,0.950658,7.9
0.8,13.0,330.0,0.951025,7.8
0.8,13.0,350.0,0.951343,7.8
0.8,15.0,50.0,0.915164,7.8
0.8,15.0,70.0,0.928123,7.7
0.8,15.0,90.0,0.935246,7.8
0.8,15.0,110.0,0.939726,7.7
0.8,15.0,130.0,0.942696,8.0
0.8,15.0,150.0,0.944778,7.8
0.8,15.0,170.0,0.946312,7.9
0.8,15.0,190.0,0.947484,8.0
0.8,15.0,210.0,0.948405,7.8
0.8,15.0,230.0,0.949147,7.8
0.8,15.0,250.0,0.949756,7.7
0.8,15.0,270.0,0.950265,7.8
0.8,15.0,290.0,0.950696,8.1
0.8,15.0,310.0,0.951065,7.8
0.8,15.0,330.0,0.951385,7.9
0.8,15.0,350.0,0.951665,8.0
0.8,17.0,50.0,0.926813,7.9
0.8,17.0,70.0,0.934245,8.1
0.8,17.0,90.0,0.939015,7.8
0.8,17.0,110.0,0.942255,7.9
0.8,17.0,130.0,0.944528,8.0
0.8,17.0,150.0,0.946168,7.8
0.8,17.0,170.0,0.947404,7.8
0.8,17.0,190.0,0.948366,7.8
0.8,17.0,210.0,0.949135,8.0
0.8,17.0,230.0,0.949762,8.0
0.8,17.0,250.0,0.950283,7.8
0.8,17.0,270.0,0.950721,7.7
0.8,17.0,290.0,0.951096,7.9
0.8,17.0,310.0,0.951419,8.0
0.8,17.0,330.0,0.951701,7.8
0.8,17.0,350.0,0.95195,7.7
0.8,19.0,50.0,0.933189,8.1
0.8,19.0,70.0,0.938227,7.8
0.8,19.0,90.0,0.941674,7.8
0.8,19.0,110.0,0.944126,7.9
0.8,19.0,130.0,0.945918,7.8
0.8,19.0,150.0,0.947253,7.9
0.8,19.0,170.0,0.948277,7.8
0.8,19.0,190.0,0.949086,8.6
0.8,19.0,210.0,0.949741,8.3
0.8,19.0,230.0,0.95028,8.1
0.8,19.0,250.0,0.950732,7.9
0.8,19.0,270.0,0.951115,8.0
0.8,19.0,290.0,0.951445,8.0
0.8,19.0,310.0,0.951731,8.1
0.8,19.0,330.0,0.951982,8.1
0.8,19.0,350.0,0.952204,7.9
0.8,21.0,50.0,0.937533,8.0
0.8,21.0,70.0,0.941098,8.0
0.8,21.0,90.0,0.943664,8.0
0.8,21.0,110.0,0.945569,7.9
0.8,21.0,130.0,0.947016,8.0
0.8,21.0,150.0,0.94813,7.9
0.8,21.0,170.0,0.948992,8.2
0.8,21.0,190.0,0.949685,7.9
0.8,21.0,210.0,0.950251,7.8
0.8,21.0,230.0,0.950721,8.2
0.8,21.0,250.0,0.951118,8.0
0.8,21.0,270.0,0.951457,7.9
0.8,21.0,290.0,0.951751,7.9
0.8,21.0,310.0,0.952006,7.9
0.8,21.0,330.0,0.952232,8.2
0.8,21.0,350.0,0.952431,7.9
0.8,23.0,50.0,0.940702,7.9
0.8,23.0,70.0,0.943288,8.2
0.8,23.0,90.0,0.945205,7.9
0.8,23.0,110.0,0.946722,8.0
0.8,23.0,130.0,0.947911,7.9
0.8,23.0,150.0,0.948846,7.9
0.8,23.0,170.0,0.949592,8.1
0.8,23.0,190.0,0.950191,8.0
0.8,23.0,210.0,0.950687,7.9
0.8,23.0,230.0,0.951102,8.0
0.8,23.0,250.0,0.951454,8.0
0.8,23.0,270.0,0.951757,7.9
0.8,23.0,290.0,0.952021,7.9
0.8,23.0,310.0,0.952251,7.9
0.8,23.0,330.0,0.952455,8.1
0.8,23.0,350.0,0.952636,8.1
0.8,25.0,50.0,0.943071,8.0
0.8,25.0,70.0,0.94499,8.2
0.8,25.0,90.0,0.946433,8.2
0.8,25.0,110.0,0.947661,8.0
0.8,25.0,130.0,0.94865,8.0
0.8,25.0,150.0,0.949454,8.0
0.8,25.0,170.0,0.950098,8.0
0.8,25.0,190.0,0.950627,8.3
0.8,25.0,210.0,0.951064,8.3
0.8,25.0,230.0,0.951433,8.0
0.8,25.0,250.0,0.951749,8.3
0.8,25.0,270.0,0.952022,8.0
0.8,25.0,290.0,0.95226,8.1
0.8,25.0,310.0,0.95247,8.2
0.8,25.0,330.0,0.952655,8.1
0.8,25.0,350.0,0.952821,9.1
0.9,5.0,50.0,0.65231,9.0
0.9,5.0,70.0,0.735215,9.4
0.9,5.0,90.0,0.799871,8.5
0.9,5.0,110.0,0.849734,8.2
0.9,5.0,130.0,0.889028,8.2
0.9,5.0,150.0,0.914602,8.0
0.9,5.0,170.0,0.928309,8.1
0.9,5.0,190.0,0.935594,8.2
0.9,5.0,210.0,0.939881,8.0
0.9,5.0,230.0,0.942677,8.0
0.9,5.0,250.0,0.944643,8.2
0.9,5.0,270.0,0.946102,8.0
0.9,5.0,290.0,0.947226,8.5
0.9,5.0,310.0,0.94812,8.2
0.9,5.0,330.0,0.948845,8.2
0.9,5.0,350.0,0.949446,8.2
0.9,7.0,50.0,0.711339,8.1
0.9,7.0,70.0,0.788794,8.0
0.9,7.0,90.0,0.846955,8.2
0.9,7.0,110.0,0.890791,8.1
0.9,7.0,130.0,0.916078,8.1
0.9,7.0,150.0,0.929138,8.2
0.9,7.0,170.0,0.936022,8.3
0.9,7.0,190.0,0.940128,8.3
0.9,7.0,210.0,0.942844,8.0
0.9,7.0,230.0,0.944772,8.0
0.9,7.0,250.0,0.94621,8.4
0.9,7.0,270.0,0.947321,8.2
0.9,7.0,290.0,0.948205,8.0
0.9,7.0,310.0,0.948924,8.1
0.9,7.0,330.0,0.94952,8.0
0.9,7.0,350.0,0.950022,8.4
0.9,9.0,50.0,0.774177,8.1
0.9,9.0,70.0,0.842971,8.0
0.9,9.0,90.0,0.890763,8.4
0.9,9.0,110.0,0.916906,8.1
0.9,9.0,130.0,0.929593,8.2
0.9,9.0,150.0,0.93624,8.2
0.9,9.0,170.0,0.940258,8.1
0.9,9.0,190.0,0.942941,8.5
0.9,9.0,210.0,0.944855,8.2
0.9,9.0,230.0,0.946285,8.2
0.9,9.0,250.0,0.947393,8.5
0.9,9.0,270.0,0.948274,8.2
0.9,9.0,290.0,0.948991,8.4
0.9,9.0,310.0,0.949585,8.2
0.9,9.0,330.0,0.950084,8.1
0.9,9.0,350.0,0.95051,8.5
0.9,11.0,50.0,0.836095,8.2
0.9,11.0,70.0,0.889093,8.2
0.9,11.0,90.0,0.916967,8.3
0.9,11.0,110.0,0.929636,8.3
0.9,11.0,130.0,0.936237,8.1
0.9,11.0,150.0,0.94026,8.1
0.9,11.0,170.0,0.942959,8.2
0.9,11.0,190.0,0.944886,8.5
0.9,11.0,210.0,0.946326,8.1
0.9,11.0,230.0,0.94744,8.2
0.9,11.0,250.0,0.948325,8.6
0.9,11.0,270.0,0.949044,8.3
0.9,11.0,290.0,0.949639,8.2
0.9,11.0,310.0,0.950139,8.1
0.9,11.0,330.0,0.950564,8.3
0.9,11.0,350.0,0.95093,8.5
0.9,13.0,50.0,0.886774,8.2
0.9,13.0,70.0,0.916197,8.4
0.9,13.0,90.0,0.92909,8.5
0.9,13.0,110.0,0.935927,8.3
0.9,13.0,130.0,0.940087,8.3
0.9,13.0,150.0,0.942872,8.5
0.9,13.0,170.0,0.944851,8.1
0.9,13.0,190.0,0.946323,7.8
0.9,13.0,210.0,0.947457,7.7
0.9,13.0,230.0,0.948355,7.9
0.9,13.0,250.0,0.949082,7.8
0.9,13.0,270.0,0.949681,7.7
0.9,13.0,290.0,0.950184,7.7
0.9,13.0,310.0,0.950611,7.7
0.9,13.0,330.0,0.950978,7.8
0.9,13.0,350.0,0.951296,7.9
0.9,15.0,50.0,0.91499,7.7
0.9,15.0,70.0,0.928036,7.7
0.9,15.0,90.0,0.935176,7.8
0.9,15.0,110.0,0.939664,7.7
0.9,15.0,130.0,0.94264,7.6
0.9,15.0,150.0,0.944725,7.7
0.9,15.0,170.0,0.946261,7.6
0.9,15.0,190.0,0.947434,7.7
0.9,15.0,210.0,0.948356,7.8
0.9,15.0,230.0,0.949098,7.8
0.9,15.0,250.0,0.949708,7.7
0.9,15.0,270.0,0.950217,7.9
0.9,15.0,290.0,0.950648,7.7
0.9,15.0,310.0,0.951018,7.7
0.9,15.0,330.0,0.951338,7.6
0.9,15.0,350.0,0.951618,7.7
0.9,17.0,50.0,0.926746,8.0
0.9,17.0,70.0,0.934184,7.7
0.9,17.0,90.0,0.938957,7.7
0.9,17.0,110.0,0.9422,7.8
0.9,17.0,130.0,0.944476,7.7
0.9,17.0,150.0,0.946117,7.7
0.9,17.0,170.0,0.947354,7.7
0.9,17.0,190.0,0.948318,9.2
0.9,17.0,210.0,0.949087,8.8
0.9,17.0,230.0,0.949714,8.9
0.9,17.0,250.0,0.950235,7.9
0.9,17.0,270.0,0.950674,7.9
0.9,17.0,290.0,0.951049,7.7
0.9,17.0,310.0,0.951373,7.7
0.9,17.0,330.0,0.951655,7.7
0.9,17.0,350.0,0.951903,7.7
0.9,19.0,50.0,0.933134,7.7
0.9,19.0,70.0,0.938173,7.8
0.9,19.0,90.0,0.941622,7.7
0.9,19.0,110.0,0.944076,7.7
0.9,19.0,130.0,0.945869,7.9
0.9,19.0,150.0,0.947205,7.6
0.9,19.0,170.0,0.94823,7.7
0.9,19.0,190.0,0.949039,7.8
0.9,19.0,210.0,0.949693,7.7
0.9,19.0,230.0,0.950233,8.0
0.9,19.0,250.0,0.950685,7.7
0.9,19.0,270.0,0.951069,7.6
0.9,19.0,290.0,0.951398,7.8
0.9,19.0,310.0,0.951685,7.7
0.9,19.0,330.0,0.951936,7.7
0.9,19.0,350.0,0.952158,7.6
0.9,21.0,50.0,0.937481,7.7
0.9,21.0,70.0,0.941048,7.8
0.9,21.0,90.0,0.943615,7.7
0.9,21.0,110.0,0.945521,7.7
0.9,21.0,130.0,0.946969,7.7
0.9,21.0,150.0,0.948083,7.9
0.9,21.0,170.0,0.948946,7.7
0.9,21.0,190.0,0.949639,7.8
0.9,21.0,210.0,0.950204,8.4
0.9,21.0,230.0,0.950675,8.6
0.9,21.0,250.0,0.951072,8.8
0.9,21.0,270.0,0.951411,8.6
0.9,21.0,290.0,0.951705,8.5
0.9,21.0,310.0,0.951961,8.9
0.9,21.0,330.0,0.952186,8.6
0.9,21.0,350.0,0.952386,8.6
0.9,23.0,50.0,0.940654,8.6
0.9,23.0,70.0,0.943242,8.7
0.9,23.0,90.0,0.945158,8.7
0.9,23.0,110.0,0.946676,8.9
0.9,23.0,130.0,0.947864,9.0
0.9,23.0,150.0,0.9488,8.7
0.9,23.0,170.0,0.949547,8.7
0.9,23.0,190.0,0.950145,8.6
0.9,23.0,210.0,0.950641,8.7
0.9,23.0,230.0,0.951056,9.1
0.9,23.0,250.0,0.951409,8.6
0.9,23.0,270.0,0.951712,8.8
0.9,23.0,290.0,0.951975,8.8
0.9,23.0,310.0,0.952206,8.6
0.9,23.0,330.0,0.952409,8.6
0.9,23.0,350.0,0.952591,8.5
0.9,25.0,50.0,0.943027,8.7
0.9,25.0,70.0,0.944946,8.6
0.9,25.0,90.0,0.946389,9.1
0.9,25.0,110.0,0.947615,9.7
0.9,25.0,130.0,0.948605,7.7
0.9,25.0,150.0,0.949408,7.6
0.9,25.0,170.0,0.950052,7.9
0.9,25.0,190.0,0.950581,8.3
0.9,25.0,210.0,0.951019,7.9
0.9,25.0,230.0,0.951388,7.8
0.9,25.0,250.0,0.951704,7.8
0.9,25.0,270.0,0.951977,7.6
0.9,25.0,290.0,0.952215,8.0
0.9,25.0,310.0,0.952424,7.7
0.9,25.0,330.0,0.95261,7.7
0.9,25.0,350.0,0.952776,7.6
1.0,5.0,50.0,0.652077,7.4
1.0,5.0,70.0,0.73496,7.8
1.0,5.0,90.0,0.799615,7.6
1.0,5.0,110.0,0.849485,7.7
1.0,5.0,130.0,0.888822,7.8
1.0,5.0,150.0,0.914606,7.7
1.0,5.0,170.0,0.928441,7.6
1.0,5.0,190.0,0.935773,7.6
1.0,5.0,210.0,0.940076,8.2
1.0,5.0,230.0,0.94288,7.8
1.0,5.0,250.0,0.944849,7.7
1.0,5.0,270.0,0.946309,7.5
1.0,5.0,290.0,0.947434,7.5
1.0,5.0,310.0,0.948328,7.8
1.0,5.0,330.0,0.949053,7.5
1.0,5.0,350.0,0.949654,7.4
1.0,7.0,50.0,0.711037,7.6
1.0,7.0,70.0,0.788504,7.6
1.0,7.0,90.0,0.846673,7.7
1.0,7.0,110.0,0.890623,7.6
1.0,7.0,130.0,0.916105,7.5
1.0,7.0,150.0,0.92928,7.5
1.0,7.0,170.0,0.936202,7.7
1.0,7.0,190.0,0.940322,7.6
1.0,7.0,210.0,0.943045,7.5
1.0,7.0,230.0,0.944976,7.5
1.0,7.0,250.0,0.946415,7.5
1.0,7.0,270.0,0.947527,7.8
1.0,7.0,290.0,0.948412,7.5
1.0,7.0,310.0,0.949131,7.5
1.0,7.0,330.0,0.949727,7.6
1.0,7.0,350.0,0.950229,7.7
1.0,9.0,50.0,0.773835,7.5
1.0,9.0,70.0,0.842665,7.7
1.0,9.0,90.0,0.890612,7.5
1.0,9.0,110.0,0.916951,7.6
1.0,9.0,130.0,0.929742,7.7
1.0,9.0,150.0,0.936421,7.5
1.0,9.0,170.0,0.940451,7.5
1.0,9.0,190.0,0.943141,7.8
1.0,9.0,210.0,0.945057,7.5
1.0,9.0,230.0,0.946489,8.2
1.0,9.0,250.0,0.947597,7.8
1.0,9.0,270.0,0.948479,7.7
1.0,9.0,290.0,0.949196,7.7
1.0,9.0,310.0,0.94979,7.6
1.0,9.0,330.0,0.95029,7.5
1.0,9.0,350.0,0.950716,7.7
1.0,11.0,50.0,0.835768,7.7
1.0,11.0,70.0,0.888945,7.6
1.0,11.0,90.0,0.917029,7.5
1.0,11.0,110.0,0.92979,7.6
1.0,11.0,130.0,0.936417,7.5
1.0,11.0,150.0,0.940451,7.8
1.0,11.0,170.0,0.943155,7.6
1.0,11.0,190.0,0.945085,7.5
1.0,11.0,210.0,0.946527,7.7
1.0,11.0,230.0,0.947642,7.6
1.0,11.0,250.0,0.948528,7.5
1.0,11.0,270.0,0.949248,7.5
1.0,11.0,290.0,0.949843,7.5
1.0,11.0,310.0,0.950344,7.6
1.0,11.0,330.0,0.950769,7.6
1.0,11.0,350.0,0.951136,7.6
1.0,13.0,50.0,0.886623,7.6
1.0,13.0,70.0,0.916274,7.9
1.0,13.0,90.0,0.929245,7.5
1.0,13.0,110.0,0.936104,7.6
1.0,13.0,130.0,0.940274,7.6
1.0,13.0,150.0,0.943065,7.4
1.0,13.0,170.0,0.945048,7.7
1.0,13.0,190.0,0.946522,7.6
1.0,13.0,210.0,0.947657,7.5
1.0,13.0,230.0,0.948556,7.7
1.0,13.0,250.0,0.949284,7.7
1.0,13.0,270.0,0.949884,7.8
1.0,13.0,290.0,0.950387,7.6
1.0,13.0,310.0,0.950815,7.6
1.0,13.0,330.0,0.951182,7.6
1.0,13.0,350.0,0.951501,7.7
1.0,15.0,50.0,0.915077,7.5
1.0,15.0,70.0,0.92819,7.6
1.0,15.0,90.0,0.935349,7.6
1.0,15.0,110.0,0.939847,7.6
1.0,15.0,130.0,0.942829,7.5
1.0,15.0,150.0,0.944918,7.5
1.0,15.0,170.0,0.946457,7.5
1.0,15.0,190.0,0.947632,7.7
1.0,15.0,210.0,0.948555,7.6
1.0,15.0,230.0,0.949299,7.7
