排量_m3min,屈服应力_Pa,黏度_mPas,全井有效顶替效率,耗时_s
0.3,21.0,110.0,0.945616,10.9
0.3,21.0,130.0,0.947055,10.9
0.3,21.0,150.0,0.948162,10.8
0.3,21.0,170.0,0.94902,11.2
0.3,21.0,190.0,0.949709,11.7
0.3,21.0,210.0,0.950272,11.0
0.3,21.0,230.0,0.95074,10.9
0.3,21.0,250.0,0.951135,11.1
0.3,21.0,270.0,0.951473,10.9
0.3,21.0,290.0,0.951765,11.2
0.3,21.0,310.0,0.95202,10.1
0.3,21.0,330.0,0.952244,10.1
0.3,21.0,350.0,0.952443,10.1
0.3,23.0,50.0,0.940783,10.0
0.3,23.0,70.0,0.943347,10.0
0.3,23.0,90.0,0.945251,10.4
0.3,23.0,110.0,0.94676,10.2
0.3,23.0,130.0,0.947942,11.5
0.3,23.0,150.0,0.948873,10.3
0.3,23.0,170.0,0.949616,10.1
0.3,23.0,190.0,0.950212,10.1
0.3,23.0,210.0,0.950705,10.5
0.3,23.0,230.0,0.951119,10.1
0.3,23.0,250.0,0.951469,10.3
0.3,23.0,270.0,0.951771,10.1
0.3,23.0,290.0,0.952033,10.1
0.3,23.0,310.0,0.952263,10.0
0.3,23.0,330.0,0.952466,10.0
0.3,23.0,350.0,0.952646,10.2
0.3,25.0,50.0,0.94313,10.0
0.3,25.0,70.0,0.945035,10.2
0.3,25.0,90.0,0.94647,10.0
0.3,25.0,110.0,0.947692,10.1
0.3,25.0,130.0,0.948677,10.1
0.3,25.0,150.0,0.949477,12.6
0.3,25.0,170.0,0.950118,14.2
0.3,25.0,190.0,0.950645,13.7
0.3,25.0,210.0,0.95108,10.4
0.3,25.0,230.0,0.951449,10.0
0.3,25.0,250.0,0.951763,9.8
0.3,25.0,270.0,0.952035,10.0
0.3,25.0,290.0,0.952272,9.9
0.3,25.0,310.0,0.952481,10.1
0.3,25.0,330.0,0.952665,9.8
0.3,25.0,350.0,0.95283,9.9
0.4,5.0,50.0,0.655918,9.1
0.4,5.0,70.0,0.739624,9.1
0.4,5.0,90.0,0.804603,9.3
0.4,5.0,110.0,0.854237,9.0
0.4,5.0,130.0,0.89268,9.3
0.4,5.0,150.0,0.91654,9.0
0.4,5.0,170.0,0.929172,9.1
0.4,5.0,190.0,0.936022,8.9
0.4,5.0,210.0,0.940137,9.0
0.4,5.0,230.0,0.942857,9.3
0.4,5.0,250.0,0.944783,9.0
0.4,5.0,270.0,0.946219,9.2
0.4,5.0,290.0,0.947328,9.0
0.4,5.0,310.0,0.948211,9.1
0.4,5.0,330.0,0.948929,8.9
0.4,5.0,350.0,0.949524,9.0
0.4,7.0,50.0,0.71596,9.2
0.4,7.0,70.0,0.793848,9.0
0.4,7.0,90.0,0.85184,9.2
0.4,7.0,110.0,0.894226,9.2
0.4,7.0,130.0,0.917781,8.9
0.4,7.0,150.0,0.929871,9.0
0.4,7.0,170.0,0.936391,8.9
0.4,7.0,190.0,0.940356,9.1
0.4,7.0,210.0,0.943009,9.3
0.4,7.0,230.0,0.944903,9.0
0.4,7.0,250.0,0.946321,9.2
0.4,7.0,270.0,0.947419,9.1
0.4,7.0,290.0,0.948294,9.0
0.4,7.0,310.0,0.949006,8.9
0.4,7.0,330.0,0.949596,9.0
0.4,7.0,350.0,0.950094,9.7
0.4,9.0,50.0,0.77976,9.2
0.4,9.0,70.0,0.847874,9.2
0.4,9.0,90.0,0.89399,9.1
0.4,9.0,110.0,0.918414,9.0
0.4,9.0,130.0,0.930217,9.1
0.4,9.0,150.0,0.936561,10.1
0.4,9.0,170.0,0.940464,11.2
0.4,9.0,190.0,0.943093,10.1
0.4,9.0,210.0,0.944979,9.3
0.4,9.0,230.0,0.946391,9.0
0.4,9.0,250.0,0.947487,9.1
0.4,9.0,270.0,0.94836,9.0
0.4,9.0,290.0,0.94907,9.1
0.4,9.0,310.0,0.949659,9.4
0.4,9.0,330.0,0.950155,9.0
0.4,9.0,350.0,0.950578,9.2
0.4,11.0,50.0,0.841102,9.0
0.4,11.0,70.0,0.892203,9.1
0.4,11.0,90.0,0.918266,8.9
0.4,11.0,110.0,0.93016,9.1
0.4,11.0,130.0,0.936517,9.4
0.4,11.0,150.0,0.940446,9.0
0.4,11.0,170.0,0.9431,9.3
0.4,11.0,190.0,0.945003,8.9
0.4,11.0,210.0,0.946427,9.3
0.4,11.0,230.0,0.947531,9.6
0.4,11.0,250.0,0.948408,9.2
0.4,11.0,270.0,0.949122,9.3
0.4,11.0,290.0,0.949712,9.0
0.4,11.0,310.0,0.950209,9.2
0.4,11.0,330.0,0.950631,9.1
0.4,11.0,350.0,0.950995,8.9
0.4,13.0,50.0,0.889769,10.5
0.4,13.0,70.0,0.917254,9.5
0.4,13.0,90.0,0.929512,9.3
0.4,13.0,110.0,0.936171,9.2
0.4,13.0,130.0,0.940256,9.2
0.4,13.0,150.0,0.943004,9.2
0.4,13.0,170.0,0.944963,9.0
0.4,13.0,190.0,0.946421,9.4
0.4,13.0,210.0,0.947545,9.1
0.4,13.0,230.0,0.948436,9.3
0.4,13.0,250.0,0.949158,9.3
0.4,13.0,270.0,0.949753,9.2
0.4,13.0,290.0,0.950252,9.2
0.4,13.0,310.0,0.950677,9.4
0.4,13.0,330.0,0.951041,9.2
0.4,13.0,350.0,0.951358,9.0
0.4,15.0,50.0,0.915809,9.2
0.4,15.0,70.0,0.928358,9.3
0.4,15.0,90.0,0.935388,9.2
0.4,15.0,110.0,0.939823,9.3
0.4,15.0,130.0,0.942765,9.1
0.4,15.0,150.0,0.944832,9.0
0.4,15.0,170.0,0.946356,9.1
0.4,15.0,190.0,0.94752,9.1
0.4,15.0,210.0,0.948435,9.3
0.4,15.0,230.0,0.949173,9.2
0.4,15.0,250.0,0.949779,9.2
0.4,15.0,270.0,0.950285,9.3
0.4,15.0,290.0,0.950713,9.1
0.4,15.0,310.0,0.951081,9.1
0.4,15.0,330.0,0.951399,9.2
0.4,15.0,350.0,0.951678,9.3
0.4,17.0,50.0,0.92698,9.1
0.4,17.0,70.0,0.934368,9.5
0.4,17.0,90.0,0.939108,9.1
0.4,17.0,110.0,0.942323,9.2
0.4,17.0,130.0,0.944579,9.6
0.4,17.0,150.0,0.946209,9.0
0.4,17.0,170.0,0.947438,9.4
0.4,17.0,190.0,0.948396,9.2
0.4,17.0,210.0,0.94916,9.4
0.4,17.0,230.0,0.949784,9.1
0.4,17.0,250.0,0.950302,9.1
0.4,17.0,270.0,0.950738,9.1
0.4,17.0,290.0,0.951111,9.0
0.4,17.0,310.0,0.951433,9.3
0.4,17.0,330.0,0.951714,9.1
0.4,17.0,350.0,0.951961,9.2
0.4,19.0,50.0,0.933303,9.0
0.4,19.0,70.0,0.938317,9.1
0.4,19.0,90.0,0.941742,8.9
0.4,19.0,110.0,0.944178,9.1
0.4,19.0,130.0,0.945959,9.5
0.4,19.0,150.0,0.947287,9.2
0.4,19.0,170.0,0.948306,9.2
0.4,19.0,190.0,0.949111,9.2
0.4,19.0,210.0,0.949762,9.0
0.4,19.0,230.0,0.950299,9.2
0.4,19.0,250.0,0.950748,9.0
0.4,19.0,270.0,0.95113,9.2
0.4,19.0,290.0,0.951458,9.4
0.4,19.0,310.0,0.951744,9.2
0.4,19.0,330.0,0.951993,9.3
0.4,19.0,350.0,0.952214,9.4
0.4,21.0,50.0,0.937627,10.8
0.4,21.0,70.0,0.941166,10.4
0.4,21.0,90.0,0.943716,10.2
0.4,21.0,110.0,0.94561,9.1
0.4,21.0,130.0,0.94705,9.3
0.4,21.0,150.0,0.948158,9.0
0.4,21.0,170.0,0.949016,9.1
0.4,21.0,190.0,0.949706,8.9
0.4,21.0,210.0,0.950269,9.1
0.4,21.0,230.0,0.950737,9.3
0.4,21.0,250.0,0.951133,9.1
0.4,21.0,270.0,0.951471,9.0
0.4,21.0,290.0,0.951763,9.1
0.4,21.0,310.0,0.952018,9.1
0.4,21.0,330.0,0.952242,8.9
0.4,21.0,350.0,0.952441,9.4
0.4,23.0,50.0,0.940772,9.8
0.4,23.0,70.0,0.943339,9.3
