井名,变体,η_E,η_N,窜槽,混浆,失稳,浮力数_b,Δη_E_vs_基线,Δη_N_vs_基线,耗时_s
呼探1,i3_localized,0.9527896111480373,0.8209076523935688,0.06024096385540686,0.10895693749020986,0.1657881509811313,1.4196601082918592,5.347357874607717e-06,2.5674527401986502e-05,66.5
呼探1,m2_regime_split,0.9527842637901627,0.8208819778661668,0.06024096385540686,0.10895985326999058,0.16581957350839127,1.4196758968542722,0.0,0.0,163.4
呼探1,dispersion_zero,0.9332249959260136,0.7056942615803645,0.5582329317267707,0.10374219302983233,0.6500697952035759,1.4025904026743303,-0.019559267864149077,-0.11518771628580227,65.3
呼101,i3_localized,0.49335505346939473,0.03139588222579405,0.9799196787144625,0.3500033723720776,1.0,52.73584032311782,0.0014122625389157983,1.749626384615205e-05,73.3
呼101,m2_regime_split,0.4928035833133038,0.0313618235742817,0.9799196787144625,0.3479496006431368,1.0,52.74145051779638,0.000860792382824882,-1.65623876661955e-05,159.5
呼101,dispersion_zero,0.3398771787369753,0.005173736827632226,0.9999999999995948,0.36705216979790817,1.0,54.156642797831445,-0.15206561219350362,-0.026204649134315673,113.6
呼102,i3_localized,0.9718270215426272,0.8060616511171713,0.26907630522058845,0.07933587995093538,0.7447420126622615,2.505971885388398,-1.2187881299752235e-06,-8.290909341512886e-06,116.2
呼102,m2_regime_split,0.9718282403307571,0.8060699420265119,0.26907630522058845,0.07933468845185254,0.7447600756960703,2.505977164114746,-1.1102230246251565e-16,-8.881784197001252e-16,234.7
呼102,dispersion_zero,0.9722687403814839,0.8029242696543548,0.35341365461808627,0.07489104794943978,0.805060501968383,2.506815885296255,0.00044050005072671095,-0.003145672372158015,121.4
呼103,i3_localized,0.9868649770794893,0.9391657759618839,0.0,0.046765602969874934,0.0,9.811152289729048,-1.3587175340390445e-07,-8.335225345490471e-07,82.2
呼103,m2_regime_split,0.9868651129512426,0.9391666094844181,0.0,0.046765210509583176,0.0,9.811154884971351,-1.1102230246251565e-16,-3.3306690738754696e-16,152.1
呼103,dispersion_zero,0.9877051728536099,0.939934007431628,0.0,0.04344874969093286,0.0,9.814029823335062,0.0008400599023672406,0.0007673979472095915,65.8
呼探1-001,i3_localized,0.9901937498325925,0.9763777509620034,0.0,0.0357443878419969,0.0,35.53379182500053,-7.915955803072805e-07,-7.03572741844738e-07,30.3
呼探1-001,m2_regime_split,0.9901945414281728,0.9763784545347454,0.0,0.03574179424771939,0.0,35.534664354772644,0.0,1.1102230246251565e-16,70.2
呼探1-001,dispersion_zero,0.9903425364723228,0.9762854145174155,0.0,0.035224925150320364,0.0,35.530503433697575,0.00014799504415008435,-9.304001732979295e-05,33.9
呼探1-002,i3_localized,0.978014073474999,0.9868738368643981,0.0,0.02143814478179054,0.0,4.251199836439075,4.785606226076489e-06,1.0822261814480427e-06,56.3
呼探1-002,m2_regime_split,0.978009287868773,0.9868727546382167,0.0,0.02144047998313502,0.0,4.251199574144107,0.0,0.0,94.9
呼探1-002,dispersion_zero,0.9787414955184823,0.9875601125722456,0.0,0.02012032799244945,0.0,4.2514635915396966,0.0007322076497093821,0.0006873579340289648,51.1
呼1-003,i3_localized,0.9972649224559369,0.9875522182412149,0.0,0.010541903453459569,0.0,8.803619028756865,-8.635886339369847e-09,-3.860376329711812e-08,29.7
呼1-003,m2_regime_split,0.9972649310918232,0.9875522568449782,0.0,0.010541870852294907,0.0,8.803619621982088,0.0,0.0,84.3
呼1-003,dispersion_zero,0.9972120683074869,0.9870625891439828,0.0,0.010705718759057925,0.0,8.802533515313797,-5.286278433636049e-05,-0.0004896677009953443,35.4
呼1-004,i3_localized,0.9985241857122441,0.9937713165840433,0.0,0.005787402581090495,0.0,4.372184719987476,-3.4927673531193193e-07,-1.7769140489010127e-06,51.3
呼1-004,m2_regime_split,0.9985245349889795,0.9937730934980922,0.0,0.005786078818997244,0.0,4.3721909999908535,1.1102230246251565e-16,0.0,94.7
呼1-004,dispersion_zero,0.9985277913844878,0.9936239850536394,0.0,0.005767739615354986,0.0,4.371952951276251,3.2563955083553253e-06,-0.0001491084444528168,48.0
