well,eta_E_cfl_on,eta_E_fixed_dt,delta_eta_E_pp,eta_N_cfl_on,eta_N_fixed_dt,delta_eta_N_pp,mixing_cfl_on,mixing_fixed_dt,wall_frac_cfl_on,wall_frac_fixed_dt,max_abs_delta_pp,判定
hu101,0.36964176933069803,0.3658072162525176,-0.38,0.01322796572259419,0.012340803912614245,-0.09,0.3513185404862991,0.34358162212581966,0.5081,0.5087,0.7736918360479461,达标(<2pp)
hu102,0.46648073782110466,0.4374767277284139,-2.9,0.11867537925221312,0.024776596268317116,-9.39,0.3193492270973668,0.22042075563922886,0.3189,0.4519,9.892847145813793,超2pp需解释
hu103,0.4267827690750394,0.41789652585528453,-0.89,0.15042306373676537,0.11810627535498065,-3.23,0.26370815483958193,0.2556579868978328,0.4138,0.4383,3.2316788381784716,达标(<2pp)
hu1,0.5580578260045682,0.5555445074920055,-0.25,0.19599399178848695,0.19182750115693076,-0.42,0.3240027186488907,0.32545304776753337,0.2668,0.2677,0.4166490631556191,达标(<2pp)
hu2,0.6170840773037555,0.6284844021908816,1.14,0.5348773248082357,0.5221466474032654,-1.27,0.2657822989074804,0.2715115058844594,0.1574,0.1536,1.2730677404970248,达标(<2pp)
ht1_001,0.5478117224307686,0.5537055408756775,0.59,0.4642407701809874,0.44156456887782747,-2.27,0.28870579968161914,0.2965791938218716,0.2335,0.2319,2.267620130315995,达标(<2pp)
ht1_003,0.6557578211612777,0.6554317254088381,-0.03,0.5589559934816166,0.5393995609225292,-1.96,0.2292681097099106,0.22634879659794066,0.1808,0.1961,1.9556432559087455,达标(<2pp)
ht1_004,0.1413041034694227,0.1562471774116834,1.49,0.06910027300269485,0.06012051561408849,-0.9,0.22408850001785827,0.24181538225130378,0.6136,0.6193,1.7726882233445513,达标(<2pp)
