井深_m,水泥平均浓度,前置液隔离液平均浓度,平均有效顶替效率,钻井液平均浓度,宽边有效效率,中线有效效率,窄边有效效率,宽边水泥浓度,中线水泥浓度,窄边水泥浓度,宽边前置液隔离液浓度,中线前置液隔离液浓度,窄边前置液隔离液浓度,环空间隙_m,偏心度指标,居中度
7735.0,1.0,0.0,0.9999279786745984,0.0,0.9999999999973342,0.9999998332369489,0.9991036612717514,1.0,1.0,1.0,0.0,0.0,0.0,0.02583900049369821,0.4981599999999997,0.5018400000000003
7728.439568345324,1.0,0.0,0.9998032980771148,6.151171620486778e-17,0.9999999999977555,0.9999998356292112,0.9973054303601486,1.0,1.0,0.9999999999999984,0.0,0.0,0.0,0.025609305376131753,0.5026210935251794,0.4973789064748206
7721.879136690647,0.9999999999999901,0.0,0.999498685128454,9.475476035494836e-15,0.9999999999981101,0.9999998357380441,0.9927798076604447,1.0,1.0,0.9999999999993854,0.0,0.0,0.0,0.02537961025856526,0.5070821870503598,0.4929178129496402
7715.318705035971,0.9999999999975179,0.0,0.998949695525909,2.4818389455440056e-12,0.9999999999981602,0.9999998325921673,0.9819490772991161,1.0,1.0,0.9999999998363626,0.0,0.0,0.0,0.025316159019917787,0.5083145245632064,0.4916854754367936
7708.758273381295,0.9999999997674394,0.0,0.9981581068385786,2.3256083795030064e-10,0.9999999999980284,0.9999998261009428,0.9581203105789087,1.0,1.0,0.999999984561898,0.0,0.0,0.0,0.025419434202373803,0.5063087342240495,0.4936912657759505
7702.197841726619,0.999999994296966,0.0,0.9969617060132625,5.703034023531779e-09,0.9999999999971656,0.9999998108123869,0.9180744638652165,1.0,1.0,0.9999996396714302,0.0,0.0,0.0,0.025951014331599038,0.4959844892086336,0.5040155107913664
7695.637410071942,0.9999989543688252,0.0,0.9934341186633682,1.0456311749519287e-06,0.9999999999975887,0.999999811152553,0.8156445405833539,1.0,1.0,0.9999365573862992,0.0,0.0,0.0,0.025692690536775385,0.5010016032887978,0.49899839671120216
7689.076978417266,0.9996654420365706,0.0,0.9851851589749574,0.0003345579634293313,0.9999999999984673,0.9999998198133218,0.536152840827262,1.0,1.0,0.9813095926375395,0.0,0.0,0.0,0.025058117337750853,0.5133261595066803,0.4866738404933198
7682.51654676259,0.9913395411471229,0.0,0.9722121725622418,0.008660458852877322,0.9999999999989396,0.9999998264501292,0.11453386764402253,0.9999999999999997,1.0,0.579285824799753,0.0,0.0,0.0,0.02455606943792702,0.5230768353545729,0.47692316464542706
7675.956115107913,0.9850912944127354,0.0,0.9672751432752156,0.01490870558726464,0.999999999999106,0.9999998277463313,0.015235564653734088,1.0,1.0,0.23618164084935725,0.0,0.0,0.0,0.024308875059378933,0.527877796094553,0.472122203905447
7669.395683453237,0.980071535002374,0.0,0.9654921471864334,0.019928464997625985,0.999999999999142,0.9999998248552359,0.0015389960233864405,1.0,1.0,0.08086879628315506,0.0,0.0,0.0,0.024246877564523813,0.5290818992805755,0.47091810071942447
7662.835251798561,0.9780370449534184,0.0,0.9656814605168379,0.0219629550465814,0.9999999999990002,0.9999998153096942,0.0001968895007718328,1.0,1.0,0.03100376812647045,0.0,0.0,0.0,0.024447040452688876,0.5251943749229189,0.4748056250770812
