time_s,time_min,stage,bulk_cement_fill,effective_efficiency,front_wide_m,front_narrow_m,front_mid_m,channeling_index,mixing_index,instability_proxy,instability_index,mean_wall_mud,mean_cement,mean_mud
5816.0,96.93333333333334,注尾浆,0.1405139773834457,0.1405139773834457,731.9919839679359,19.783567134268537,262.13226452905815,0.28857715430850034,0.07141209213443676,9667.021910822994,1.0,0.0,0.12966841666613435,0.7343962210610664
5820.0,97.0,注尾浆,0.1412844447735579,0.1412844447735579,736.937875751503,19.783567134268537,262.13226452905815,0.29058116232453157,0.07179312603632551,9688.137495531686,1.0,0.0,0.13035388117622534,0.734218544353348
5824.0,97.06666666666666,注尾浆,0.14205491334548953,0.14205491334548953,741.8837675350701,19.783567134268537,267.07815631262525,0.2925851703405628,0.07217448482130928,9708.637607306315,1.0,0.0,0.13103888601672242,0.7340404414220361
5828.0,97.13333333333334,注尾浆,0.14282538143274717,0.14282538143274717,741.8837675350701,19.783567134268537,267.07815631262525,0.2925851703405628,0.07255616261295533,9662.273787871609,1.0,0.0,0.13172343242245296,0.7338619237174236
5832.0,97.2,注尾浆,0.14359584816143217,0.14359584816143217,746.8296593186373,19.783567134268537,267.07815631262525,0.29458917835659404,0.072938154439248,9681.646224489748,1.0,0.0,0.13240752207829806,0.7336830066698284
5836.0,97.26666666666667,注尾浆,0.1443663140036665,0.1443663140036665,751.7755511022044,19.783567134268537,272.02404809619236,0.29659318637262533,0.07332046153843474,9700.166756980325,1.0,0.0,0.13309115800930738,0.7335037039688769
5840.0,97.33333333333333,注尾浆,0.14513678412807135,0.14513678412807135,756.7214428857716,19.783567134268537,272.02404809619236,0.29859719438865656,0.07370309438304737,9717.721139743211,1.0,0.0,0.13377434703545674,0.7333240279226643
5844.0,97.4,注尾浆,0.14590725724403597,0.14590725724403597,761.6673346693387,19.783567134268537,272.02404809619236,0.30060120240468785,0.0740860551695409,9734.172654958209,1.0,0.0,0.13445707617661035,0.7331439909045047
5848.0,97.46666666666667,注尾浆,0.14667773307004306,0.14667773307004306,761.6673346693387,19.783567134268537,276.9699398797595,0.30060120240468785,0.07446934339965103,9684.779943970929,1.0,0.0,0.13513934074662684,0.7329636147595158
5852.0,97.53333333333333,注尾浆,0.14744820810629797,0.14744820810629797,766.6132264529058,19.783567134268537,276.9699398797595,0.3026052104207191,0.07485294040492903,9698.786593173467,1.0,0.0,0.13582112783873435,0.7327829148529292
5856.0,97.6,注尾浆,0.1482186806201943,0.1482186806201943,771.559118236473,19.783567134268537,276.9699398797595,0.3046092184367503,0.07523684296652751,9711.018155121339,1.0,0.0,0.13650243438488735,0.7326019162699925
5860.0,97.66666666666667,注尾浆,0.14898915226199258,0.14898915226199258,776.5050100200401,19.783567134268537,281.9158316633267,0.3066132264527816,0.07562105025830136,9721.114344972477,1.0,0.0,0.1371832618231395,0.732420636192474
5864.0,97.73333333333333,注尾浆,0.14975962481750424,0.14975962481750424,776.5050100200401,19.783567134268537,281.9158316633267,0.3066132264527816,0.07600556705172562,9665.43586905963,1.0,0.0,0.13786361508742273,0.7322390868325017
5868.0,97.8,注尾浆,0.1505300953972211,0.1505300953972211,781.4509018036072,19.783567134268537,281.9158316633267,0.3086172344688128,0.07639038351897001,9670.098516470292,1.0,0.0,0.13854348250300547,0.7320572820182509
5872.0,97.86666666666666,注尾浆,0.15130056330658426,0.15130056330658426,786.3967935871743,19.783567134268537,286.8617234468938,0.3106212424848441,0.0767755043419441,9670.764239010248,1.0,0.0,0.13922286182367322,0.7318752453440492
5876.0,97.93333333333334,注尾浆,0.15207103324482135,0.15207103324482135,791.3426853707415,19.783567134268537,286.8617234468938,0.31262525050087536,0.07716093591549933,9666.372503910936,1.0,0.0,0.13990176048907108,0.7316929884488268
5880.0,98.0,注尾浆,0.152841507748511,0.152841507748511,796.2885771543087,19.783567134268537,286.8617234468938,0.3146292585169066,0.07754669159617349,9655.497118116282,1.0,0.0,0.1405801868714332,0.7315105146152586
5884.0,98.06666666666666,注尾浆,0.15361198890944766,0.15361198890944766,796.2885771543087,19.783567134268537,291.8076152304609,0.3146292585169066,0.07793277308302012,9575.210490405985,1.0,0.0,0.1412581397964869,0.7313278263845586
5888.0,98.13333333333334,注尾浆,0.15438247779355338,0.15438247779355338,801.2344689378758,19.783567134268537,291.8076152304609,0.3166332665329379,0.07831918842003825,9545.389494194982,1.0,0.0,0.14193561971710128,0.7311449327287424
5892.0,98.2,注尾浆,0.1551529797723235,0.1551529797723235,806.1803607214429,19.783567134268537,291.8076152304609,0.31863727454896906,0.078705953031745,9500.822871216978,1.0,0.0,0.14261263763291399,0.7309618435459176
5896.0,98.26666666666667,注尾浆,0.15592348992971686,0.15592348992971686,811.12625250501,19.783567134268537,296.75350701402806,0.32064128256500035,0.07909305914275155,9459.4904036645,1.0,0.0,0.14328916861390784,0.7307785622963767
5900.0,98.33333333333333,注尾浆,0.1566940082338732,0.1566940082338732,811.12625250501,19.783567134268537,296.75350701402806,0.32064128256500035,0.0794805048706529,9381.186852344146,1.0,0.0,0.14396519305637123,0.7305951208623929
5904.0,98.4,注尾浆,0.15746453148255535,0.15746453148255535,816.0721442885772,19.783567134268537,296.75350701402806,0.3226452905810316,0.07986828418322699,9359.386699146291,1.0,0.0,0.14464069975338015,0.7304115437819139
5908.0,98.46666666666667,注尾浆,0.15823505931633355,0.15823505931633355,821.0180360721442,19.783567134268537,301.6993987975952,0.3246492985970628,0.0802563988025309,9335.28718992603,1.0,0.0,0.14531568353129254,0.7302278533676918
5912.0,98.53333333333333,注尾浆,0.15900559100807454,0.15900559100807454,825.9639278557114,19.783567134268537,301.6993987975952,0.3266533066130941,0.08064484724237739,9309.281735275865,1.0,0.0,0.14599013971909786,0.7300440661215996
5916.0,98.6,注尾浆,0.15977612509719336,0.15977612509719336,830.9098196392786,19.783567134268537,301.6993987975952,0.32865731462912534,0.0810336285008891,9281.823953846068,1.0,0.0,0.14666406396607629,0.729860195789166
5920.0,98.66666666666667,注尾浆,0.16054666188246253,0.16054666188246253,830.9098196392786,19.783567134268537,306.6452905811623,0.32865731462912534,0.08142274440496709,9197.312200042774,1.0,0.0,0.1473374534349466,0.7296762563202558
5924.0,98.73333333333333,注尾浆,0.16131719908373715,0.16131719908373715,835.8557114228457,19.783567134268537,306.6452905811623,0.33066132264515663,0.08181219279213871,9168.909291075117,1.0,0.0,0.14801030066330412,0.7294922566241746
5928.0,98.8,注尾浆,0.16208773552902914,0.16208773552902914,840.8016032064129,19.783567134268537,306.6452905811623,0.33266533066118786,0.08220196991118656,9140.476537380237,1.0,0.0,0.14868260017488832,0.7293082107988155
5932.0,98.86666666666666,注尾浆,0.16285827069267464,0.16285827069267464,845.7474949899799,19.783567134268537,311.59118236472943,0.3346693386772191,0.08259208027536737,9112.42322060545,1.0,0.0,0.149354348103629,0.7291241307038093
5936.0,98.93333333333334,注尾浆,0.16362880484329553,0.16362880484329553,845.7474949899799,19.783567134268537,311.59118236472943,0.3346693386772191,0.0829825260750112,9031.019805888382,1.0,0.0,0.15002554080147623,0.7289400276547633
5940.0,99.0,注尾浆,0.16439933803867457,0.16439933803867457,850.6933867735471,19.783567134268537,311.59118236472943,0.3366733466932504,0.08337331715184862,9005.163537811095,1.0,0.0,0.15069617477699357,0.7287559150986327
5944.0,99.06666666666666,注尾浆,0.16516987241355263,0.16516987241355263,855.6392785571143,19.783567134268537,316.5370741482966,0.3386773547092816,0.08376446080343994,8980.480142693817,1.0,0.0,0.15136624846911165,0.7285718080629877
5948.0,99.13333333333334,注尾浆,0.16594040812177763,0.16594040812177763,860.5851703406813,24.72945891783567,316.5370741482966,0.33867735470928156,0.08415596896335603,8904.395308826139,1.0,0.0,0.15203575942682204,0.728387719871575
5952.0,99.2,注尾浆,0.16671094751600762,0.16671094751600762,860.5851703406813,24.72945891783567,316.5370741482966,0.33867735470928156,0.08454784625883902,8830.521445454428,1.0,0.0,0.1527047075746021,0.7282036651895373
5956.0,99.26666666666667,注尾浆,0.16748148505070534,0.16748148505070534,865.5310621242485,24.72945891783567,321.48296593186376,0.34068136272531285,0.0849400810318667,8810.644463687822,1.0,0.0,0.15337307311894297,0.7280196538759663
5960.0,99.33333333333333,注尾浆,0.16825202067982176,0.16825202067982176,870.4769539078156,24.72945891783567,321.48296593186376,0.3426853707413441,0.08533267282132179,8792.032735948535,1.0,0.0,0.1540408507390091,0.7278357137759098
5964.0,99.4,注尾浆,0.16902255229744848,0.16902255229744848,875.4228456913828,24.72945891783567,321.48296593186376,0.3446893787573754,0.0857256242930535,8774.610785105026,1.0,0.0,0.1547080338480873,0.727651858035128
5968.0,99.46666666666667,注尾浆,0.16979307975046842,0.16979307975046842,875.4228456913828,24.72945891783567,326.42885771543087,0.3446893787573754,0.08611893067208685,8707.664627165801,1.0,0.0,0.1553746181425749,0.7274681012078217
