case,cement_occ,channeling,corrected,elapsed_s,eta_E,eta_N,instab_lin,instability,mixing,narrow_lowtail_frac,standoff_lt05_frac,wall_frac,win::CBL评价井段(单层套管可评价段)::eta_E,win::CBL评价井段(单层套管可评价段)::eta_N,win::CBL质量段(连续差段)::eta_E,win::CBL质量段(连续差段)::eta_N,win::主要气层-K1q(地层目标)::eta_E,win::主要气层-K1q(地层目标)::eta_N,win::气层段(CBL评价重点)::eta_E,win::气层段(CBL评价重点)::eta_N,win::目的层-喀拉扎组J3k(地层目标)::eta_E,win::目的层-喀拉扎组J3k(地层目标)::eta_N
assumed_BASELINE,0.4177711631009488,0.9873417721514987,False,15.0,0.4177711631009488,0.04484060034392042,6606.661691288608,1.0,0.37252165432843853,0.8302059250307302,1.0,0.4171875,0.4401457392279675,0.04442852471964327,0.33741090960435177,0.23822767043160695,0.4147101081073902,0.09953773217337769,0.34437146390525714,0.25733799114015704,0.24637265373940134,0.30798126252758146
assumed_CORRECTED,0.44262686312990585,0.9999999999995948,True,32.8,0.44262686312990585,0.04320310206093042,191063.82808271146,1.0,0.34742297839064024,0.8515135300282531,1.0,0.45875,0.47546464735185817,0.045540414327557635,0.32052287569252685,0.21197836210877904,0.4106157494777028,0.09201147800334739,0.3287320336248953,0.23342231012324063,0.23592938031351976,0.32759832739821104
between_cent_BASELINE,0.42366109684910136,0.9873417721514987,False,11.8,0.42366109684910136,0.03809483544536893,860.6330182519007,1.0,0.3512742674398674,0.8578539860168893,0.45,0.405,0.4474375127362238,0.039045304618394304,0.34978078701523135,0.24276224206061423,0.42456929745268324,0.10257615515854057,0.3553234618295596,0.2617241501258028,0.25355802331547916,0.31260087064545944
between_cent_CORRECTED,0.45356687958603326,0.9999999999995948,True,31.3,0.45356687958603326,0.019494989213851302,61339.72832764943,1.0,0.3259867402028984,0.9276993272422406,0.45,0.4509375,0.48543852194472964,0.021344828855484808,0.3248246298651637,0.1584567154345238,0.41200726121742903,0.05873716212583091,0.3321400398554886,0.1759104332768248,0.23956093156929473,0.2809242431953729
at_cent_BASELINE,0.4607009478115087,0.7974683544300566,False,11.4,0.4607009478115087,0.12559166819230003,119.90363661764482,0.999999999961514,0.33736427260814106,0.7774500294181258,0.0,0.334375,0.4938268144896629,0.14801638079707186,0.5275630805450915,0.8765874966006295,0.6413574315865821,0.821651700504421,0.5201357232604985,0.8579089191892146,0.33236363886763876,0.6319106035375357
at_cent_CORRECTED,0.4895146608397186,0.7848101265819606,True,37.9,0.4895146608397186,0.1539942891501104,109.08082606914608,0.9999999996647569,0.3250537018423169,0.7317302987400294,0.0,0.2746875,0.5378278524526269,0.18360666666173855,0.4684988228065766,0.8826257567164616,0.6123402414835423,0.8388521523210983,0.46734523065821615,0.8650443057052227,0.29231798331138303,0.6717682693348631
