井深_m,周向平均水泥体积分数,宽边水泥体积分数,窄边水泥体积分数,平均间隙_m,偏心度,井径_mm,尾管外径_mm
7868.0,0.9981716773337974,0.9992379483899633,0.9930982666502994,0.05080443172543733,0.54,241.3,139.7
7862.116587112172,0.9962118737076687,0.998428538185513,0.9859223921375686,0.05080443172543734,0.5408781213265415,241.3,139.7
7856.233174224344,0.9942066402445516,0.9975754910912978,0.9790018379404889,0.05080443172543734,0.541756242653083,241.3,139.7
7850.349761336515,0.992201191665028,0.9966830585882397,0.9725497997824567,0.05080443172543735,0.5426343639796245,241.3,139.7
7844.466348448687,0.9902230253363381,0.9957571703176793,0.966646396931596,0.05080443172543733,0.543512485306166,241.3,139.7
7838.582935560859,0.9882884344657002,0.9948044035393057,0.9612942258139819,0.05080443172543734,0.5443906066327076,241.3,139.7
7832.699522673031,0.9864051979747637,0.9938297424334926,0.9564358175726376,0.05080443172543733,0.545268727959249,241.3,139.7
7826.816109785203,0.9845747860011358,0.9928378225509765,0.9519588748249005,0.05080443172543735,0.5461468492857906,241.3,139.7
7820.932696897375,0.9827932887491118,0.9918330927965678,0.9477017553579548,0.05080443172543734,0.5470249706123321,241.3,139.7
7815.049284009547,0.9810519796637663,0.9908192219270965,0.9434621855044533,0.05080443172543734,0.5479030919388737,241.3,139.7
7809.165871121719,0.979338238446754,0.9897992992434572,0.9390076454087594,0.050804431725437325,0.5487812132654151,241.3,139.7
7803.28245823389,0.9776365250637022,0.9887763136438809,0.9340850254289126,0.05080443172543734,0.5496593345919567,241.3,139.7
7797.399045346062,0.9759290690218442,0.9877531458981936,0.9284285230419037,0.050804431725437325,0.5505374559184982,241.3,139.7
7791.515632458234,0.9741963197087551,0.9867320953092148,0.9217667274047122,0.050804431725437325,0.5514155772450398,241.3,139.7
7785.632219570406,0.9724175247075163,0.9857147818112607,0.9138311638487551,0.050804431725437325,0.5522936985715812,241.3,139.7
7779.748806682577,0.9705715138770967,0.9847024109236943,0.9043688466940352,0.050804431725437325,0.5531718198981228,241.3,139.7
7773.865393794749,0.9686376490531627,0.9836959342219795,0.8931611578908908,0.05080443172543731,0.5540499412246642,241.3,139.7
7767.981980906921,0.9665970652772435,0.9826960065907924,0.8800517337130905,0.050804431725437325,0.5549280625512057,241.3,139.7
7762.098568019093,0.9644345159252226,0.9817030259818522,0.8649882057439763,0.05080443172543733,0.5558061838777473,241.3,139.7
7756.2151551312645,0.9621412048406932,0.9807173124431698,0.8480877074805317,0.05080443172543734,0.5566843052042889,241.3,139.7
7750.331742243437,0.9597192124520404,0.9797392088097109,0.8297450109070127,0.05080443172543733,0.5575624265308303,241.3,139.7
7744.448329355609,0.9571886722743094,0.9787690412820562,0.8108151333350565,0.050804431725437325,0.5584405478573718,241.3,139.7
7738.564916467781,0.9545994696253473,0.9778070873603744,0.7929140298478787,0.050804431725437325,0.5593186691839134,241.3,139.7
7732.681503579953,0.9520491061245938,0.9768536162487029,0.7788639875623983,0.05080443172543733,0.5601967905104548,241.3,139.7
7726.798090692124,0.949705024276986,0.9759089148928868,0.7731681422351379,0.05080443172543733,0.5610749118369964,241.3,139.7
7720.914677804296,0.947816780656749,0.9749732531194294,0.7819100821308362,0.05080443172543734,0.5619530331635378,241.3,139.7
7715.031264916468,0.946675328491334,0.9740468641886348,0.8105783853049334,0.05080443172543733,0.5628311544900795,241.3,139.7
7709.14785202864,0.9464654663665215,0.9731299710261619,0.8586841589727308,0.05080443172543733,0.5637092758166209,241.3,139.7
7703.264439140811,0.9470683658378937,0.9722228129181268,0.9152845856687011,0.05080443172543735,0.5645873971431625,241.3,139.7
7697.381026252983,0.9480484872667974,0.9713256381426467,0.9636971891541564,0.05080443172543733,0.5654655184697039,241.3,139.7
7691.497613365155,0.9489047097973503,0.9704386886236223,0.9924551121733718,0.05080443172543734,0.5663436397962455,241.3,139.7
7685.614200477327,0.9493123778120696,0.9695622005374982,0.9997207136232862,0.05080443172543733,0.567221761122787,241.3,139.7
7679.7307875894985,0.9493486367977948,0.9686964098795681,0.999851698450174,0.05080443172543734,0.5680998824493286,241.3,139.7
7673.847374701671,0.9492113453595626,0.9678415513766278,0.9982997864287955,0.0508044317254373,0.56897800377587,241.3,139.7
7667.963961813843,0.9487351975337407,0.9669978578080467,0.9860446992608762,0.050804431725437325,0.5698561251024116,241.3,139.7
7662.080548926015,0.9479141686166684,0.9661655652214189,0.9681912820758531,0.050804431725437325,0.5707342464289531,241.3,139.7
7656.197136038186,0.9468675379369502,0.965344918240949,0.9488309339475189,0.05080443172543734,0.5716123677554947,241.3,139.7
7650.313723150358,0.9456504671355069,0.9645361702721765,0.9302341964553864,0.05080443172543731,0.5724904890820361,241.3,139.7
7644.43031026253,0.9443751485268691,0.9637395802605929,0.9134168092619088,0.05080443172543736,0.5733686104085776,241.3,139.7
7638.546897374702,0.9430460395916727,0.9629554097291951,0.8986660682940213,0.05080443172543734,0.5742467317351192,241.3,139.7
7632.663484486873,0.9417299368141594,0.9621839213751885,0.8858822940550737,0.05080443172543736,0.5751248530616607,241.3,139.7
7626.780071599045,0.9404063195334342,0.961425378200731,0.8747861110048162,0.05080443172543733,0.5760029743882022,241.3,139.7
7620.896658711217,0.9391124282250741,0.9606800422848075,0.8650394357102834,0.05080443172543734,0.5768810957147437,241.3,139.7
7615.013245823389,0.9378313943272176,0.9599481740510284,0.8563123554660897,0.05080443172543734,0.5777592170412852,241.3,139.7
7609.129832935561,0.9365678767928981,0.9592300335920035,0.8483166351767126,0.05080443172543733,0.5786373383678267,241.3,139.7
7603.2464200477325,0.9353198060542776,0.9585258840153807,0.8408213932526417,0.05080443172543733,0.5795154596943684,241.3,139.7
7597.363007159905,0.9340662579538943,0.9578359948891122,0.8336739025181854,0.05080443172543733,0.5796044510739857,241.3,139.7
7591.479594272077,0.9328008150386674,0.9571606438614312,0.8267675148090551,0.05080443172543734,0.5787219391408115,241.3,139.7
7585.596181384249,0.9315444285714906,0.9565001158837613,0.8200045746940329,0.05080443172543731,0.5778394272076373,241.3,139.7
7579.71276849642,0.9302937393802666,0.9558547004529697,0.8133182452577767,0.05080443172543734,0.5769569152744629,241.3,139.7
7573.829355608592,0.9290470217176482,0.955224687456706,0.8066634886964117,0.05080443172543735,0.5760744033412888,241.3,139.7
7567.945942720764,0.9278045662357278,0.9546103622137811,0.8000101548757069,0.05080443172543734,0.5751918914081147,241.3,139.7
7562.062529832936,0.9265654749469566,0.9540120003574637,0.7933380508682047,0.050804431725437325,0.5743093794749404,241.3,139.7
7556.179116945107,0.925326497351068,0.9534298628592798,0.7866335986191667,0.05080443172543733,0.5734268675417661,241.3,139.7
7550.295704057279,0.9240858219087179,0.9528641906483487,0.779887667671586,0.050804431725437325,0.5725443556085918,241.3,139.7
7544.412291169451,0.9228454905090628,0.9523151974882991,0.7730942212712317,0.05080443172543734,0.5716618436754177,241.3,139.7
7538.528878281623,0.921607444830264,0.9517830594989479,0.7662494967763429,0.050804431725437305,0.5707793317422435,241.3,139.7
7532.645465393794,0.920368972770468,0.9512679000194946,0.759351519930048,0.05080443172543734,0.5698968198090693,241.3,139.7
7526.7620525059665,0.9191253158575072,0.9507697693156495,0.7523998107235197,0.0508044317254373,0.5690143078758949,241.3,139.7
7520.878639618139,0.9178762902400727,0.9502886197791773,0.7453951853960914,0.05080443172543733,0.5681317959427208,241.3,139.7
7514.995226730311,0.9166269694507145,0.9498242784241157,0.7383396018808902,0.05080443172543733,0.5672492840095467,241.3,139.7
7509.111813842482,0.9153805109518328,0.9493764193066404,0.7312360278080505,0.05080443172543733,0.5663667720763723,241.3,139.7
7503.228400954654,0.9141326075089281,0.9489445388946334,0.7240883209987492,0.05080443172543733,0.5654842601431981,241.3,139.7
7497.344988066826,0.9128756640373287,0.9485279374649876,0.7169011101514976,0.05080443172543733,0.5646017482100238,241.3,139.7
7491.461575178998,0.9116080415546202,0.9481257093074053,0.7096796668210712,0.050804431725437325,0.5637192362768497,241.3,139.7
7485.578162291169,0.910336675721922,0.9477367438154738,0.7024297725426404,0.05080443172543735,0.5628367243436754,241.3,139.7
7479.694749403341,0.9090691414412932,0.947359738558075,0.6951575947552062,0.05080443172543733,0.5619542124105013,241.3,139.7
7473.811336515513,0.9078039157858575,0.9469932243597718,0.687869581689739,0.05080443172543734,0.561071700477327,241.3,139.7
7467.927923627685,0.9065304115013368,0.9466356013592695,0.6805723722685537,0.05080443172543733,0.5601891885441528,241.3,139.7
7462.044510739857,0.905239625399543,0.9462851838999086,0.673272708970136,0.050804431725437325,0.5593066766109787,241.3,139.7
7456.161097852028,0.9039340400804269,0.945940250977317,0.665977349330309,0.050804431725437325,0.5584241646778043,241.3,139.7
7450.2776849642005,0.9026259601772626,0.9455990980944795,0.6586929849847003,0.05080443172543733,0.5575416527446301,241.3,139.7
7444.3942720763725,0.9013253279394079,0.9452600860786726,0.6514261815999827,0.05080443172543734,0.5566591408114558,241.3,139.7
7438.510859188545,0.9000287743932444,0.9449216828480143,0.6441833441545373,0.05080443172543737,0.5557766288782817,241.3,139.7
7432.627446300716,0.8987213240247903,0.9445824951845434,0.6369706958869918,0.05080443172543733,0.5548941169451074,241.3,139.7
7426.744033412888,0.8973900077309214,0.9442412890113028,0.6297942530592836,0.050804431725437325,0.5540116050119333,241.3,139.7
7420.86062052506,0.8960365028486138,0.9438969981481203,0.6226597894472466,0.05080443172543734,0.553129093078759,241.3,139.7
7414.977207637232,0.894676934551596,0.9435487227320891,0.6155728010389823,0.05080443172543733,0.5522465811455848,241.3,139.7
7409.093794749403,0.8933286578414616,0.9431957192634698,0.6085384864262433,0.05080443172543733,0.5513640692124104,241.3,139.7
7403.210381861575,0.8919948169087398,0.9428373845772723,0.6015617495923811,0.050804431725437325,0.5504815572792363,241.3,139.7
7397.326968973747,0.8906602215033604,0.9424732360579379,0.5946472173287826,0.05080443172543731,0.5495990453460621,241.3,139.7
7391.443556085919,0.8893033205241064,0.9421028902264399,0.5877992517778777,0.05080443172543731,0.5487165334128878,241.3,139.7
7385.56014319809,0.8879144035790479,0.941726041502111,0.5810219436836556,0.050804431725437325,0.5478340214797135,241.3,139.7
7379.676730310262,0.8865046335199701,0.9413424425159247,0.5743190910618525,0.05080443172543734,0.5469515095465394,241.3,139.7
7373.7933174224345,0.8850988247049965,0.9409518868845947,0.5676941819462376,0.05080443172543733,0.5460689976133652,241.3,139.7
7367.9099045346065,0.8837170976616643,0.9405541949157278,0.5611503977599629,0.050804431725437325,0.545186485680191,241.3,139.7
7362.026491646779,0.8823586801146289,0.9401492023497479,0.5546906386967518,0.050804431725437325,0.5443039737470168,241.3,139.7
7356.14307875895,0.8810010318636973,0.9397367519617086,0.5483175552814887,0.05080443172543733,0.5434214618138424,241.3,139.7
7350.259665871122,0.8796161472042651,0.9393166876393534,0.5420335682878495,0.05080443172543734,0.5425389498806683,241.3,139.7
7344.376252983294,0.8781915142282133,0.9388888504310253,0.5358408655828141,0.05080443172543733,0.5416564379474941,241.3,139.7
7338.492840095465,0.8767401747098106,0.93845307603278,0.5297413812165016,0.05080443172543733,0.5407739260143198,241.3,139.7
7332.609427207637,0.8752933472403832,0.9380091932488123,0.5237367770676059,0.05080443172543731,0.5398914140811455,241.3,139.7
7326.726014319809,0.8738798196801763,0.9375570230710529,0.5178284469242961,0.050804431725437325,0.5390089021479714,241.3,139.7
7320.842601431981,0.8725046555465801,0.9370963781336344,0.5120175478905223,0.050804431725437325,0.5381263902147972,241.3,139.7
7314.959188544153,0.8711438051082115,0.9366270623809472,0.50630504306182,0.05080443172543733,0.537243878281623,241.3,139.7
7309.075775656324,0.869761384838123,0.9361488708462073,0.5006917285678344,0.05080443172543733,0.5363613663484487,241.3,139.7
7303.192362768496,0.8683337042490897,0.9356615894800547,0.49517823116330045,0.05080443172543733,0.5354788544152744,241.3,139.7
7297.3089498806685,0.8668626874331254,0.9351649949970737,0.48976499363196074,0.050804431725437325,0.5345963424821003,241.3,139.7
7291.4255369928405,0.8653773364713386,0.9346588547199433,0.4844522548575225,0.050804431725437325,0.5337138305489261,241.3,139.7
7285.542124105012,0.8639193232795248,0.9341429264004721,0.4792400384718234,0.05080443172543734,0.5328313186157518,241.3,139.7
7279.658711217184,0.8625154227734584,0.9336169579949893,0.47412817220660536,0.050804431725437325,0.5319488066825776,241.3,139.7
7273.775298329356,0.8611556741024805,0.9330806873760944,0.46911633550117254,0.05080443172543734,0.5310662947494034,241.3,139.7
7267.891885441528,0.8597978223210954,0.9325338419719026,0.4642041064626471,0.05080443172543735,0.5301837828162292,241.3,139.7
7262.0084725537,0.8583970544896085,0.931976138331551,0.4593909794658555,0.05080443172543735,0.529301270883055,241.3,139.7
7256.125059665871,0.8569405603274756,0.9314072816196823,0.45467634811520063,0.05080443172543734,0.5284187589498807,241.3,139.7
7250.241646778043,0.8554507988883938,0.9308269650461962,0.45005947064302626,0.050804431725437325,0.5275362470167064,241.3,139.7
7244.358233890215,0.853942407302455,0.9302348692432537,0.44553947430950575,0.05080443172543734,0.5266537350835323,241.3,139.7
7238.474821002386,0.8524727935060139,0.929630661606544,0.4411153375636003,0.05080443172543735,0.525771223150358,241.3,139.7
7232.591408114558,0.851075778455899,0.9290139956167122,0.43678590841590065,0.05080443172543731,0.5248887112171838,241.3,139.7
7226.70799522673,0.8497349876401875,0.9283845101479687,0.43254996219931957,0.05080443172543733,0.5240061992840096,241.3,139.7
7220.8245823389025,0.8483928524717814,0.9277418287589021,0.4284062533631491,0.05080443172543734,0.5231236873508354,241.3,139.7
7214.9411694510745,0.8469909039918994,0.9270855589522902,0.42435352311129165,0.050804431725437325,0.5222411754176612,241.3,139.7
7209.057756563246,0.8455263799643999,0.9264152913899253,0.42039037707234583,0.050804431725437325,0.5213586634844869,241.3,139.7
7203.174343675418,0.8440247612112313,0.9257305990541695,0.4165138405511031,0.050804431725437305,0.5204761515513127,241.3,139.7
7197.29093078759,0.8425584572367277,0.9250310363578286,0.41270270667307674,0.05091106033487824,0.5202682246744961,241.51323861622438,139.7
7191.407517899762,0.8411972567710646,0.9243161382177066,0.40893573535652333,0.05114263069569521,0.5208507408020038,241.97633893759303,139.7
7185.524105011933,0.8399210217363645,0.9235854191267866,0.40521363656847537,0.05137420105651217,0.5214332569295116,242.43943925896173,139.7
7179.640692124105,0.8387232895650667,0.9228383722871866,0.40153707795052374,0.051605771417329104,0.5220157730570193,242.90253958033037,139.7
7173.757279236277,0.837530811176326,0.9220744689001427,0.39790671455486426,0.05183734177814606,0.5225982891845271,243.36563990169898,139.7
7167.873866348449,0.8362623419328739,0.9212931577472484,0.3943232015391081,0.05206891213896298,0.5231808053120348,243.82874022306763,139.7
7161.99045346062,0.8349068682530789,0.9204938652350402,0.3907871413736069,0.05230048249977995,0.5237633214395425,244.29184054443633,139.7
7156.107040572792,0.83348327963819,0.9196759961089693,0.38729902965387575,0.052532052860596874,0.5243458375670502,244.75494086580497,139.7
7150.223627684964,0.8320287501469226,0.9188389350680913,0.383859222794938,0.05276362322141384,0.5249283536945579,245.2180411871736,139.7
7144.3402147971365,0.8305835459562773,0.917982049520749,0.380467929383321,0.05299519358223077,0.5255108698220657,245.68114150854223,139.7
7138.456801909308,0.8292413150124435,0.9171046937016856,0.377125183639372,0.05322676394304774,0.5260933859495736,246.14424182991095,139.7
7132.57338902148,0.8280095934797346,0.916206214306539,0.37383089241486606,0.05345833430386469,0.5266759020770813,246.6073421512796,139.7
7126.689976133652,0.8267955495436727,0.9152859576760171,0.37058491360667983,0.05368990466468165,0.527258418204589,247.0704424726482,139.7
7120.806563245824,0.8254928222847885,0.9143432783726982,0.3673870742162229,0.05392147502549855,0.5278409343320967,247.53354279401685,139.7
7114.923150357996,0.8240843030330924,0.9133775487458146,0.36423710183823566,0.05415304538631551,0.5284234504596044,247.9966431153855,139.7
7109.039737470167,0.8225873953980871,0.9123881687976073,0.3611345698969784,0.054384615747132464,0.5290059665871122,248.4597434367542,139.7
7103.156324582339,0.8210659550398425,0.9113745753883085,0.3580788623192254,0.05461618610794939,0.5295884827146199,248.92284375812284,139.7
7097.272911694511,0.8195615802438823,0.9103362495957534,0.3550691734101513,0.05484775646876636,0.5301709988421277,249.38594407949148,139.7
7091.389498806682,0.8181839412210014,0.9092727209341374,0.3521045145031027,0.05507932682958334,0.5307535149696354,249.84904440086018,139.7
7085.506085918854,0.8169398945768592,0.9081835671828369,0.34918377585978183,0.05531089719040027,0.5313360310971431,250.31214472222882,139.7
7079.622673031026,0.8157007415446029,0.9070684088110316,0.3463058361282578,0.0555424675512172,0.5319185472246508,250.77524504359744,139.7
7073.739260143198,0.8143582153515627,0.9059268974069328,0.34346957517764676,0.055774037912034134,0.5325010633521585,251.23834536496608,139.7
7067.8558472553705,0.8128837154359037,0.9047586980920819,0.3406737936464541,0.056005608272851094,0.5330835794796662,251.70144568633472,139.7
7061.972434367542,0.8113125666850826,0.9035634665422236,0.33791714355710323,0.056237178633668054,0.5336660956071742,252.16454600770342,139.7
7056.089021479714,0.8097427773878668,0.9023408218403893,0.3351980681088431,0.05646874899448499,0.5342486117346819,252.62764632907206,139.7
7050.205608591886,0.8082528671672008,0.9010903168444916,0.33251478044938193,0.056700319355301926,0.5348311278621896,253.09074665044068,139.7
7044.322195704058,0.8069228177237829,0.8998114079734293,0.3298652814720913,0.05693188971611885,0.5354136439896973,253.55384697180932,139.7
7038.438782816229,0.80570210512838,0.8985034262611209,0.3272474319806979,0.057163460076935825,0.5359961601172051,254.01694729317802,139.7
7032.555369928401,0.8044168321223765,0.8971655512148645,0.3246590299125743,0.05739503043775277,0.5365786762447128,254.48004761454666,139.7
7026.671957040573,0.8029854462940057,0.8957967885194342,0.3220977464426242,0.05762660079856972,0.5371611923722205,254.9431479359153,139.7
7020.788544152745,0.801407137056311,0.8943959520749053,0.3195610271726116,0.05785817115938666,0.5377437084997282,255.40624825728395,139.7
7014.905131264917,0.7997856627203219,0.8929616503960734,0.3170460024751474,0.0580897415202036,0.538326224627236,255.8693485786526,139.7
7009.021718377088,0.7982766142026987,0.8914922771936628,0.31454943592455253,0.058321311881020584,0.5389087407547437,256.3324489000213,139.7
7003.13830548926,0.7969379390014039,0.8899860061504798,0.31206775343784987,0.05855288224183753,0.5394912568822514,256.79554922138993,139.7
6997.254892601432,0.7956896926730019,0.8884407906226541,0.30959716122637726,0.05878445260265446,0.5400737730097591,257.2586495427586,139.7
6991.371479713604,0.794383831618609,0.8868543702231845,0.30713371027042385,0.05901602296347145,0.540656289137267,257.7217498641273,139.7
6985.488066825776,0.7929079471022726,0.8852242175027872,0.30467325048031807,0.05924759332428837,0.5412388052647747,258.1848501854959,139.7
6979.604653937948,0.7912596251106561,0.8835442665617596,0.30221131911704724,0.059479163685105314,0.5418213213922825,258.64795050686456,139.7
6973.72124105012,0.7895698269958509,0.8818131546244209,0.29974300997173625,0.05971073404592219,0.5424038375197902,259.11105082823315,139.7
6967.837828162292,0.7880276277292106,0.8800282716067875,0.2972628775205986,0.05994230440673917,0.5429863536472979,259.5741511496018,139.7
