well,dispersion_dt_scale,eta_E,eta_N,mixing,channeling,cement_occ,elapsed_s,source
hu101,1.0,0.36964176933069803,0.01322796572259419,0.3513185404862991,0.9999999999995948,0.36964176933069803,194.0,baseline_reuse
hu101,0.0,0.07379503947824932,0.0013618091565987726,0.1449367565271034,0.9999999999995948,0.07379503947824932,742.8,computed
hu101,0.5,0.3498592510840572,0.007187464815537277,0.3114838826175876,0.9999999999995948,0.3498592510840572,249.5,computed
hu102,1.0,0.46648073782110466,0.11867537925221312,0.3193492270973668,0.0,0.46648073782110466,730.0,baseline_reuse
hu102,0.0,4.576518996179302e-05,4.3959595555960203e-05,0.0001815479427127921,0.0,4.576518996179302e-05,437.5,computed
hu102,0.5,0.43629709555195045,0.03976755425417895,0.2896283875032233,0.0,0.43629709555195045,1068.7,computed
hu103,1.0,0.4267827690750394,0.15042306373676537,0.26370815483958193,0.867469879517684,0.4267827690750394,550.3,baseline_reuse
hu103,0.0,0.14876396150212515,0.033688855226327516,0.07752832119490276,0.3775100401604735,0.14876396150212515,759.3,computed
hu103,0.5,0.41687008801770775,0.11195162621470658,0.26099099623957345,0.8915662650598418,0.41687008801770775,403.1,computed
hu1,1.0,0.5580578260045682,0.19599399178848695,0.3240027186488907,0.819277108433534,0.5580578260045682,255.7,baseline_reuse
hu1,0.0,0.1197051403245883,0.006114189600501626,0.2040849249120744,0.9999999999997548,0.1197051403245883,744.3,computed
hu1,0.5,0.5438001774204223,0.1540398337459171,0.2795310666625588,0.8674698795178596,0.5438001774204223,305.1,computed
hu2,1.0,0.6170840773037555,0.5348773248082357,0.2657822989074804,0.3855421686745283,0.6170840773037555,311.2,baseline_reuse
hu2,0.0,0.00040430375180671173,3.8944582419088176e-05,0.001513468184714246,0.0,0.00040430375180671173,263.8,computed
hu2,0.5,0.6019719536622845,0.4944455340861466,0.27436745715729083,0.4337349397588443,0.6019719536622845,392.8,computed
ht1_001,1.0,0.5478117224307686,0.4642407701809874,0.28870579968161914,0.4979919678712672,0.5478117224307686,329.3,baseline_reuse
ht1_001,0.0,4.796955121062959e-05,4.4200371347518e-05,0.0001903321513925995,0.0,4.796955121062959e-05,252.7,computed
ht1_001,0.5,0.5375053541483383,0.4399220510621461,0.2892816252267816,0.5261044176704517,0.5375053541483383,593.9,computed
ht1_003,1.0,0.6557578211612777,0.5589559934816166,0.2292681097099106,0.40963855421669026,0.6557578211612777,443.4,baseline_reuse
ht1_004,1.0,0.1413041034694227,0.06910027300269485,0.22408850001785827,0.6064257028109941,0.1413041034694227,164.3,baseline_reuse
