井深_m,水泥平均浓度,平均有效顶替效率,钻井液平均浓度,宽边有效效率,中线有效效率,窄边有效效率,宽边水泥浓度,中线水泥浓度,窄边水泥浓度,环空间隙_m,偏心度指标,居中度
7868.0,1.0,0.9999999948428229,0.0,1.0,0.9999999999997946,0.9999999407280538,1.0,1.0,1.0,0.03841255679203553,0.37,0.63
7863.054108216433,0.9999999999999994,0.9999999917808121,5.551115123125783e-16,1.0,0.9999999999996193,0.9999999034921601,1.0,0.9999999999999999,0.9999999999999993,0.03841255679203553,0.37,0.63
7858.108216432865,0.9999999999999994,0.999999988710628,5.551115123125783e-16,1.0,0.9999999999994666,0.9999998653542165,1.0,0.9999999999999998,0.9999999999999982,0.03841255679203553,0.37,0.63
7853.162324649298,0.9999999999999994,0.9999999842108197,5.551115123125783e-16,1.0,0.9999999999991959,0.9999998091998863,1.0,0.9999999999999998,0.9999999999999982,0.03841255679203553,0.37,0.63
7848.216432865732,0.9999999999999994,0.9999999776871877,5.551115123125783e-16,1.0,0.9999999999985885,0.9999997304307869,1.0,1.0,0.9999999999999982,0.03841255679203553,0.37,0.63
7843.2705410821645,0.9999999999999994,0.9999999684499693,5.551115123125783e-16,1.0,0.9999999999977678,0.9999996181737341,1.0,0.9999999999999998,0.9999999999999982,0.03841255679203553,0.37,0.63
7838.324649298597,0.9999999999999994,0.9999999555336545,5.551115123125783e-16,1.0,0.9999999999971665,0.9999994573190097,1.0,0.9999999999999998,0.9999999999999982,0.03841255679203553,0.37,0.63
7833.37875751503,0.9999999999999994,0.9999999375030778,5.551115123125783e-16,1.0,0.9999999999968604,0.9999992265906809,1.0,0.9999999999999998,0.9999999999999982,0.03841255679203553,0.37,0.63
7828.432865731463,0.9999999999999991,0.9999999127974067,8.881784197001252e-16,1.0,0.9999999999966104,0.9999988954419787,1.0,0.9999999999999998,0.9999999999999982,0.03841255679203553,0.37,0.63
7823.486973947895,0.999999999999999,0.9999998797342463,9.992007221626409e-16,1.0,0.9999999999963914,0.9999984204101056,1.0,0.9999999999999998,0.9999999999999982,0.03841255679203553,0.37,0.63
7818.541082164329,0.999999999999999,0.9999998370166776,9.992007221626409e-16,1.0,0.9999999999962044,0.9999977384958018,1.0,0.9999999999999998,0.9999999999999982,0.03841255679203553,0.37,0.63
