M,alpha,effective_efficiency,cbl_eval_interval_efficiency,channeling_index,mixing_index,instability_index,mean_cement,mean_mud,deviation,elapsed_s
0.0,0.05,0.6679912568741613,0.7626039497479279,0.4529058116230629,0.23558796317974376,0.8543892373006177,0.6429545142571558,0.2668595153076395,0.13490394974792785,19.833534600009443
0.0,0.1,0.6679912568741613,0.7626039497479279,0.4529058116230629,0.23558796317974376,0.8543892373006177,0.6429545142571558,0.2668595153076395,0.13490394974792785,20.81505219999235
0.0,0.2,0.6679912568741613,0.7626039497479279,0.4529058116230629,0.23558796317974376,0.8543892373006177,0.6429545142571558,0.2668595153076395,0.13490394974792785,20.938405200009583
0.0,0.3,0.6679912568741613,0.7626039497479279,0.4529058116230629,0.23558796317974376,0.8543892373006177,0.6429545142571558,0.2668595153076395,0.13490394974792785,20.215686100011226
0.0,0.5,0.6679912568741613,0.7626039497479279,0.4529058116230629,0.23558796317974376,0.8543892373006177,0.6429545142571558,0.2668595153076395,0.13490394974792785,20.458053800000926
50.0,0.05,0.5970354036452304,0.6297769912781672,0.9679358717430948,0.22284442621472977,1.0,0.47981225497945823,0.5126662847949599,0.002076991278167184,22.075124900002265
50.0,0.1,0.5970354036452304,0.6297769912781672,0.9679358717430948,0.22284442621472977,1.0,0.47981225497945823,0.5126662847949599,0.002076991278167184,21.7148540999915
50.0,0.2,0.5970354036452304,0.6297769912781672,0.9679358717430948,0.22284442621472977,1.0,0.47981225497945823,0.5126662847949599,0.002076991278167184,20.785636000000522
50.0,0.3,0.5970354036452304,0.6297769912781672,0.9679358717430948,0.22284442621472977,1.0,0.47981225497945823,0.5126662847949599,0.002076991278167184,19.59593280000263
50.0,0.5,0.5970354036452304,0.6297769912781672,0.9679358717430948,0.22284442621472977,1.0,0.47981225497945823,0.5126662847949599,0.002076991278167184,19.724737299999106
100.0,0.05,0.5966296664955721,0.6292332968590795,0.9679358717430948,0.22301713361061434,1.0,0.47921889445323396,0.5132175194555397,0.001533296859079436,22.281736400007503
100.0,0.1,0.5966296664955721,0.6292332968590795,0.9679358717430948,0.22301713361061434,1.0,0.47921889445323396,0.5132175194555397,0.001533296859079436,22.714549199998146
100.0,0.2,0.5966296664955721,0.6292332968590795,0.9679358717430948,0.22301713361061434,1.0,0.47921889445323396,0.5132175194555397,0.001533296859079436,21.197003599998425
100.0,0.3,0.5966296664955721,0.6292332968590795,0.9679358717430948,0.22301713361061434,1.0,0.47921889445323396,0.5132175194555397,0.001533296859079436,18.783536199989612
100.0,0.5,0.5966296664955721,0.6292332968590795,0.9679358717430948,0.22301713361061434,1.0,0.47921889445323396,0.5132175194555397,0.001533296859079436,19.21662930000457
200.0,0.05,0.59623025458849,0.6287017920538664,0.9699398797591261,0.22318570718151332,1.0,0.4786635062153969,0.5138005019973003,0.0010017920538664127,19.62865790000069
200.0,0.1,0.59623025458849,0.6287017920538664,0.9699398797591261,0.22318570718151332,1.0,0.4786635062153969,0.5138005019973003,0.0010017920538664127,19.8760340000008
200.0,0.2,0.59623025458849,0.6287017920538664,0.9699398797591261,0.22318570718151332,1.0,0.4786635062153969,0.5138005019973003,0.0010017920538664127,19.936530199993285
200.0,0.3,0.59623025458849,0.6287017920538664,0.9699398797591261,0.22318570718151332,1.0,0.4786635062153969,0.5138005019973003,0.0010017920538664127,19.247313900006702
200.0,0.5,0.59623025458849,0.6287017920538664,0.9699398797591261,0.22318570718151332,1.0,0.4786635062153969,0.5138005019973003,0.0010017920538664127,18.359915400011232
300.0,0.05,0.5960065942520558,0.6284008124728093,0.9699398797591261,0.22328365072177184,1.0,0.4783536831963891,0.5141465621777804,0.0007008124728092868,17.673955700010993
300.0,0.1,0.5960065942520558,0.6284008124728093,0.9699398797591261,0.22328365072177184,1.0,0.4783536831963891,0.5141465621777804,0.0007008124728092868,18.61982259999786
300.0,0.2,0.5960065942520558,0.6284008124728093,0.9699398797591261,0.22328365072177184,1.0,0.4783536831963891,0.5141465621777804,0.0007008124728092868,19.756282200003625
300.0,0.3,0.5960065942520558,0.6284008124728093,0.9699398797591261,0.22328365072177184,1.0,0.4783536831963891,0.5141465621777804,0.0007008124728092868,19.430390599998645
300.0,0.5,0.5960065942520558,0.6284008124728093,0.9699398797591261,0.22328365072177184,1.0,0.4783536831963891,0.5141465621777804,0.0007008124728092868,19.13039679999929
500.0,0.05,0.5964232095549834,0.6283701617054407,0.9699398797591261,0.2237678753508443,1.0,0.4784390659592742,0.5142102459231922,0.0006701617054406528,20.145105300005525
500.0,0.1,0.5964232095549834,0.6283701617054407,0.9699398797591261,0.2237678753508443,1.0,0.4784390659592742,0.5142102459231922,0.0006701617054406528,19.746201600006316
500.0,0.2,0.5964232095549834,0.6283701617054407,0.9699398797591261,0.2237678753508443,1.0,0.4784390659592742,0.5142102459231922,0.0006701617054406528,19.812316700001247
500.0,0.3,0.5964232095549834,0.6283701617054407,0.9699398797591261,0.2237678753508443,1.0,0.4784390659592742,0.5142102459231922,0.0006701617054406528,18.36984780000057
500.0,0.5,0.5964232095549834,0.6283701617054407,0.9699398797591261,0.2237678753508443,1.0,0.4784390659592742,0.5142102459231922,0.0006701617054406528,17.21956820000196
