cement_density_gcc,lead_density_gcc,mud_density_gcc,density_contrast_gcc,buoyancy_number,effective_efficiency,channeling_index,mixing_index,instability_index,cement_occupation,elapsed_s
1.6,1.63,1.9,-0.2999999999999998,-36.4764,0.9501987040062504,0.14028056112218645,0.13766134625855933,0.09836915900799159,0.9501987040062504,25.1
1.75,1.78,1.9,-0.1499999999999999,-16.1944,0.9511362976331622,0.13026052104203031,0.1359372883384424,0.08980662759835567,0.9511362976331622,23.3
1.9,1.93,1.9,0.0,4.0237,0.9543180725939574,0.10020040080156167,0.12791567049635733,0.0592411364619464,0.9543180725939574,23.3
2.0,2.03,1.9,0.10000000000000009,17.3623,0.9563015403182049,0.08216432865728064,0.12263337914586243,0.04420211583226108,0.9563015403182049,23.4
2.1,2.13,1.9,0.20000000000000018,30.5847,0.9584260370762885,0.06813627254506197,0.11736753999000582,0.032748541201882975,0.9584260370762885,23.3
2.2,2.23,1.9,0.30000000000000027,43.8212,0.9603251666886288,0.056112224448874544,0.11385587953914232,0.02616274632796145,0.9603251666886288,23.3
2.35,2.38,1.9,0.4500000000000002,63.7326,0.9612362899549389,0.04408817635268713,0.11250741695065203,0.020622201106092253,0.9612362899549389,23.2
