time_s,time_min,stage,bulk_cement_fill,effective_efficiency,target_interval_efficiency,cbl_eval_interval_efficiency,cbl_quality_proxy,front_wide_m,front_narrow_m,front_mid_m,channeling_index,mixing_index,instability_proxy,instability_index,mean_wall_mud,mean_cement,mean_mud
5924.0,98.73333333333333,注领浆(按52m³鞋口滞后折算),0.4118316534287807,0.3594041098892154,0.7398029504611773,0.40057373123136997,0.1811135946784036,2225.6513026052103,9.891783567134269,1459.0380761523047,0.8977955911820009,0.20772008084682883,242.61673878831942,1.0,0.541541621536769,0.36175664986946354,0.4736021246998984
5928.0,98.8,注领浆(按52m³鞋口滞后折算),0.413292448978717,0.3607311244454179,0.7406319709696652,0.40168805233347155,0.18212919817983725,2215.759519038076,9.891783567134269,1459.0380761523047,0.8937875751499386,0.20859334704888677,239.8888757626056,1.0,0.5408149596241901,0.3637636503054599,0.47257437758733994
5932.0,98.86666666666666,注领浆(按52m³鞋口滞后折算),0.41533548264931264,0.36268446014195,0.7414574536364709,0.4036314093407067,0.1812047739579076,2245.434869739479,9.891783567134269,1459.0380761523047,0.9058116232461261,0.20874585409962898,242.90335737408867,1.0,0.5400867323966215,0.3649098590652404,0.47137400366545307
5936.0,98.93333333333334,注领浆(按52m³鞋口滞后折算),0.4168746772398404,0.3641222467488706,0.7422794132377338,0.4047244013212407,0.18219893924343916,2235.543086172345,9.891783567134269,1459.0380761523047,0.9018036072140636,0.20974712061008033,240.1634077856661,1.0,0.539357581462666,0.36683510907735284,0.47031973294661267
5940.0,99.0,注领浆(按52m³鞋口滞后折算),0.41944502819496626,0.36660980921380637,0.7430978411819923,0.40714907763163,0.1814376075412558,2265.2184368737476,9.891783567134269,1459.0380761523047,0.9138276553102511,0.2102298627238045,243.56841474363057,1.0,0.5386273281353383,0.36856394124780006,0.4691116735346619
5944.0,99.06666666666666,注领浆(按52m³鞋口滞后折算),0.421383617318092,0.3683952035468474,0.7439127036834954,0.4085846359989067,0.1824873684001635,2255.3266533066135,9.891783567134269,1459.0380761523047,0.9098196392781887,0.21225503406024165,239.73435148191757,1.0,0.5378955316473697,0.37070199100341605,0.4681081486144956
5948.0,99.13333333333334,注领浆(按52m³鞋口滞后折算),0.4240003140238828,0.3709103017660429,0.7447239414222919,0.411050669773618,0.18216174230812524,2280.056112224449,14.837675350701403,1459.0380761523047,0.9178356713423135,0.21444097175061314,241.45735855879352,1.0,0.5371625046203733,0.3724493021137642,0.46705046890374285
5952.0,99.2,注领浆(按52m³鞋口滞后折算),0.42544586359755265,0.37222352648807666,0.7455314718585264,0.41185323449610234,0.1829009830827437,2275.1102204408817,14.837675350701403,1004.0160320641282,0.9158316633262822,0.2136244493518184,240.2372762048977,1.0,0.5364280345748852,0.3743051916876856,0.46604592396664657
5956.0,99.26666666666667,注领浆(按52m³鞋口滞后折算),0.4282774831841464,0.3749293454148922,0.7463351936399362,0.41451919545227667,0.18197541653329963,2304.7855711422844,14.837675350701403,1008.9619238476954,0.9278557114224697,0.21639878997470274,241.63759815220527,1.0,0.5356925202910805,0.3761817744942365,0.46504912294322603
5960.0,99.33333333333333,注领浆(按52m³鞋口滞后折算),0.4297861336776484,0.37624182198347567,0.7471349935580095,0.41515462000120024,0.18289939948981904,2294.8937875751503,14.837675350701403,1028.745490981964,0.9238476953904072,0.2160813521835377,240.04804341163967,1.0,0.5349553120775942,0.3780712906518718,0.46403604405848076
