井深_m,balance_平均浓度,spacer_平均浓度,lead_平均浓度,tail_平均浓度,mud_平均浓度
7868.0,1.0569298706528683e-45,4.4141227061211105e-45,1.8331150761460063e-30,1.0,0.0
7863.054108216433,9.510096334278267e-39,3.9717678883175843e-38,1.649161713764617e-23,0.9999999999999997,3.3306690738754696e-16
7858.108216432865,1.8001124775260066e-36,5.377783315500076e-36,8.465588095459458e-22,0.9999999999999996,4.440892098500626e-16
7853.162324649298,1.930687097443131e-34,4.1149848692445354e-34,2.1746885549889416e-20,0.9999999999999992,7.771561172376096e-16
7848.216432865732,1.1077546325458383e-32,1.9385990521692573e-32,3.7254739776792734e-19,0.999999999999999,9.992007221626409e-16
7843.2705410821645,4.196661124075772e-31,6.341716818566446e-31,4.7872841332074955e-18,0.999999999999999,9.992007221626409e-16
7838.324649298597,1.2244324709240407e-29,1.5951425507987698e-29,4.9217856625632125e-17,0.9999999999999991,8.881784197001252e-16
7833.37875751503,3.1726916245437915e-28,3.393641488212759e-28,4.216992137322517e-16,0.9999999999999989,6.661338147750939e-16
7828.432865731463,8.761387081383984e-27,6.943300627163812e-27,3.0971641493304674e-15,0.9999999999999961,7.771561172376096e-16
7823.486973947895,3.3385892158117373e-25,1.7436672854997738e-25,1.9905196781511808e-14,0.999999999999979,1.1102230246251565e-15
7818.541082164329,6.10184494677831e-23,1.957039691828587e-23,1.137251124027764e-13,0.9999999999998852,1.1102230246251565e-15
7813.595190380762,1.3894383472059318e-20,3.9019072834361294e-21,5.848434051620822e-13,0.9999999999994141,9.992007221626409e-16
7808.6492985971945,1.6017207093976774e-18,4.2197025934128763e-19,2.7346620634864536e-12,0.9999999999972646,6.661338147750939e-16
7803.703406813627,1.38179225668254e-16,3.4410012557093986e-17,1.1726211240895417e-11,0.9999999999882702,3.4416913763379853e-15
7798.75751503006,9.704336281216121e-15,2.3024150237442432e-15,4.652836622555655e-11,0.9999999999532032,2.5646151868841116e-13
7793.811623246493,5.85444354196542e-13,1.3333667288844073e-13,1.7616649290042047e-10,0.9999999998036562,1.945854588569773e-11
7788.865731462925,3.6794495298087665e-11,8.09113615286739e-12,9.052629735419906e-10,0.9999999975100085,1.5398429198398844e-09
7783.919839679359,3.318058856694847e-09,7.095592898477376e-10,3.259947481393899e-08,0.9999997902130136,1.7315989353505756e-07
7778.973947895792,1.7885225413604857e-07,3.774105130108998e-08,1.848483772491712e-06,0.9999871803862894,1.0754536632684442e-05
7774.0280561122245,7.563328264458831e-06,1.5816794337636054e-06,8.831797451189275e-05,0.9993839573154596,0.0005185797023302685
7769.082164328657,0.000133093105030486,2.7731764075120414e-05,0.001761013744250929,0.9879483382328348,0.010129823153808726
7764.13627254509,0.0003785142086638666,7.920361396770844e-05,0.0054932140254925895,0.9641478387650124,0.02990122938686346
7759.190380761523,0.0004897545470267595,0.00010310814124766304,0.007816941060201092,0.9513819715763229,0.040208224675201576
7754.244488977956,0.0005120261806138567,0.00010856807881193877,0.009177384813532141,0.945486512550292,0.04471550837674998
7749.298597194389,0.0004938553254416956,0.00010559527709369251,0.01005428690746738,0.9428296255544296,0.04651663693556762
7744.352705410822,0.00046776431015645224,0.00010096426618083843,0.010863126627622849,0.94082469353186,0.04774345126417978
7739.406813627254,0.0004562123829894598,9.94424999597074e-05,0.012285934934555619,0.9356379321055089,0.05152047807698623
7734.460921843687,0.00042393261775157317,9.339639681223963e-05,0.013465200079319568,0.9322335256797387,0.05378394522637786
7729.51503006012,0.00038984723686571364,8.662454645001426e-05,0.014056066868152653,0.9317176472754859,0.05374981407304569
7724.5691382765535,0.00036131492670929475,8.085515393274415e-05,0.014575100546955351,0.9313222309380121,0.05366049843439047
7719.623246492986,0.00033736567096218746,7.593565499798227e-05,0.015031251652551368,0.9310050323303652,0.053550414691123205
7714.677354709419,0.000316839832618326,7.165873338743013e-05,0.015447417360639919,0.9307948809909324,0.05336920308242188
7709.731462925852,0.0002988889583687308,6.787220016135962e-05,0.01585748852541391,0.930718433931872,0.05305731638418398
